description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Aceitunas en Conserva BELL'S Botija entera Bol...,,250.0,g,6.1,plaza_vea,2024-12-04 14:14:06.643937,ACEITUNA DE BOTIJA,250.0,g,6.1,ACEITUNA DE BOTIJA
Aceitunas en Conserva BELL'S Botija en Tiras B...,,250.0,g,6.5,plaza_vea,2024-12-04 14:14:06.643937,ACEITUNA DE BOTIJA,250.0,g,6.5,ACEITUNA DE BOTIJA
Aceituna Botija Extra 240 g,CALE,240.0,g,8.5,tottus,2024-12-04 13:43:20.149737,ACEITUNA DE BOTIJA,240.0,g,8.5,ACEITUNA DE BOTIJA
Aceitunas Botija 240 g,EL OLIVAR,240.0,g,8.9,tottus,2024-12-04 13:43:20.149737,ACEITUNA DE BOTIJA,240.0,g,8.9,ACEITUNA DE BOTIJA
Aceitunas en Conserva BELL'S Botija deshuesada...,,250.0,g,9.4,plaza_vea,2024-12-04 14:14:06.643937,ACEITUNA DE BOTIJA,250.0,g,9.4,ACEITUNA DE BOTIJA
Aceitunas en Conserva BELL'S Botija Deshuesada Bolsa 250g,BELL'S,250.0,g,9.4,vivanda,2024-12-04 18:00:58.647483,ACEITUNA DE BOTIJA,250.0,g,9.4,ACEITUNA DE BOTIJA
Aceituna Botija con Pepa 240 g,TOTTUS,240.0,g,9.9,tottus,2024-12-04 13:43:20.149737,ACEITUNA DE BOTIJA,240.0,g,9.9,ACEITUNA DE BOTIJA
Aceitunas Negras Botija Extra 400g,,400.0,g,12.99,wong,2024-12-04 19:59:56.862208,ACEITUNA DE BOTIJA,400.0,g,12.99,ACEITUNA DE BOTIJA
Aceituna Botija Extra Huerto Mejía Pote 400 gr,,400.0,g,14.0,wong,2024-12-04 19:59:56.862208,ACEITUNA DE BOTIJA,400.0,g,14.0,ACEITUNA DE BOTIJA
Aceituna Botija Extra Huerto Mejía Pote 400 gr,,400.0,g,14.0,metro,2024-12-04 21:52:08.668716,ACEITUNA DE BOTIJA,400.0,g,14.0,ACEITUNA DE BOTIJA
Aceituna Botija Sin Hueso Huerto Mejia 400g,,400.0,g,14.6,wong,2024-12-04 19:59:56.862208,ACEITUNA DE BOTIJA,400.0,g,14.6,ACEITUNA DE BOTIJA
Aceituna Botija Sin Hueso Huerto Mejia 400g,,400.0,g,14.6,metro,2024-12-04 21:52:08.668716,ACEITUNA DE BOTIJA,400.0,g,14.6,ACEITUNA DE BOTIJA
Aceituna Botija Deshuesada Olivos del Sur 225g,,225.0,g,15.0,metro,2024-12-04 21:52:08.668716,ACEITUNA DE BOTIJA,225.0,g,15.0,ACEITUNA DE BOTIJA
Aceituna Botija Deshuesada Olivos del Sur 225g,,225.0,g,15.0,wong,2024-12-04 19:59:56.862208,ACEITUNA DE BOTIJA,225.0,g,15.0,ACEITUNA DE BOTIJA
Aceitunas en Conserva OLIVOS DEL SUR De aceituna botija entera Doypack 500g,OLIVOS DEL SUR,500.0,g,22.7,vivanda,2024-12-04 18:00:58.647483,ACEITUNA DE BOTIJA,500.0,g,22.7,ACEITUNA DE BOTIJA
Aceituna Botija Entera Olivos Del Sur Contenido 850 g,,850.0,g,23.4,wong,2024-12-04 19:59:56.862208,ACEITUNA DE BOTIJA,850.0,g,23.4,ACEITUNA DE BOTIJA
Aceituna Botija Entera 850 g,OLIVOS DEL SUR,850.0,g,23.9,tottus,2024-12-04 13:43:20.149737,ACEITUNA DE BOTIJA,850.0,g,23.9,ACEITUNA DE BOTIJA
Pan Artesanal Congelado PANCITOS DEL SUR Relleno con Aceitunas Botija Bolsa 6un,PANCITOS DEL SUR,6.0,un,24.2,vivanda,2024-12-04 18:00:58.647483,ACEITUNA DE BOTIJA,6.0,un,24.2,ACEITUNA DE BOTIJA
Aceitunas Negras Botija Extra 750g,,750.0,g,27.12,wong,2024-12-04 19:59:56.862208,ACEITUNA DE BOTIJA,750.0,g,27.12,ACEITUNA DE BOTIJA
Aceitunas en Conserva OLIVOS DEL SUR De botija...,,500.0,g,27.5,plaza_vea,2024-12-04 14:14:06.643937,ACEITUNA DE BOTIJA,500.0,g,27.5,ACEITUNA DE BOTIJA
Aceitunas en Conserva OLIVOS DEL SUR De botija deshuesada Doypack 500g,OLIVOS DEL SUR,500.0,g,29.1,vivanda,2024-12-04 18:00:58.647483,ACEITUNA DE BOTIJA,500.0,g,29.1,ACEITUNA DE BOTIJA
Aceituna Botija Deshuesada Olivos del Sur 850g,,850.0,g,30.0,metro,2024-12-04 21:52:08.668716,ACEITUNA DE BOTIJA,850.0,g,30.0,ACEITUNA DE BOTIJA
Aceitunas Negras Botija Extra 750g,,750.0,g,31.9,metro,2024-12-04 21:52:08.668716,ACEITUNA DE BOTIJA,750.0,g,31.9,ACEITUNA DE BOTIJA
