description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Gaseosa Pepsi Botella 355 ml,,355.0,ml,1.3,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,355.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Cool Fresh Sabor Cola Botella 350ml,,350.0,ml,1.3,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,350.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Cool Fresh Sabor Cola Amarilla Botella 350ml,,350.0,ml,1.3,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,350.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Cola 355 mL,PEPSI,355.0,ml,1.3,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,355.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa Oro Botella 350ml,,350.0,ml,1.3,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,350.0,ml,1.3,BEBIDAS GASEOSAS
Gaseosa PEPSI COLA Botella 355ml,Pepsi,355.0,ml,1.5,vega,2024-12-04 14:47:37.603405,BEBIDAS GASEOSAS,355.0,ml,1.5,BEBIDAS GASEOSAS
Gaseosa Guaranita Botella 300 ml,,300.0,ml,1.5,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,300.0,ml,1.5,BEBIDAS GASEOSAS
Gaseosa Sabor Piña 500 mL,CONCORDIA,500.0,ml,1.6,tottus,2024-12-04 14:00:22.010141,BEBIDAS GASEOSAS,500.0,ml,1.6,BEBIDAS GASEOSAS
Gaseosa Guaranita Botella 300 ml,,300.0,ml,1.6,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,300.0,ml,1.6,BEBIDAS GASEOSAS
Gaseosa Pepsi Regular Botella 500ml,,500.0,ml,2.2,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,500.0,ml,2.2,BEBIDAS GASEOSAS
Gaseosa 7Up Botella 500 ml,,500.0,ml,2.2,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,500.0,ml,2.2,BEBIDAS GASEOSAS
Gaseosa 7Up Botella 500 ml,,500.0,ml,2.2,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,500.0,ml,2.2,BEBIDAS GASEOSAS
Gaseosa Guarana Botella 450ml,,450.0,ml,2.4,metro,2024-12-04 22:25:56.074166,BEBIDAS GASEOSAS,450.0,ml,2.4,BEBIDAS GASEOSAS
Gaseosa Coca Cola Sin Azúcar Botella 300ml,,300.0,ml,2.5,wong,2024-12-04 20:55:03.697733,BEBIDAS GASEOSAS,300.0,ml,2.5,BEBIDAS GASEOSAS
