description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Cereales Metro Bolicolor 120g,,120.0,g,3.3,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,120.0,g,3.3,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Cuisine & Co Monstrobolitas 120g,,120.0,g,3.5,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,120.0,g,3.5,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Trigo Light CEREALES ATOMICO de Soya Bolsa 100...,,100.0,g,3.5,plaza_vea,2024-12-04 13:09:25.525465,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,100.0,g,3.5,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Nuggets de Pavita con Cereales SAN FERNANDO Bo...,,10.0,un,8.79,plaza_vea,2024-12-04 13:09:25.525465,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,10.0,un,8.79,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Barra de Cereales Mini Cereal Bar Golden 24un,,24.0,un,10.1,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,24.0,un,10.1,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Bañados con Chocolate Pelotitas 2 Cerritos Bolsa 125 gr,,125.0,g,10.5,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,125.0,g,10.5,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales de Trigo con Cacao Chocapic 170g,,170.0,g,10.5,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,170.0,g,10.5,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales de Trigo con Cacao Chocapic 170g,,170.0,g,10.9,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,170.0,g,10.9,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Bolsa 125 g,,125.0,g,11.2,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,125.0,g,11.2,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Kellogg's Hot Wheels Sabor Frutas 135g,,135.0,g,12.0,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,135.0,g,12.0,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Kellogg's Barbie Sabor Frutilla 135g,,135.0,g,12.0,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,135.0,g,12.0,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Kellogg's Hot Wheels Sabor Frutas 135g,,135.0,g,12.0,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,135.0,g,12.0,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Angel Life Fibra 300g,,300.0,g,12.8,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,300.0,g,12.8,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Angel Life Cero 300g,,300.0,g,12.8,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,300.0,g,12.8,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Angel Life Protein Caja 300 g,,300.0,g,12.8,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,300.0,g,12.8,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Angel Life Cero 300g,,300.0,g,12.9,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,300.0,g,12.9,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Angel Life Fibra 300g,,300.0,g,12.9,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,300.0,g,12.9,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal Infantil en Polvo Nestum 5 Cereales 350g,,350.0,g,17.9,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,350.0,g,17.9,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal Infantil en Polvo Nestum Trigo Quinua y Otros Cereales 350g,,350.0,g,17.9,metro,2024-12-04 20:52:50.609352,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,350.0,g,17.9,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal Infantil en Polvo Nestum 5 Cereales 350g,,350.0,g,19.9,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,350.0,g,19.9,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Caja 350 gr,,350.0,g,20.5,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,350.0,g,20.5,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales con Marshmellows Trix 300g,,300.0,g,21.5,wong,2024-12-04 18:30:37.028320,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,300.0,g,21.5,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
