description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Maíz Pop Corn BELL'S Dulce Bolsa 70g,BELL'S,70.0,g,2.1,vivanda,2024-12-04 17:11:11.763534,MAÍZ REVENTÓN (POP CORN),1.0,kg,30.0,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Cuisine & Co 500g,,500.0,g,3.5,metro,2024-12-04 20:35:24.947663,MAÍZ REVENTÓN (POP CORN),1.0,kg,7.0,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn x 350 g,TESORO DEL CAMPO,350.0,g,3.65,tottus,2024-12-04 12:55:48.428708,MAÍZ REVENTÓN (POP CORN),1.0,kg,10.428571428571429,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Bolsa 350 g,,350.0,g,3.8,metro,2024-12-04 20:35:24.947663,MAÍZ REVENTÓN (POP CORN),1.0,kg,10.857142857142858,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Costeño 500g,,500.0,g,4.0,metro,2024-12-04 20:35:24.947663,MAÍZ REVENTÓN (POP CORN),1.0,kg,8.0,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn BELL'S Bolsa 500g,BELL'S,500.0,g,4.3,vivanda,2024-12-04 17:11:11.763534,MAÍZ REVENTÓN (POP CORN),1.0,kg,8.6,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Máxima 500g,,500.0,g,4.3,metro,2024-12-04 20:35:24.947663,MAÍZ REVENTÓN (POP CORN),1.0,kg,8.6,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn COSTEÑO Bolsa 500g,COSTENO,500.0,g,4.6,vivanda,2024-12-04 17:11:11.763534,MAÍZ REVENTÓN (POP CORN),1.0,kg,9.2,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Tesoro Del Campo Bolsa 500 g,,500.0,g,5.0,wong,2024-12-04 18:01:00.784513,MAÍZ REVENTÓN (POP CORN),1.0,kg,10.0,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn VALLENORTE Bolsa 500gr,VALLENORTE,500.0,g,5.3,vega,2024-12-04 13:00:24.576298,MAÍZ REVENTÓN (POP CORN),1.0,kg,10.6,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Valle Norte Bolsa 500 g,,500.0,g,5.8,metro,2024-12-04 20:35:24.947663,MAÍZ REVENTÓN (POP CORN),1.0,kg,11.6,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn VALLENORTE Bolsa 500g,VALLENORTE,500.0,g,6.4,vivanda,2024-12-04 17:11:11.763534,MAÍZ REVENTÓN (POP CORN),1.0,kg,12.8,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn Valle Norte Bolsa 500 g,,500.0,g,6.4,wong,2024-12-04 18:01:00.784513,MAÍZ REVENTÓN (POP CORN),1.0,kg,12.8,MAÍZ REVENTÓN (POP CORN)
Maíz Pop Corn de 1 kg,TOTTUS,1.0,kg,7.42,tottus,2024-12-04 12:55:48.428708,MAÍZ REVENTÓN (POP CORN),1.0,kg,7.42,MAÍZ REVENTÓN (POP CORN)
