description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pan de Molde LA FLORENCIA Bolsa 350g,LA FLORENCIA,350.0,g,6.9,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,350.0,g,6.9,PAN DE MOLDE
Pan de Molde Integral BELL'S Mediano Bolsa 500...,,500.0,g,7.4,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,500.0,g,7.4,PAN DE MOLDE
Pan de Molde Blanco BELL'S Mediano Bolsa 500g,,500.0,g,7.4,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,500.0,g,7.4,PAN DE MOLDE
PAN MOLDE BLANCO X 480 GR,TOTTUS,480.0,g,7.6,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,480.0,g,7.6,PAN DE MOLDE
Pan Molde Integral x 480 g,TOTTUS,480.0,g,7.6,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,480.0,g,7.6,PAN DE MOLDE
Pan de Molde Blanco Cuisine & Co Bolsa 500 gr,,500.0,g,7.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,500.0,g,7.9,PAN DE MOLDE
Pan de Molde Blanco LA FLORENCIA Bolsa 500g,,500.0,g,7.9,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,500.0,g,7.9,PAN DE MOLDE
Pan de Molde Integral LA FLORENCIA Bolsa 500g,,500.0,g,7.9,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,500.0,g,7.9,PAN DE MOLDE
Pan de Molde Integral Cuisine & Co Bolsa 500 gr,,500.0,g,7.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,500.0,g,7.9,PAN DE MOLDE
Pan de Molde Integral Unión Mediano Bolsa 360 g,,360.0,g,8.5,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,360.0,g,8.5,PAN DE MOLDE
Pan de Molde Blanco BELL'S Mediano Bolsa 500g,BELL'S,500.0,g,8.6,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,500.0,g,8.6,PAN DE MOLDE
Pan de Molde Blanco Cuisine & Co 600g,,600.0,g,8.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,600.0,g,8.9,PAN DE MOLDE
Pan de Molde Integral Cuisine & Co 600g,,600.0,g,8.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,600.0,g,8.9,PAN DE MOLDE
Pan de Molde Integral Cuisine & Co 600g,,600.0,g,8.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,600.0,g,8.9,PAN DE MOLDE
Pan de Molde Integral 500 g,PYC,500.0,g,8.9,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,500.0,g,8.9,PAN DE MOLDE
Pan de Molde Integral PYC Mediano Bolsa 500g,,500.0,g,8.9,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,500.0,g,8.9,PAN DE MOLDE
Pan de Molde Integral Unión Mediano Bolsa 360 g,,360.0,g,9.7,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,360.0,g,9.7,PAN DE MOLDE
Pan de Molde Superbom Blanco 465 g,,465.0,g,9.8,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,465.0,g,9.8,PAN DE MOLDE
Pan De Molde Blanco Don Mamino 250 g,,250.0,g,9.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,250.0,g,9.9,PAN DE MOLDE
Pan de Molde Blanco PYC 480g,,480.0,g,9.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,480.0,g,9.9,PAN DE MOLDE
Pan de Molde Blanco Bauducco 390g,,390.0,g,9.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,390.0,g,9.9,PAN DE MOLDE
Pan de Molde Blanco Bauducco 390g,,390.0,g,9.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,390.0,g,9.9,PAN DE MOLDE
Pan De Molde Blanco Don Mamino 250 g,,250.0,g,9.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,250.0,g,9.9,PAN DE MOLDE
Pan de Molde BIMBO Vital Semillas Bolsa 360g,,360.0,g,10.5,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,360.0,g,10.5,PAN DE MOLDE
Pan de Molde Rebanado Bimbo Fuente de Calcio 480 g,,480.0,g,10.5,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,480.0,g,10.5,PAN DE MOLDE
Pan de molde multicereal Vital con chía y linaza de 360 g,BIMBO,360.0,g,10.5,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,360.0,g,10.5,PAN DE MOLDE
Pan de Molde Multicereal Vital Bimbo Bolsa 360 g,,360.0,g,10.8,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,360.0,g,10.8,PAN DE MOLDE
Pan de Molde de Semillas Bimbo Vital Bolsa 360 g,,360.0,g,10.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,360.0,g,10.9,PAN DE MOLDE
PAN MOLDE BLANCO X 750GR,TOTTUS,750.0,g,10.9,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,750.0,g,10.9,PAN DE MOLDE
Pan de Molde BIMBO Vital Semillas Bolsa 360g,BIMBO,360.0,g,11.2,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,360.0,g,11.2,PAN DE MOLDE
Pan de Molde Integral BIMBO Vital Multicereal Bolsa 360g,BIMBO,360.0,g,11.2,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,360.0,g,11.2,PAN DE MOLDE
Pan de Molde Blanco BELL’S Tipo Fuente Corte V...,,500.0,g,11.2,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,500.0,g,11.2,PAN DE MOLDE
Pan de Molde UNIÓN Granos Integrales Bolsa 540...,,540.0,g,11.4,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,540.0,g,11.4,PAN DE MOLDE
Pan de Molde Bimbo Doble Fibra 510g,,510.0,g,11.5,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,510.0,g,11.5,PAN DE MOLDE
Pan de Molde Integral Misturapan 390g,,390.0,g,11.59,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,390.0,g,11.59,PAN DE MOLDE
Pan de Molde Multigranos 390g,,390.0,g,11.59,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,390.0,g,11.59,PAN DE MOLDE
Pan de Molde de Yema Misturapan 390g,,390.0,g,11.59,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,390.0,g,11.59,PAN DE MOLDE
Pan de Molde Finas Hierbas Misturapan 390g,,390.0,g,11.59,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,390.0,g,11.59,PAN DE MOLDE
Pan de Molde Unión Multisemillas con Avena 540g,,540.0,g,11.8,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,540.0,g,11.8,PAN DE MOLDE
Pan de molde artesano blanco 560 g,BIMBO,560.0,g,11.9,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,560.0,g,11.9,PAN DE MOLDE
Pan de Molde Yema 390g,,390.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,390.0,g,11.9,PAN DE MOLDE
Pan de Molde Blanco Cuisine & Co 800g,,800.0,g,11.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,800.0,g,11.9,PAN DE MOLDE
Pan de Molde Wong Finas Hierbas 390g,,390.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,390.0,g,11.9,PAN DE MOLDE
Pan de Molde Integral Bimbo 480g,,480.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,480.0,g,11.9,PAN DE MOLDE
Pan de Molde Wong Multigranos 390g,,390.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,390.0,g,11.9,PAN DE MOLDE
Pan de Molde Integral 390g,,390.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,390.0,g,11.9,PAN DE MOLDE
Pan de Molde Integral Cuisine & Co 800g,,800.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,800.0,g,11.9,PAN DE MOLDE
Pan de Molde Integral Cuisine & Co 800g,,800.0,g,11.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,800.0,g,11.9,PAN DE MOLDE
Pan de Molde Tipo Artesanal Bimbo Artesano Integral 560g,,560.0,g,11.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,560.0,g,11.9,PAN DE MOLDE
Pan de Molde Tipo Artesanal Bimbo Artesano Original 560g,,560.0,g,11.9,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,560.0,g,11.9,PAN DE MOLDE
Pan de Molde Bimbo Doble Fibra 510g,,510.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,510.0,g,11.9,PAN DE MOLDE
Pan de Molde Wong Campesino 390g,,390.0,g,11.9,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,390.0,g,11.9,PAN DE MOLDE
Pan de Molde UNIÓN Fibra Multicereal Bolsa 540...,,540.0,g,11.99,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,540.0,g,11.99,PAN DE MOLDE
Pan de Molde Unión Multisemilla & Chips Miel bolsa 540 g,,540.0,g,12.2,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,540.0,g,12.2,PAN DE MOLDE
Pan de Molde Integral UNIÓN Bolsa 495g,,495.0,g,12.39,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,495.0,g,12.39,PAN DE MOLDE
Pan de Molde BIMBO Integral Bolsa 750g,,750.0,g,12.6,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,750.0,g,12.6,PAN DE MOLDE
Pan de Molde Integral Multicereal LA FLORENCIA Bolsa 500g,LA FLORENCIA,500.0,g,12.9,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,500.0,g,12.9,PAN DE MOLDE
Pan de Molde Integral 6 Semillas LA FLORENCIA Bolsa 500g,LA FLORENCIA,500.0,g,12.9,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,500.0,g,12.9,PAN DE MOLDE
Pan de Molde UNIÓN Multisemillas y Avena Bolsa 540g,UNIÓN,540.0,g,13.2,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,540.0,g,13.2,PAN DE MOLDE
Pan de Molde UNIÓN Multisemillas y Chips de Miel Bolsa 540g,UNIÓN,540.0,g,13.2,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,540.0,g,13.2,PAN DE MOLDE
Pan de Molde Integral Don Mamino Bolsa 560 g,,560.0,g,13.5,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde Blanco Bimbo Bolsa 750 g,,750.0,g,13.5,metro,2024-12-04 20:43:54.446540,PAN DE MOLDE,750.0,g,13.5,PAN DE MOLDE
Pan de Molde Marmoleado DON MAMINO sin Corteza Bolsa 560g,DON MAMINO,560.0,g,13.5,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde Blanco DON MAMINO sin Corteza Bolsa 560g,DON MAMINO,560.0,g,13.5,vivanda,2024-12-04 17:16:12.449924,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde Blanco DON MAMINO sin Corteza Bol...,,560.0,g,13.5,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde con Salvado de Trigo 560 g,DON MAMINO,560.0,g,13.5,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde DON MAMINO con Salvado de Trigo B...,,560.0,g,13.5,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde Marmoleado DON MAMINO sin Corteza...,,560.0,g,13.5,plaza_vea,2024-12-04 12:59:58.390893,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde Blanco sin Corteza 560 g,DON MAMINO,560.0,g,13.5,tottus,2024-12-04 13:00:48.744149,PAN DE MOLDE,560.0,g,13.5,PAN DE MOLDE
Pan de Molde Unión Multisemillas con Avena 540g,,540.0,g,13.6,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,540.0,g,13.6,PAN DE MOLDE
Pan de Molde Unión Granos Integrales Bolsa 540 g,,540.0,g,13.6,wong,2024-12-04 18:14:30.691651,PAN DE MOLDE,540.0,g,13.6,PAN DE MOLDE
