description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Verduras Picadas para Sopa de Verduras Cuisine & Co 300g,,300.0,g,9.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,300.0,g,9.5,VERDURA PICADA
Verduras Picadas para Estofado de Carne Cuisine & Co 200g,,200.0,g,9.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,200.0,g,9.5,VERDURA PICADA
Verduras Picadas para Crema de Vegetales Cuisine & Co 350g,,350.0,g,9.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,350.0,g,9.5,VERDURA PICADA
Verduras Picadas para Arroz con Pollo Cuisine & Co 200g,,200.0,g,10.3,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,200.0,g,10.3,VERDURA PICADA
Verduras Picadas para Sopa Chake Cuisine & Co 350g,,350.0,g,11.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,350.0,g,11.0,VERDURA PICADA
Verduras Chinas Picadas Cuisine & Co 350g,,350.0,g,11.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,350.0,g,11.0,VERDURA PICADA
Verduras Picadas para Estofado de Pollo Cuisine & Co 200g,,200.0,g,11.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,200.0,g,11.0,VERDURA PICADA
Verduras Picadas para Menestrón Cuisine & Co 300g,,300.0,g,11.3,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,300.0,g,11.3,VERDURA PICADA
Verduras Picadas para Ensalada Delicia Cuisine & Co 400g,,400.0,g,13.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,400.0,g,13.0,VERDURA PICADA
Verduras Picadas para Ensalada Rusa Cuisine & Co 600g,,600.0,g,13.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,600.0,g,13.0,VERDURA PICADA
Verduras Picadas para Ensalada Fresca Cuisine & Co 400g,,400.0,g,13.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,400.0,g,13.5,VERDURA PICADA
Verduras Picadas para Ensalada Mixta Cuisine & Co 600g,,600.0,g,14.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,600.0,g,14.0,VERDURA PICADA
Verduras Picadas para Sopa de Quinua Cuisine & Co 700g,,700.0,g,14.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,700.0,g,14.5,VERDURA PICADA
Verduras Picadas para Sopa de Verduras Cuisine & Co 600g,,600.0,g,14.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,600.0,g,14.5,VERDURA PICADA
Verduras Picadas para Locro Cuisine & Co 700g,,700.0,g,14.9,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,700.0,g,14.9,VERDURA PICADA
Verduras Picadas para Sopa Mixta Cuisine & Co 600g,,600.0,g,15.0,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,600.0,g,15.0,VERDURA PICADA
Verduras Chinas Picadas Cuisine & Co 700g,,700.0,g,15.2,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,700.0,g,15.2,VERDURA PICADA
Verduras Picadas para Menestrón Cuisine & Co 700g,,700.0,g,15.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,700.0,g,15.5,VERDURA PICADA
Verduras Picadas para Sopa Andina Cuisine & Co 700g,,700.0,g,15.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,700.0,g,15.5,VERDURA PICADA
Verduras Picadas para Cazuela Cuisine & Co 600g,,600.0,g,15.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,600.0,g,15.5,VERDURA PICADA
Verduras Picadas para Ensalada Sancochado Cuisine & Co 800g,,800.0,g,15.5,metro,2024-12-04 21:50:49.809830,VERDURA PICADA,800.0,g,15.5,VERDURA PICADA
