description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Arroz Atómico Nevado con Vainilla 125 g,FORTE GOLPE,125.0,g,3.5,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,28.0,ARROZ ENVASADO
Arroz Superior Metro 750g,,750.0,g,3.5,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,4.666666666666666,ARROZ ENVASADO
Arroz Superior BELL'S Bolsa 750g,BELL'S,750.0,g,3.6,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,4.8,ARROZ ENVASADO
Arroz Superior Cuisine & Co 750g,,750.0,g,3.6,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,4.8,ARROZ ENVASADO
Arroz Superior VEGA Bolsa 750g,Vega,750.0,g,3.7,vega,2024-12-05 11:36:02.001973,ARROZ ENVASADO,1.0,kg,4.933333333333334,ARROZ ENVASADO
Arroz Extra Metro 750g,,750.0,g,3.7,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,4.933333333333334,ARROZ ENVASADO
Arroz Extra BELL'S Bolsa 750g,BELL'S,750.0,g,3.79,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,5.053333333333333,ARROZ ENVASADO
Arroz Extra Cuisine & Co 750g,,750.0,g,3.8,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.066666666666666,ARROZ ENVASADO
Arroz Extra Wong 750g,,750.0,g,3.8,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,5.066666666666666,ARROZ ENVASADO
Arroz Añejo Extra Cuisine & Co 750g,,750.0,g,3.9,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.199999999999999,ARROZ ENVASADO
Arroz Integral Cuisine & Co 750g,,750.0,g,3.9,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.199999999999999,ARROZ ENVASADO
Arroz Añejo Extra Cuisine & Co 750g,,750.0,g,3.9,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,5.199999999999999,ARROZ ENVASADO
Arroz Integral Cuisine & Co 750g,,750.0,g,3.9,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,5.199999999999999,ARROZ ENVASADO
Arroz Extra 750 g,TOTTUS,750.0,g,4.0,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,5.333333333333333,ARROZ ENVASADO
Arroz con Leche LA FLORENCIA Envase 140g,LA FLORENCIA,140.0,g,4.0,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,28.57142857142857,ARROZ ENVASADO
Arroz Superior x 750 g,FARAON,750.0,g,4.0,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,5.333333333333333,ARROZ ENVASADO
Arroz Integral BELL'S Bolsa 750g,BELL'S,750.0,g,4.2,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,5.6,ARROZ ENVASADO
Arroz Atómico Nevado Forte Golpe Bolsa 125 g,,125.0,g,4.2,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,33.6,ARROZ ENVASADO
Arroz Superior Valle Norte Primera Cosecha Bolsa 750 g,,750.0,g,4.2,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.6,ARROZ ENVASADO
Arroz Superior COSTEÑO Bolsa 750g,Costeño,750.0,g,4.2,vega,2024-12-05 11:36:02.001973,ARROZ ENVASADO,1.0,kg,5.6,ARROZ ENVASADO
Arroz Superior Valle Norte Primera Cosecha Bolsa 750 g,,750.0,g,4.3,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,5.7333333333333325,ARROZ ENVASADO
Arroz con Leche Cuisine & Co x 160g,,160.0,g,4.3,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,26.875,ARROZ ENVASADO
Arroz Extra BELL'S Selección Bolsa 750g,BELL'S SELECCIÓN,750.0,g,4.3,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,5.7333333333333325,ARROZ ENVASADO
Arroz Superior Añejo Faraón Rojo 750g,,750.0,g,4.3,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.7333333333333325,ARROZ ENVASADO
Arroz Superior Costeño 750g,,750.0,g,4.3,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.7333333333333325,ARROZ ENVASADO
Arroz Superior Añejo Faraón Rojo 750g,,750.0,g,4.4,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,5.866666666666667,ARROZ ENVASADO
Arroz Superior Wong Bolsa 1 Kg,,1.0,kg,4.4,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,4.4,ARROZ ENVASADO
Arroz Extra Añejo Campo Norte 750g,,750.0,g,4.4,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.866666666666667,ARROZ ENVASADO
Arroz Extra Faraón 750 g,FARAON,750.0,g,4.4,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,5.866666666666667,ARROZ ENVASADO
Arroz Extra 750 g,PACASMAYO,750.0,g,4.4,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,5.866666666666667,ARROZ ENVASADO
Arroz Costeño Añejo Extra 750g,,750.0,g,4.5,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,6.0,ARROZ ENVASADO
Arroz Añejo Extra COSTEÑO Bolsa 750g,COSTENO,750.0,g,4.5,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,6.0,ARROZ ENVASADO
Arroz Costeño Añejo Extra 750g,,750.0,g,4.5,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,6.0,ARROZ ENVASADO
Arroz Extra FARAON Bolsa 750g,FARAON,750.0,g,4.6,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,6.133333333333333,ARROZ ENVASADO
Arroz con Miel + Trigo con Miel Vita Pluss Bolsa 125 g Pack 5 unid,,125.0,g,4.6,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,36.8,ARROZ ENVASADO
Arroz Superior Gran Chalán 750 g,GRAN CHALAN,750.0,g,4.6,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,6.133333333333333,ARROZ ENVASADO
Arroz Añejo 750 g,PACASMAYO,750.0,g,4.6,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,6.133333333333333,ARROZ ENVASADO
Arroz con Miel + Trigo con Miel Vita Pluss Bolsa 125 g Pack 5 unid,,125.0,g,4.6,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,36.8,ARROZ ENVASADO
Arroz Añejo Amarillo FARAÓN G3 Bolsa 1Kg,FARAON,1.0,kg,4.69,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,4.69,ARROZ ENVASADO
Arroz Superior Costeño 750g,,750.0,g,4.7,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,6.266666666666667,ARROZ ENVASADO
Arroz Extra COSTEÑO Bolsa 750g,Costeño,750.0,g,4.7,vega,2024-12-05 11:36:02.001973,ARROZ ENVASADO,1.0,kg,6.266666666666667,ARROZ ENVASADO
Arroz Añejo Superior Valle Norte 750g,,750.0,g,4.8,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,6.3999999999999995,ARROZ ENVASADO
Arroz Gran Reserva Extra Valle Norte Bolsa 750 g,,750.0,g,4.8,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,6.3999999999999995,ARROZ ENVASADO
Arroz Integral Molino Rojo Bolsa 1 Kg,,1.0,kg,4.9,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,4.9,ARROZ ENVASADO
Arroz Extra Costeño 750g,,750.0,g,4.9,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,6.533333333333333,ARROZ ENVASADO
Arroz Extra COSTEÑO Bolsa 750g,COSTENO,750.0,g,4.9,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,6.533333333333333,ARROZ ENVASADO
Arroz Gran Reserva Extra Valle Norte Bolsa 750 g,,750.0,g,4.9,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,6.533333333333333,ARROZ ENVASADO
Arroz Extra Costeño 750g,,750.0,g,4.9,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,6.533333333333333,ARROZ ENVASADO
Arroz Extra Natural 750 g,GRAN CHALAN,750.0,g,5.0,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,6.666666666666666,ARROZ ENVASADO
Arroz Extra FARAON Bolsa 750g,Faraon,750.0,g,5.0,vega,2024-12-05 11:36:02.001973,ARROZ ENVASADO,1.0,kg,6.666666666666666,ARROZ ENVASADO
Arroz Integral Extra Bolsa 750 g,,750.0,g,5.15,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,6.866666666666667,ARROZ ENVASADO
Arroz Superior Paisana Bolsa 1 kg,,1.0,kg,5.5,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.5,ARROZ ENVASADO
Arroz Chauda de Pollo 180g,,180.0,g,5.5,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,30.555555555555554,ARROZ ENVASADO
Arroz Extra Tesoro Del Campo Bolsa 750 g,,750.0,g,5.5,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,7.333333333333333,ARROZ ENVASADO
Arroz Integral 750 g,VALLENORTE,750.0,g,5.59,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,7.453333333333333,ARROZ ENVASADO
Arroz Parbolizado Costeño 750g,,750.0,g,5.6,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,7.466666666666666,ARROZ ENVASADO
Arroz Embolsado Costeño Parbolizado 750 g,COSTENO,750.0,g,5.6,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,7.466666666666666,ARROZ ENVASADO
Arroz Extra Paisana Bolsa 1 kg,,1.0,kg,5.75,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,5.75,ARROZ ENVASADO
Arroz Parbolizado COSTEÑO Bolsa 750g,COSTENO,750.0,g,5.8,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,7.7333333333333325,ARROZ ENVASADO
Arroz Integral Gran Chalán x 750 g,GRAN CHALAN,750.0,g,5.9,tottus,2024-12-05 11:07:40.526558,ARROZ ENVASADO,1.0,kg,7.866666666666667,ARROZ ENVASADO
Arroz Superior Paisana Bolsa 1 kg,,1.0,kg,5.99,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,5.99,ARROZ ENVASADO
Arroz Parbolizado Costeño 750g,,750.0,g,6.0,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,8.0,ARROZ ENVASADO
Arroz Integral Paisana Bolsa 1 kg,,1.0,kg,6.2,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,6.2,ARROZ ENVASADO
Arroz Integral Costeño 750g,,750.0,g,6.2,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,8.266666666666666,ARROZ ENVASADO
Arroz Chauda de Pollo 180g,,180.0,g,6.3,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,35.0,ARROZ ENVASADO
Arroz Carnaroli SCOTTI Funghi Porcin Bolsa 210g,SCOTT,210.0,g,6.9,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,32.85714285714286,ARROZ ENVASADO
Arroz Integral con Quinua Roja Fincandina 500g,,500.0,g,6.99,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,13.98,ARROZ ENVASADO
Arroz Parbolizado Paisana Bolsa 1 kg,,1.0,kg,7.0,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,7.0,ARROZ ENVASADO
Arroz para Cocina Oriental Mizu 1kg,,1.0,kg,7.6,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,7.6,ARROZ ENVASADO
Arroz con Pollo BELL'S FRESCOS Bandeja 200g,BELL'S FRESCOS,200.0,g,7.7,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,38.5,ARROZ ENVASADO
Arroz Glaseado Tesoro Del Campo Bolsa 1 Kg,,1.0,kg,7.8,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,7.8,ARROZ ENVASADO
Arroz Glaseado Tesoro Del Campo Bolsa 1 Kg,,1.0,kg,8.25,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,8.25,ARROZ ENVASADO
Arroz con Pollo Seco o Aguadito PROVENZAL Sachet 58g,PROVENZAL,58.0,g,8.9,vivanda,2024-12-05 21:27:43.230292,ARROZ ENVASADO,1.0,kg,153.44827586206895,ARROZ ENVASADO
Arroz con Leche Cuisine & Co 400g,,400.0,g,10.7,wong,2024-12-05 17:30:42.491945,ARROZ ENVASADO,1.0,kg,26.75,ARROZ ENVASADO
Arroz Chaufa Cuisine & Co 500g,,500.0,g,10.99,metro,2024-12-05 15:03:32.699540,ARROZ ENVASADO,1.0,kg,21.98,ARROZ ENVASADO
