description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Chocolate con Leche y Cereal Vizzio Crunch 24g,,24.0,g,1.5,metro,2024-12-05 16:29:28.806883,DIVERSAS PRESENTACIONES DE CHOCOLATES,24.0,g,1.5,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche y Maní Vizzio Maní 24g,,24.0,g,1.5,metro,2024-12-05 16:29:28.806883,DIVERSAS PRESENTACIONES DE CHOCOLATES,24.0,g,1.5,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolates Rellenos Vizzio Crunch 21g,,21.0,g,1.5,metro,2024-12-05 16:29:28.806883,DIVERSAS PRESENTACIONES DE CHOCOLATES,21.0,g,1.5,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate SUBLIME Galleta y con Maní Empaque 28g,NESTLE,28.0,g,1.6,vivanda,2024-12-05 22:22:01.643325,DIVERSAS PRESENTACIONES DE CHOCOLATES,28.0,g,1.6,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Vizzio Costa 21g,,21.0,g,1.7,metro,2024-12-05 16:29:28.806883,DIVERSAS PRESENTACIONES DE CHOCOLATES,21.0,g,1.7,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Sin Azúcares Añadidos Triángulo Barra 17 g (Venta x Unidad),,17.0,g,1.7,metro,2024-12-05 16:29:28.806883,DIVERSAS PRESENTACIONES DE CHOCOLATES,17.0,g,1.7,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Triángulo Barra 30 g,,30.0,g,2.9,wong,2024-12-05 19:06:51.036864,DIVERSAS PRESENTACIONES DE CHOCOLATES,30.0,g,2.9,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter con Maní 41% Cacao Sublime 38g,,38.0,g,3.6,metro,2024-12-05 16:29:28.806883,DIVERSAS PRESENTACIONES DE CHOCOLATES,38.0,g,3.6,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter con Maní 41% Cacao Sublime 38g,,38.0,g,3.6,wong,2024-12-05 19:06:51.036864,DIVERSAS PRESENTACIONES DE CHOCOLATES,38.0,g,3.6,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Blanco con Maní Sublime Sonrisa 38g,,38.0,g,3.7,wong,2024-12-05 19:06:51.036864,DIVERSAS PRESENTACIONES DE CHOCOLATES,38.0,g,3.7,DIVERSAS PRESENTACIONES DE CHOCOLATES
