description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",,500.0,ml,1.7,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,500.0,ml,1.7,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",,500.0,ml,1.7,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,500.0,ml,1.7,NARANJA DE JUGO
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",,500.0,ml,2.1,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,500.0,ml,2.1,NARANJA DE JUGO
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,,14.0,g,2.3,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,14.0,g,2.3,NARANJA DE JUGO
Bebida en Polvo Clight Sin Calorías Sabor Naranja 14g,,14.0,g,2.3,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,14.0,g,2.3,NARANJA DE JUGO
Bebida de Naranja Watts Botella 350ml,,350.0,ml,2.4,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,350.0,ml,2.4,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 600 ml",,600.0,ml,2.99,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,600.0,ml,2.99,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 970ml,,970.0,ml,3.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,970.0,ml,3.9,NARANJA DE JUGO
BEBIDA NARANJA X 970ML,FRUGOS DEL VALLE,970.0,ml,3.9,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,970.0,ml,3.9,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 970ml,,970.0,ml,3.9,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,970.0,ml,3.9,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.5 lt",,1.5,l,4.0,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,1.5,l,4.0,NARANJA DE JUGO
Bebida sabor naranja 475 mL,KERO,475.0,ml,4.4,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,475.0,ml,4.4,NARANJA DE JUGO
Bebida de Naranja Watts Caja 1L,,1.0,l,4.5,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,1.0,l,4.5,NARANJA DE JUGO
Bebida de Naranja Watts Caja 1L,,1.0,l,4.5,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,1.0,l,4.5,NARANJA DE JUGO
Bebida Sabor Naranja 1 Lt Botella,FRUGOS DEL VALLE,1.0,l,4.5,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,1.0,l,4.5,NARANJA DE JUGO
BEBIDAS DE NARANJA CAJA 946ML,WATTS,946.0,ml,4.5,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,946.0,ml,4.5,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Botella 1L,,1.0,l,4.5,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,1.0,l,4.5,NARANJA DE JUGO
Bebida de Naranja Gloria Caja 1.5L,,1.5,l,4.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,1.5,l,4.9,NARANJA DE JUGO
Bebida de Naranja Gloria Caja 1.5L,,1.5,l,4.9,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,1.5,l,4.9,NARANJA DE JUGO
Bebida de Naranja 1 L,GLORIA,1.0,l,4.9,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,1.0,l,4.9,NARANJA DE JUGO
Bebida de Naranja Frugos del Valle Caja 1.5L,,1.5,l,5.5,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,1.5,l,5.5,NARANJA DE JUGO
Jugo KING FRUITS Mix fresa y naranja Botella 5...,,500.0,ml,5.6,plaza_vea,2024-12-05 15:12:47.057074,NARANJA DE JUGO,500.0,ml,5.6,NARANJA DE JUGO
Jugo de Fruta KERO Naranja y Piña Botella 475ml,KERO,475.0,ml,5.7,vivanda,2024-12-05 21:59:34.715754,NARANJA DE JUGO,475.0,ml,5.7,NARANJA DE JUGO
"Bebida de Naranja, Piña y Camu Camu Kero Botella 475 ml",,475.0,ml,5.8,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,475.0,ml,5.8,NARANJA DE JUGO
Jugo KING FRUITS Naranja Pasteurizado Botella ...,,500.0,ml,5.8,plaza_vea,2024-12-05 15:12:47.057074,NARANJA DE JUGO,500.0,ml,5.8,NARANJA DE JUGO
Jugo de Naranja Florida's Nature Lata 340ml,,340.0,ml,5.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,340.0,ml,5.9,NARANJA DE JUGO
"Bebida de Naranja, Piña y Camu Camu Kero Botella 475ml",,475.0,ml,5.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,475.0,ml,5.9,NARANJA DE JUGO
Bebida Frugos Fresh Naranja de 3 L,FRUGOS DEL VALLE,3.0,l,5.9,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,3.0,l,5.9,NARANJA DE JUGO
Jugo de Naranja Florida's Nature Lata 340ml,,340.0,ml,5.9,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,340.0,ml,5.9,NARANJA DE JUGO
Jugo de Naranja Zanahoria ECOFRESH Botella 400...,,400.0,ml,6.59,plaza_vea,2024-12-05 15:12:47.057074,NARANJA DE JUGO,400.0,ml,6.59,NARANJA DE JUGO
Jugo de Naranja Zanahoria ECOFRESH Botella 400ml,ECOFRESH,400.0,ml,6.59,vivanda,2024-12-05 21:59:34.715754,NARANJA DE JUGO,400.0,ml,6.59,NARANJA DE JUGO
Jugo de Naranja ECOFRESH Botella 400ml,ECOFRESH,400.0,ml,6.59,vivanda,2024-12-05 21:59:34.715754,NARANJA DE JUGO,400.0,ml,6.59,NARANJA DE JUGO
Jugo de Naranja Pasteurizada Ecofresh Botella 500ml,,500.0,ml,6.6,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,500.0,ml,6.6,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 3 Litros",,3.0,l,7.1,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,3.0,l,7.1,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 3L",,3.0,l,7.1,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,3.0,l,7.1,NARANJA DE JUGO
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.87 lt",,1.87,l,7.1,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,1.87,l,7.1,NARANJA DE JUGO
Bebida Citrus Punch Sabor Naranja 3 L,TAMPICO,3.0,l,7.5,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,3.0,l,7.5,NARANJA DE JUGO
Bebida gasificada con jugo de naranja de 330 mL,SAN PELLEGRINO,330.0,ml,7.5,tottus,2024-12-05 11:55:34.122084,NARANJA DE JUGO,330.0,ml,7.5,NARANJA DE JUGO
Jugo de Naranja ECOFRESH Botella 475ml,,475.0,ml,7.8,plaza_vea,2024-12-05 15:12:47.057074,NARANJA DE JUGO,475.0,ml,7.8,NARANJA DE JUGO
Jugo Naranja ECOFRESH Botella 475ml,ECOFRESH,475.0,ml,7.8,vivanda,2024-12-05 21:59:34.715754,NARANJA DE JUGO,475.0,ml,7.8,NARANJA DE JUGO
Jugo de Naranja Mango Maracuya ECOFRESH Botell...,,475.0,ml,7.8,plaza_vea,2024-12-05 15:12:47.057074,NARANJA DE JUGO,475.0,ml,7.8,NARANJA DE JUGO
Jugo de Naranja Natural Wong Botella 500ml,,500.0,ml,7.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,500.0,ml,7.9,NARANJA DE JUGO
Jugo Cold Pressed de Naranja Ecofresh Botella 475ml,,475.0,ml,7.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,475.0,ml,7.9,NARANJA DE JUGO
Jugo de Naranja Natural Wong Botella 500ml,,500.0,ml,7.9,metro,2024-12-05 15:54:50.245108,NARANJA DE JUGO,500.0,ml,7.9,NARANJA DE JUGO
Jugo Cold Pressed de Naranja con Zanahoria Ecofresh Botella 475ml,,475.0,ml,7.9,wong,2024-12-05 18:27:56.939269,NARANJA DE JUGO,475.0,ml,7.9,NARANJA DE JUGO
Jugo KING FRUITS Mix fresa y naranja Botella 1...,,1.0,l,9.69,plaza_vea,2024-12-05 15:12:47.057074,NARANJA DE JUGO,1.0,l,9.69,NARANJA DE JUGO
