description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Panceta de Cerdo con Hueso y Piel EL BUEN CORT...,,1.35,kg,24.89,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,18.437037037037037,PANCETA (CARNE DE CERDO)
Panceta de Cerdo Con Piel y Con Hueso Congelado x kg,,1.0,kg,28.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,28.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo con Piel y con Hueso en Tiras x kg,,1.0,kg,28.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,28.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo en Tiras con Piel y con Hueso x kg,,1.0,kg,28.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,28.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo con Piel y con Hueso x kg,,1.0,kg,28.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,28.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo con Hueso sin Piel EL BUEN CO...,,1.196,kg,29.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,25.0,PANCETA (CARNE DE CERDO)
Panceta de Cerdo en Tiras con Piel y con Hueso x kg,,1.0,kg,29.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,29.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo sin Piel,,1.95,kg,29.9,plaza_vea,2024-12-05 14:41:48.287147,PANCETA (CARNE DE CERDO),1.0,kg,15.333333333333334,PANCETA (CARNE DE CERDO)
Panceta de Cerdo con Piel y con Hueso x kg,,1.0,kg,33.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo Sin Piel y con Hueso x kg,,1.0,kg,33.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo con Piel y con Hueso en Tiras x kg,,1.0,kg,33.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo Con Piel y Con Hueso Congelado x kg,,1.0,kg,33.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo en Tiras Sin Piel y con Hueso x kg,,1.0,kg,33.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo en Tiras Sin Piel y con Hueso x kg,,1.0,kg,33.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo Sin Piel y Con Hueso Congelado x kg,,1.0,kg,33.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,33.9,PANCETA (CARNE DE CERDO)
Tira de Panceta Con Piel de Cerdo Duroc Redondos x kg,,1.0,kg,38.9,wong,2024-12-05 17:52:50.524219,PANCETA (CARNE DE CERDO),1.0,kg,38.9,PANCETA (CARNE DE CERDO)
Panceta de Cerdo en Tiras con Piel y con Hueso San Fernando x kg,,1.0,kg,38.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,38.9,PANCETA (CARNE DE CERDO)
Tira de Panceta Con Piel de Cerdo Duroc Redondos x kg,,1.0,kg,38.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,38.9,PANCETA (CARNE DE CERDO)
Tira de Panceta Sin Piel de Cerdo Duroc Redondos x kg,,1.0,kg,39.9,metro,2024-12-05 15:23:35.394694,PANCETA (CARNE DE CERDO),1.0,kg,39.9,PANCETA (CARNE DE CERDO)
