description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pop Corn VEGA Bolsa 400g,Vega,400.0,g,2.9,vega,2024-12-05 13:24:31.511686,POP CORN (BOCADITOS),400.0,g,2.9,POP CORN (BOCADITOS)
Pop Corn TIMONEL Bolsa 400g,Timonel,400.0,g,3.1,vega,2024-12-05 13:24:31.511686,POP CORN (BOCADITOS),400.0,g,3.1,POP CORN (BOCADITOS)
Pop Corn ACT II con Mantequilla Sobre 80g,Act II,80.0,g,4.6,vega,2024-12-05 13:24:31.511686,POP CORN (BOCADITOS),80.0,g,4.6,POP CORN (BOCADITOS)
Pop Corn Butter Extra Act II 91g,,91.0,g,4.6,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),91.0,g,4.6,POP CORN (BOCADITOS)
Pop Corn para Microondas Act II Sabor Mantequilla 91g,,91.0,g,4.6,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),91.0,g,4.6,POP CORN (BOCADITOS)
Pop Corn Natural Act II Bolsa 80 g,,80.0,g,4.6,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),80.0,g,4.6,POP CORN (BOCADITOS)
Pop Corn ACT II Sabor Natural Sobre 80g,Act II,80.0,g,4.6,vega,2024-12-05 13:24:31.511686,POP CORN (BOCADITOS),80.0,g,4.6,POP CORN (BOCADITOS)
Pop Corn ACT II con Extra Mantequilla Sobre 85g,Act II,85.0,g,4.6,vega,2024-12-05 13:24:31.511686,POP CORN (BOCADITOS),85.0,g,4.6,POP CORN (BOCADITOS)
Pop Corn Natural Act II Bolsa 80 g,,80.0,g,4.9,wong,2024-12-05 19:26:24.863094,POP CORN (BOCADITOS),80.0,g,4.9,POP CORN (BOCADITOS)
Pop Corn para Microondas Act II Sabor Mantequilla 91g,,91.0,g,4.9,wong,2024-12-05 19:26:24.863094,POP CORN (BOCADITOS),91.0,g,4.9,POP CORN (BOCADITOS)
Pop Corn Butter Extra Act II 91g,,91.0,g,4.9,wong,2024-12-05 19:26:24.863094,POP CORN (BOCADITOS),91.0,g,4.9,POP CORN (BOCADITOS)
Pop Corn con Mantequilla Act Li 80 g,ACT II,80.0,g,5.0,tottus,2024-12-05 12:43:28.420002,POP CORN (BOCADITOS),80.0,g,5.0,POP CORN (BOCADITOS)
Pop Corn Butter Act II Pack 3 Unid,,3.0,un,10.9,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),3.0,un,10.9,POP CORN (BOCADITOS)
Pop Corn Butter Light Act II Pack 3 Unid,,3.0,un,10.9,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),3.0,un,10.9,POP CORN (BOCADITOS)
Pop Corn Natural Act II Pack 3 Unid,,3.0,un,14.7,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),3.0,un,14.7,POP CORN (BOCADITOS)
Pop Corn Butter Act II Pack 3 Unid,,3.0,un,14.8,wong,2024-12-05 19:26:24.863094,POP CORN (BOCADITOS),3.0,un,14.8,POP CORN (BOCADITOS)
Pop Corn Natural Act II Pack 3 Unid,,3.0,un,14.8,wong,2024-12-05 19:26:24.863094,POP CORN (BOCADITOS),3.0,un,14.8,POP CORN (BOCADITOS)
Pop Corn Salado Act Li 3 Unidades,ACT II,3.0,un,14.9,tottus,2024-12-05 12:43:28.420002,POP CORN (BOCADITOS),3.0,un,14.9,POP CORN (BOCADITOS)
Pop Corn Butter Lovers Act Li 3 Unidades,ACT II,3.0,un,14.9,tottus,2024-12-05 12:43:28.420002,POP CORN (BOCADITOS),3.0,un,14.9,POP CORN (BOCADITOS)
Pop Corn Chicken Avinka 350g,,350.0,g,15.3,wong,2024-12-05 19:26:24.863094,POP CORN (BOCADITOS),350.0,g,15.3,POP CORN (BOCADITOS)
Pop Corn Chicken Avinka 350g,,350.0,g,15.3,metro,2024-12-05 16:49:28.725458,POP CORN (BOCADITOS),350.0,g,15.3,POP CORN (BOCADITOS)
