description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pasas Morenas Vallealto 150g,,150.0,g,3.8,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,25.333333333333332,PASAS
Pasas Morenas BELL'S Bolsa 180g,,180.0,g,4.5,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,25.0,PASAS
Pasas Morenas VALLEALTO Bolsa 150g,,150.0,g,4.5,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,30.0,PASAS
Pasas Morenas Cuisine&Co 150g,,150.0,g,4.5,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,30.0,PASAS
Pasas Morenas BELL'S Bolsa 180g,BELL'S,180.0,g,4.6,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,25.555555555555554,PASAS
Pasas Morenas VALLEALTO Bolsa 150g,VALLEALTO,150.0,g,4.9,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,32.66666666666667,PASAS
Pasas Morenas Cuisine&Co 150g,,150.0,g,4.9,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,32.66666666666667,PASAS
Pasas Morenas VILLA NATURA Bolsa 150g,,150.0,g,5.0,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,33.333333333333336,PASAS
Pasas Morenas VILLA NATURA Bolsa 150g,VILLA NATURA,150.0,g,5.0,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,33.333333333333336,PASAS
Pasas Morenas Vallealto 150g,,150.0,g,5.1,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,34.0,PASAS
Pasas Bañadas con Chocolate Fochis 70g,,70.0,g,5.5,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,78.57142857142857,PASAS
Pasas Bañadas con Chocolate Fochis 70g,,70.0,g,5.8,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,82.85714285714285,PASAS
Pasas con Cobertura de Chocolate Choko Pasas Bolsa 100 g,,100.0,g,5.9,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,59.0,PASAS
Pasas morenas 150 g,VILLA NATURA,150.0,g,5.9,tottus,2024-12-06 13:30:10.562596,PASAS,1.0,kg,39.333333333333336,PASAS
Pasas Morenas VALLEALTO Doypack 250g,,250.0,g,7.5,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,30.0,PASAS
Pasas Morenas Villa Natura 200g,,200.0,g,7.7,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,38.5,PASAS
Pasas Morenas Cuisine&Co Pote 250 g,,250.0,g,7.9,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,31.6,PASAS
Pasas Morenas Cuisine&Co Pote 250 g,,250.0,g,7.99,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,31.96,PASAS
Pasas Morenas VALLEALTO Doypack 250g,VALLEALTO,250.0,g,8.0,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,32.0,PASAS
Pasas Morenas BELL'S Táper 250g,BELL'S,250.0,g,8.1,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,32.4,PASAS
Pasas Morenas Vallealto 250g,,250.0,g,8.2,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,32.8,PASAS
Pasas Morenas Vallealto 250g,,250.0,g,8.2,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,32.8,PASAS
Pasas Rubias BELL'S Táper 150g,,150.0,g,8.49,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,56.6,PASAS
Pasas Rubias BELL'S Táper 150g,BELL'S,150.0,g,8.7,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,58.0,PASAS
Pasas Rubias VILLA NATURA Bolsa 150g,VILLA NATURA,150.0,g,8.9,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,59.333333333333336,PASAS
Pasas Morenas VILLA NATURA Bolsa 250g,VILLA NATURA,250.0,g,8.9,vivanda,2024-12-06 11:51:51.391642,PASAS,1.0,kg,35.6,PASAS
Pasas Morenas VILLA NATURA Bolsa 250g,,250.0,g,8.9,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,35.6,PASAS
Pasas Morenas Villa Natura 250g,,250.0,g,9.2,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,36.8,PASAS
Pasas con Chocolate 2 Cerritos Bolsa 125 gr,,125.0,g,10.1,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,80.8,PASAS
Pasas Borrachas con Chocolate 2 Cerritos Bolsa 125 gr,,125.0,g,10.1,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,80.8,PASAS
Pasas Rubias Cuisine & Co 150g,,150.0,g,10.9,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,72.66666666666667,PASAS
Pasas Rubias Vallealto 150g,,150.0,g,11.6,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,77.33333333333333,PASAS
Pasas Rubias Vallealto 150g,,150.0,g,11.6,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,77.33333333333333,PASAS
Pasas Rubias Villa Natura 200g,,200.0,g,11.9,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,59.5,PASAS
Pasas Morenas Villa Natura 500g,,500.0,g,15.6,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,31.2,PASAS
Pasas Morenas Villa Natura 500g,,500.0,g,15.6,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,31.2,PASAS
Pasas Morenas VILLA NATURA Bolsa 500g,,500.0,g,15.9,plaza_vea,2024-12-06 14:05:38.576744,PASAS,1.0,kg,31.8,PASAS
Pasas Morenas x kg,,1.0,kg,27.0,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,27.0,PASAS
Pasas Rubias x kg,,1.0,kg,49.5,wong,2024-12-06 14:06:58.955236,PASAS,1.0,kg,49.5,PASAS
Pasas Rubias x kg,,1.0,kg,49.5,metro,2024-12-06 18:41:38.264606,PASAS,1.0,kg,49.5,PASAS
