description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Aceite de Oliva BELL'S Puro Botella 200ml,BELL'S,200.0,ml,16.2,vivanda,2024-12-07 14:16:43.419930,ACEITE DE OLIVA,1.0,l,81.0,ACEITE DE OLIVA
Aceite de Oliva El Olivar Extra Virgen Botella 200 ml,,200.0,ml,17.9,metro,2024-12-07 20:14:05.701876,ACEITE DE OLIVA,1.0,l,89.5,ACEITE DE OLIVA
Aceite de Oliva Cuisine & Co 250ml,,250.0,ml,19.8,wong,2024-12-07 17:20:39.195241,ACEITE DE OLIVA,1.0,l,79.2,ACEITE DE OLIVA
Aceite de Oliva ACAVILLE Extra Virgen Botella ...,,200.0,ml,20.5,plaza_vea,2024-12-07 13:43:57.176820,ACEITE DE OLIVA,1.0,l,102.5,ACEITE DE OLIVA
Aceite de Oliva ACAVILLE Extra Virgen Botella 200ml,ACAVILLE,200.0,ml,20.5,vivanda,2024-12-07 14:16:43.419930,ACEITE DE OLIVA,1.0,l,102.5,ACEITE DE OLIVA
Aceite de Oliva OLIVOS DEL SUR Extra Virgen Bo...,,200.0,ml,20.9,plaza_vea,2024-12-07 13:43:57.176820,ACEITE DE OLIVA,1.0,l,104.5,ACEITE DE OLIVA
Aceite de Oliva TIMONEL Extra Virgen Botella 200ml,Timonel,200.0,ml,21.2,vega,2024-12-07 15:53:08.263333,ACEITE DE OLIVA,1.0,l,106.0,ACEITE DE OLIVA
Aceite de Oliva CARBONELL Extra Virgen Spray 2...,,200.0,ml,21.5,plaza_vea,2024-12-07 13:43:57.176820,ACEITE DE OLIVA,1.0,l,107.5,ACEITE DE OLIVA
Aceite de Oliva CARBONELL Puro Frasco 200ml,,200.0,ml,21.5,plaza_vea,2024-12-07 13:43:57.176820,ACEITE DE OLIVA,1.0,l,107.5,ACEITE DE OLIVA
Aceite de Oliva Filippo Berio Puro Botella 250ml,,250.0,ml,21.9,wong,2024-12-07 17:20:39.195241,ACEITE DE OLIVA,1.0,l,87.6,ACEITE DE OLIVA
Aceite de Oliva Extra Virgen Carbonell Botella 250 ml,,250.0,ml,21.9,metro,2024-12-07 20:14:05.701876,ACEITE DE OLIVA,1.0,l,87.6,ACEITE DE OLIVA
Aceite de Oliva Extra Virgen Carbonell Botella 250 ml,,250.0,ml,21.9,wong,2024-12-07 17:20:39.195241,ACEITE DE OLIVA,1.0,l,87.6,ACEITE DE OLIVA
Aceite de Oliva Extra Virgen Huerto Alamein 200ml,,200.0,ml,22.1,metro,2024-12-07 20:14:05.701876,ACEITE DE OLIVA,1.0,l,110.5,ACEITE DE OLIVA
