description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Azúcar Blanca BELL'S Bolsa 1Kg,,1.0,kg,4.99,plaza_vea,2024-12-07 14:16:44.167339,AZÚCAR BLANCA,1,kg,4.99,AZÚCAR BLANCA
Azúcar Blanca Wong Bolsa 1 kg,,1.0,kg,5.1,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,5.1,AZÚCAR BLANCA
Azúcar Blanca VEGA Bolsa 1Kg,Vega,1.0,kg,5.1,vega,2024-12-07 16:29:37.392262,AZÚCAR BLANCA,1,kg,5.1,AZÚCAR BLANCA
Azúcar Blanca Cuisine & Co 1kg,,1.0,kg,5.2,metro,2024-12-07 20:45:11.585503,AZÚCAR BLANCA,1,kg,5.2,AZÚCAR BLANCA
Azúcar Blanca Cuisine & Co 1kg,,1.0,kg,5.4,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,5.4,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 1Kg,DULFINA,1.0,kg,5.5,vivanda,2024-12-07 14:39:25.974188,AZÚCAR BLANCA,1,kg,5.5,AZÚCAR BLANCA
Azúcar Blanca Paramonga Bolsa 1 kg,,1.0,kg,5.7,metro,2024-12-07 20:45:11.585503,AZÚCAR BLANCA,1,kg,5.7,AZÚCAR BLANCA
Azúcar Blanca Con Stevia Cuisine&Co Doypack 500 g,,500.0,g,6.9,metro,2024-12-07 20:45:11.585503,AZÚCAR BLANCA,1,kg,13.8,AZÚCAR BLANCA
Azúcar Blanca Metro Bolsa 2 Kg,,2.0,kg,9.8,metro,2024-12-07 20:45:11.585503,AZÚCAR BLANCA,1,kg,4.9,AZÚCAR BLANCA
Azúcar Blanca BELL'S Bolsa 2Kg,,2.0,kg,9.8,plaza_vea,2024-12-07 14:16:44.167339,AZÚCAR BLANCA,1,kg,4.9,AZÚCAR BLANCA
Azúcar Blanca Wong Bolsa 2 kg,,2.0,kg,9.9,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,4.95,AZÚCAR BLANCA
Azúcar Blanca Light Incauca Bolsa 454 g,,454.0,g,10.6,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,23.34801762114537,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 2Kg,,2.0,kg,10.7,plaza_vea,2024-12-07 14:16:44.167339,AZÚCAR BLANCA,1,kg,5.35,AZÚCAR BLANCA
Azúcar Blanca Refinada Dulfina Bolsa 2 kg,,2.0,kg,10.9,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,5.45,AZÚCAR BLANCA
Azúcar Blanca Light Incauca 850g,,850.0,g,18.6,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,21.882352941176475,AZÚCAR BLANCA
Azúcar Blanca Metro Bolsa 5 kg,,5.0,kg,23.9,metro,2024-12-07 20:45:11.585503,AZÚCAR BLANCA,1,kg,4.78,AZÚCAR BLANCA
Azúcar Blanca Wong Bolsa 5 kg,,5.0,kg,23.9,wong,2024-12-07 17:56:23.602638,AZÚCAR BLANCA,1,kg,4.78,AZÚCAR BLANCA
Azúcar Blanca BELL'S Bolsa 5Kg,BELL'S,5.0,kg,24.4,vivanda,2024-12-07 14:39:25.974188,AZÚCAR BLANCA,1,kg,4.88,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 5Kg,DULFINA,5.0,kg,25.9,vivanda,2024-12-07 14:39:25.974188,AZÚCAR BLANCA,1,kg,5.18,AZÚCAR BLANCA
Azúcar Blanca DULFINA Bolsa 5Kg,,5.0,kg,25.9,plaza_vea,2024-12-07 14:16:44.167339,AZÚCAR BLANCA,1,kg,5.18,AZÚCAR BLANCA
