description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Galleta SAN JORGE Vainilla Familiar Paquete 120gr,San Jorge,120.0,g,1.7,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,120.0,g,1.7,GALLETAS DULCES
Galletas SAN JORGE Coconut Paquete 55g x 2u,San Jorge,55.0,g,2.0,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,55.0,g,2.0,GALLETAS DULCES
Galleta De Arroz Costeño Dulce 45 g,COSTENO,45.0,g,2.0,tottus,2024-12-07 12:51:47.317550,GALLETAS DULCES,45.0,g,2.0,GALLETAS DULCES
Galleta Pícaras Mini La Clásica 50g,,50.0,g,2.3,wong,2024-12-07 16:42:58.616475,GALLETAS DULCES,50.0,g,2.3,GALLETAS DULCES
Galleta Vainilla FIELD Familiar Paquete 147gr,Field,147.0,g,2.5,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,147.0,g,2.5,GALLETAS DULCES
Galletas de Soda BELL'S Paquete 6un,BELL'S,6.0,un,2.9,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,2.9,GALLETAS DULCES
Galletas de Agua Line COSTA Paquete 200g,COSTA,200.0,g,2.99,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,200.0,g,2.99,GALLETAS DULCES
Galletas COSTA Soda Line Paquete 170g,COSTA,170.0,g,2.99,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,170.0,g,2.99,GALLETAS DULCES
Galleta OREO Taco 135g,NABISCO OREO,135.0,g,3.1,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,135.0,g,3.1,GALLETAS DULCES
Galletas Integrales BELL'S Paquete 6un,BELL'S,6.0,un,3.3,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,3.3,GALLETAS DULCES
Galletas Soda FIELD Bolsa 6un,FIELD,6.0,un,3.7,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,3.7,GALLETAS DULCES
Galletas Dulces Chaplin 90g,,90.0,g,3.7,metro,2024-12-07 19:39:19.682426,GALLETAS DULCES,90.0,g,3.7,GALLETAS DULCES
Galletas SAN JORGE Vainilla Gourmet Paquete 250g,San Jorge,250.0,g,3.8,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,250.0,g,3.8,GALLETAS DULCES
Galletas Dulces Chaplin 90g,,90.0,g,3.9,wong,2024-12-07 16:42:58.616475,GALLETAS DULCES,90.0,g,3.9,GALLETAS DULCES
Galletas de Soda SODA V Paquete 6un,VICTORIA,6.0,un,4.0,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,4.0,GALLETAS DULCES
Galletas Choco Donuts COSTA Sabor a Chocolate con Leche Paquete 6un,COSTA,6.0,un,4.19,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,4.19,GALLETAS DULCES
Galletas de Cacao COSTA Gran Cereal Paquete 6un,COSTA,6.0,un,4.2,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,4.2,GALLETAS DULCES
Galletas COSTA Gretel Sabor a Manjar Paquete 192g,COSTA,192.0,g,4.2,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,192.0,g,4.2,GALLETAS DULCES
Galletas Navideñas COLOMBINA Navidad Bolsa 150g,San Jorge,150.0,g,4.2,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,150.0,g,4.2,GALLETAS DULCES
Galleta Biscolata Moood 40g,,40.0,g,4.3,wong,2024-12-07 16:42:58.616475,GALLETAS DULCES,40.0,g,4.3,GALLETAS DULCES
Galletas de Vainilla COSTA VAINIYA! Paquete 6un,COSTA,6.0,un,4.3,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,6.0,un,4.3,GALLETAS DULCES
Galletas COSTA Choco Donuts Chocolate con leche Paquete 6u 33g.,Costa,33.0,g,4.5,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,33.0,g,4.5,GALLETAS DULCES
Galletas COSTA Choco Chips Paquete 6u 34g.,Costa,34.0,g,4.5,vega,2024-12-07 15:18:53.564329,GALLETAS DULCES,34.0,g,4.5,GALLETAS DULCES
Galleta CLUB SOCIAL Original Bolsa 144g,NABISCO CLUB SOCIAL,144.0,g,4.6,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,144.0,g,4.6,GALLETAS DULCES
Sixpack Galleta Costa Gran Cereal Cacao 36g,,36.0,g,4.6,wong,2024-12-07 16:42:58.616475,GALLETAS DULCES,36.0,g,4.6,GALLETAS DULCES
Galletas de Soda SAN JORGE Paquete 7un,SAN JORGE,7.0,un,4.6,vivanda,2024-12-07 13:54:01.409320,GALLETAS DULCES,7.0,un,4.6,GALLETAS DULCES
Sixpack Galleta Costa Gran Cereal Clásica 36g,,36.0,g,4.6,wong,2024-12-07 16:42:58.616475,GALLETAS DULCES,36.0,g,4.6,GALLETAS DULCES
