description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Leche Condensada NESTLÉ Toppings Lata 100g,,100.0,g,3.0,plaza_vea,2024-12-07 13:40:09.082598,LECHE CONDENSADA,1.0,kg,30.0,LECHE CONDENSADA
Leche Condensada NESTLÉ Lata 100g,,100.0,g,3.8,plaza_vea,2024-12-07 13:40:09.082598,LECHE CONDENSADA,1.0,kg,38.0,LECHE CONDENSADA
Leche Condensada GLORIA Doypack 200gr,Gloria,200.0,g,4.3,vega,2024-12-07 15:50:15.120020,LECHE CONDENSADA,1.0,kg,21.5,LECHE CONDENSADA
Leche Condensada BELL'S Lata 390g,BELL'S,390.0,g,4.7,vivanda,2024-12-07 14:14:49.149221,LECHE CONDENSADA,1.0,kg,12.051282051282051,LECHE CONDENSADA
Leche Condensada Gloria Doy Pack 200 g,,200.0,g,5.3,metro,2024-12-07 20:09:55.406843,LECHE CONDENSADA,1.0,kg,26.5,LECHE CONDENSADA
Leche Condensada Gloria Doy Pack 200 g,,200.0,g,5.3,wong,2024-12-07 17:15:37.498587,LECHE CONDENSADA,1.0,kg,26.5,LECHE CONDENSADA
Condensada Nestlé Topping 397g,,397.0,g,5.5,wong,2024-12-07 17:15:37.498587,LECHE CONDENSADA,1.0,kg,13.853904282115868,LECHE CONDENSADA
Leche Condensada Cuisine & Co Lata 397g,,397.0,g,5.9,metro,2024-12-07 20:09:55.406843,LECHE CONDENSADA,1.0,kg,14.86146095717884,LECHE CONDENSADA
Leche Condensada Nestlé Lata 393g,,393.0,g,6.2,wong,2024-12-07 17:15:37.498587,LECHE CONDENSADA,1.0,kg,15.776081424936388,LECHE CONDENSADA
Leche Condensada Nestlé Lata 393g,,393.0,g,6.2,metro,2024-12-07 20:09:55.406843,LECHE CONDENSADA,1.0,kg,15.776081424936388,LECHE CONDENSADA
Leche Condensada Nestlé 393 g,NESTLE,393.0,g,6.5,tottus,2024-12-07 13:20:39.987909,LECHE CONDENSADA,1.0,kg,16.539440203562343,LECHE CONDENSADA
Leche Condensada Gloria 393g,,393.0,g,6.5,wong,2024-12-07 17:15:37.498587,LECHE CONDENSADA,1.0,kg,16.539440203562343,LECHE CONDENSADA
Leche Condensada Sin Lactosa Nestlé 387g,,387.0,g,7.4,wong,2024-12-07 17:15:37.498587,LECHE CONDENSADA,1.0,kg,19.121447028423773,LECHE CONDENSADA
Leche Condensada NESTLÉ Sin Lactosa Lata 387g,,387.0,g,8.0,plaza_vea,2024-12-07 13:40:09.082598,LECHE CONDENSADA,1.0,kg,20.671834625322997,LECHE CONDENSADA
Bebida a Base de Coco Condensada Lata 320 g,,320.0,g,12.9,wong,2024-12-07 17:15:37.498587,LECHE CONDENSADA,1.0,kg,40.3125,LECHE CONDENSADA
Leche Condensada Gloria Doypack 1.2 Kg,,1.2,kg,15.9,metro,2024-12-07 20:09:55.406843,LECHE CONDENSADA,1.0,kg,13.25,LECHE CONDENSADA
DOYPACK LECHE CONDENSADA X 1.2KG,GLORIA,1.2,kg,20.5,tottus,2024-12-07 13:20:39.987909,LECHE CONDENSADA,1.0,kg,17.083333333333336,LECHE CONDENSADA
