description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Milanesa de Pollo Cuisine & Co 400g,,400.0,g,15.7,metro,2024-12-07 19:59:49.579914,MILANESA,400.0,g,15.7,MILANESA
Milanesa de Pavo SAN FERNANDO Bolsa 415g,,4.0,un,15.79,plaza_vea,2024-12-07 13:28:27.454829,MILANESA,4.0,un,15.79,MILANESA
Milanesas Veggie Della Natura 4un,,4.0,un,16.9,wong,2024-12-07 17:03:47.170807,MILANESA,4.0,un,16.9,MILANESA
Milanesa de Pavo San Fernando Bolsa 4 Unid / 415 g,,4.0,un,17.8,metro,2024-12-07 19:59:49.579914,MILANESA,4.0,un,17.8,MILANESA
Milanesa de Pavo San Fernando Bolsa 4 Unid / 415 g,,4.0,un,17.8,wong,2024-12-07 17:03:47.170807,MILANESA,4.0,un,17.8,MILANESA
Milanesa de Pescado SEAFROST Caja 600g,,600.0,g,17.9,plaza_vea,2024-12-07 13:28:27.454829,MILANESA,600.0,g,17.9,MILANESA
Milanesa Vegetariana de Soya Kartriso Bandeja 500 g,,500.0,g,19.5,wong,2024-12-07 17:03:47.170807,MILANESA,500.0,g,19.5,MILANESA
Milanesas de Pollo LA CHARCUTERÍA Caja 400g,LA CHARCUTERÍA,400.0,g,22.9,vivanda,2024-12-07 14:05:52.022929,MILANESA,400.0,g,22.9,MILANESA
Milanesa de Pollo AVINKA Bolsa 4un,,600.0,g,25.7,plaza_vea,2024-12-07 13:28:27.454829,MILANESA,600.0,g,25.7,MILANESA
Milanesa de Pollo AVINKA Bolsa 4un,AVINKA,4.0,un,25.7,vivanda,2024-12-07 14:05:52.022929,MILANESA,4.0,un,25.7,MILANESA
Milanesa de Pechuga de Pollo OREGON FOODS Bols...,,4.0,un,27.9,plaza_vea,2024-12-07 13:28:27.454829,MILANESA,4.0,un,27.9,MILANESA
Milanesa de Pechuga de Pollo OREGAN FOODS Bolsa 4un,OREGON FOODS,4.0,un,27.9,vivanda,2024-12-07 14:05:52.022929,MILANESA,4.0,un,27.9,MILANESA
Milanesa de Pollo Oregon Foods 4un,,4.0,un,31.9,wong,2024-12-07 17:03:47.170807,MILANESA,4.0,un,31.9,MILANESA
Milanesa de Pollo Oregon Foods 4un,,4.0,un,31.9,metro,2024-12-07 19:59:49.579914,MILANESA,4.0,un,31.9,MILANESA
Milanesa de Pollo Redondos 1kg,,1.0,kg,32.9,wong,2024-12-07 17:03:47.170807,MILANESA,1.0,kg,32.9,MILANESA
Milanesa de Pollo Redondos 1kg,,1.0,kg,32.9,metro,2024-12-07 19:59:49.579914,MILANESA,1.0,kg,32.9,MILANESA
Milanesa de Res Nacional x kg,,1.0,kg,39.9,metro,2024-12-07 19:59:49.579914,MILANESA,1.0,kg,39.9,MILANESA
