description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bebida Chocolatada La Preferida 800ml,,800.0,ml,3.0,wong,2024-12-07 18:24:49.252141,PRODUCTO ACHOCOLATADO,800.0,ml,3.0,PRODUCTO ACHOCOLATADO
Bebida de Leche UHT BONLÉ Chocolatada Bolsa 800ml,BONLÉ,800.0,ml,3.5,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,800.0,ml,3.5,PRODUCTO ACHOCOLATADO
Leche Chocolatada VAKIMU Botella 350ml,VAKIMU,350.0,ml,4.9,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,350.0,ml,4.9,PRODUCTO ACHOCOLATADO
Bebida de Leche Chocolatada LAIVE Bolsa 900ml,LAIVE,900.0,ml,5.5,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,900.0,ml,5.5,PRODUCTO ACHOCOLATADO
Leche Chocolatada UHT GLORIA Bolsa 900ml,GLORIA,900.0,ml,6.0,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,900.0,ml,6.0,PRODUCTO ACHOCOLATADO
Leche GLORIA UHT Chocolatada Caja 1L,GLORIA,1.0,l,6.5,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,1.0,l,6.5,PRODUCTO ACHOCOLATADO
Leche Chocolatada PIAMONTE Bolsa 946ml,PIAMONTE,946.0,ml,6.9,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,946.0,ml,6.9,PRODUCTO ACHOCOLATADO
Leche Pasteurizada VAKIMU Chocolatada Botella 900ml,VAKIMU,900.0,ml,6.99,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,900.0,ml,6.99,PRODUCTO ACHOCOLATADO
Chocolatada en Polvo Miskísimoo Doypack 200 g,,200.0,g,8.5,wong,2024-12-07 18:24:49.252141,PRODUCTO ACHOCOLATADO,200.0,g,8.5,PRODUCTO ACHOCOLATADO
Leche Chocolatada DANLAC Botella 900ml,DANLAC,900.0,ml,8.6,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,900.0,ml,8.6,PRODUCTO ACHOCOLATADO
Leche Chocolatada Deslactosada DANLAC Botella 900ml,DANLAC,900.0,ml,8.8,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,900.0,ml,8.8,PRODUCTO ACHOCOLATADO
Chocolatada en Polvo BATIANDINO Doypack 200g,BATIANDINO,200.0,g,10.9,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,200.0,g,10.9,PRODUCTO ACHOCOLATADO
Leche Chocolatada GLORIA UHT Niños Caja 180ml Paquete 6un,GLORIA,180.0,ml,11.4,vivanda,2024-12-07 14:54:14.148635,PRODUCTO ACHOCOLATADO,180.0,ml,11.4,PRODUCTO ACHOCOLATADO
