description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sal NORSAL Cocina Bolsa 1Kg,NORSAL,1.0,kg,1.6,vega,2024-12-07 16:38:23.867982,SAL,1.0,kg,1.6,SAL
Salsa De Tomate x 145 gr,TOTTUS,145.0,g,1.8,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,145.0,g,1.8,SAL
Salsa de tomate Pomarola clásica 145 g,MOLITALIA,145.0,g,1.9,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,145.0,g,1.9,SAL
Sal de Mesa Cuisine & Co 1kg,,1.0,kg,2.0,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,2.0,SAL
Sal de Mesa Cuisine & Co 1kg,,1.0,kg,2.0,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,2.0,SAL
Sal de Cocina Gruesa Cuisine & Co 1kg,,1.0,kg,2.0,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,2.0,SAL
Sal de Cocina BELL'S Bolsa 1Kg,BELL'S,1.0,kg,2.0,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,2.0,SAL
SAL DE MESA X 1 KG,TOTTUS,1.0,kg,2.1,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,2.1,SAL
SAL DE COCINA X 1 KG,TOTTUS,1.0,kg,2.1,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,2.1,SAL
Sal EMSAL MARINA de mesa en bolsa 1kg,Emsal,1.0,kg,2.4,vega,2024-12-07 16:38:23.867982,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Mesa Bolsa 1Kg,EMSAL,1.0,kg,2.4,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Mesa Bolsa 1Kg,,1.0,kg,2.4,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,2.4,SAL
Sal de Cocina Marina Emsal Bolsa 1 kg,,1.0,kg,2.4,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,2.4,SAL
Sal de Mesa Marina Emsal Bolsa 1 kg,,1.0,kg,2.4,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,2.4,SAL
Sal de Cocina Marina Emsal Bolsa 1 kg,,1.0,kg,2.4,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,2.4,SAL
Sal Marina EMSAL Cocina Bolsa 1Kg,,1.0,kg,2.4,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,2.4,SAL
Sal de mar de mesa Emsal de 1 kg,MARINA,1.0,kg,2.5,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,2.5,SAL
Sal de mar para cocina de 1 kg,MARINA,1.0,kg,2.5,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,2.5,SAL
Sal de Mesa LOBOS Fina Pote 125g,,125.0,g,2.6,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,20.8,SAL
Salsa tipo Tamarindo 2 BANDERAS con Pasta de T...,,100.0,g,2.69,plaza_vea,2024-12-07 14:29:49.696845,PASTA Y SALSA DE TOMATE,100.0,g,2.69,SAL
Salsa de tomate Pomarola clásica de 290 g,MOLITALIA,290.0,g,3.6,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,290.0,g,3.6,SAL
Salsa de Tomate Pomarola Bolognesa con Carne de 170 g,MOLITALIA,170.0,g,3.7,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,170.0,g,3.7,SAL
Sal Fina de Mesa EMSAL Frasco 125g,,125.0,g,3.79,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,30.32,SAL
Salsa Roja de Tomate DON VITTORIO Doypack 200g,,200.0,g,3.9,plaza_vea,2024-12-07 14:29:49.696845,PASTA Y SALSA DE TOMATE,200.0,g,3.9,SAL
Sal Light 125 g,BIOSAL,125.0,g,4.1,tottus,2024-12-07 14:01:23.284512,SAL,1.0,kg,32.8,SAL
Sal BIOSAL Liviana en sodio Frasco 125g,BIOSAL,125.0,g,4.1,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,32.8,SAL
Sal Marina de Mesa EMSAL Ecológica Doypack 500...,,500.0,g,4.59,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,9.18,SAL
Sal Marina de Mesa EMSAL Ecológica Doypack 500g,MARINA,500.0,g,5.1,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,10.2,SAL
Sal Marina Emsal Doypack Ecológico 500Gr,,500.0,g,5.1,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,10.2,SAL
Sal Marina Emsal Doypack Ecológico 500Gr,,500.0,g,5.1,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,10.2,SAL
Sal de Mesa LOBOS Fina Frasco 500g,LOBOS,500.0,g,5.29,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,10.58,SAL
Sal de Mesa LOBOS Fina Frasco 500g,,500.0,g,5.29,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,10.58,SAL
Sal Fina de Mesa EMSAL Frasco 500g,,500.0,g,5.59,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,11.18,SAL
Sal Fina de Mesa EMSAL Frasco 500g,EMSAL,500.0,g,6.3,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,12.6,SAL
Sal Fina De Mesa Marina Emsal Frasco 500 g,,500.0,g,6.3,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,12.6,SAL
Sal Fina De Mesa Marina Emsal Frasco 500 g,,500.0,g,6.3,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,12.6,SAL
Sal Parrillera BELL'S Frasco 500g,,500.0,g,6.6,plaza_vea,2024-12-07 14:25:08.022693,SAL,1.0,kg,13.2,SAL
Salsa de Tomate Pomarola Bolognesa de 370 g,MOLITALIA,370.0,g,6.85,tottus,2024-12-07 14:08:00.461486,PASTA Y SALSA DE TOMATE,370.0,g,6.85,SAL
Sal de Maras Semi Gruesa Oli21 140g,,140.0,g,8.2,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,58.57142857142856,SAL
Sal de Maras Molida Oli21 145g,,145.0,g,8.2,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,56.55172413793103,SAL
Sal de Maras ONZA Ají Panca Doypack 400g,ONZA,400.0,g,8.7,vivanda,2024-12-07 14:44:22.527344,SAL,1.0,kg,21.75,SAL
