description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Yogurt GLORIA Batti Shake Vainilla Vaso 120g,,120.0,g,1.6,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,1.6,YOGUR MIXTO EN VASO
Yogurt GLORIA Batti Shake Fresa Vaso 120g,,120.0,g,1.6,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,1.6,YOGUR MIXTO EN VASO
Yogurt Battishake Gloria Fresa Vaso 120 g,,120.0,g,1.6,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,120.0,g,1.6,YOGUR MIXTO EN VASO
Yogurt GLORIA Frutado Fresa Vaso 120g,,120.0,g,1.7,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
Yogurt Batishake Gloria Vainilla Vaso 120 g,,120.0,g,1.7,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
Yogurt Frutado Gloria Durazno Vaso 120 g,,120.0,g,1.7,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
Yogurt GLORIA Frutado Durazno Vaso 120g,,120.0,g,1.7,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
Yogurt Battishake Gloria Fresa Vaso 120 g,,120.0,g,1.7,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,1.7,YOGUR MIXTO EN VASO
Yogurt GLORIA Frutado Durazno Vaso 120g,GLORIA,120.0,g,1.8,vivanda,2024-12-07 14:13:33.804837,YOGUR MIXTO EN VASO,120.0,g,1.8,YOGUR MIXTO EN VASO
Yogurt GLORIA Frutado Fresa Vaso 120g,GLORIA,120.0,g,1.8,vivanda,2024-12-07 14:13:33.804837,YOGUR MIXTO EN VASO,120.0,g,1.8,YOGUR MIXTO EN VASO
Yogurt Frutado Gloria Fresa Vaso 120 g,,120.0,g,1.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,1.9,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Fresa Botella 18...,,180.0,g,1.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
Yogurt GLORIA Parcialmente Descremado Sabor a ...,,180.0,kg,1.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,180.0,kg,1.9,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Vainilla Botella...,,180.0,g,1.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Lúcuma Botella 1...,,180.0,g,1.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,180.0,g,1.9,YOGUR MIXTO EN VASO
Yogurt GLORIA Slim Sabor a Fresa Vaso 120g,GLORIA,120.0,g,2.0,vivanda,2024-12-07 14:13:33.804837,YOGUR MIXTO EN VASO,120.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Bebible Sabor Vainilla Francesa Laive 180g,,180.0,g,2.0,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Gloria Slim Sabor Fresa 120g,,120.0,g,2.0,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Botella 180 g,,180.0,g,2.0,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Lúcuma Botella 180 g,,180.0,g,2.0,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Gloria Slim Sabor Fresa 120g,,120.0,g,2.0,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,120.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Vainilla Botella 180 g,,180.0,g,2.0,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,180.0,g,2.0,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Fresa Botella 180g,,180.0,g,2.1,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.1,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Lúcuma Botella 180 g,,180.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Durazno Botella 180 g,,180.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Batido GLORIA Griego Sabor Maracuyá Vas...,,120.0,g,2.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Sabor Fresa y Plátano 180g,,180.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Griego LAIVE con Trozos de Blueberry Va...,,120.0,g,2.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Batido GLORIA Griego Sabor Mango Vaso 1...,,120.0,g,2.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Mango 120g,,120.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Maracuyá 120g,,120.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Vainilla Botella 180 g,,180.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Frutos Rojos 120g,,120.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Griego LAIVE Sabor a Frutos Rojos Vaso ...,,115.0,g,2.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,115.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Frutos Rojos 120g,,120.0,g,2.2,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Griego con Miel 120g,,120.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Botella 180 g,,180.0,g,2.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Mango 120g,,120.0,g,2.2,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
Yogurt Gloria Zero Lacto Fresa 180g,,180.0,g,2.4,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.4,YOGUR MIXTO EN VASO
Yogurt Gloria Slim Sabor Frutos Rojos Botella 180g,,180.0,g,2.4,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,180.0,g,2.4,YOGUR MIXTO EN VASO
Yogurt Batido con Trozos de Arándano Laive Griego 120g,,120.0,g,2.5,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,120.0,g,2.5,YOGUR MIXTO EN VASO
Yogurt Gloria Batti Mix Mini Cookies 138g,,138.0,g,2.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,138.0,g,2.99,YOGUR MIXTO EN VASO
Yogurt Gloria Batti Mix Mini Cookies 138g,,138.0,g,2.99,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,138.0,g,2.99,YOGUR MIXTO EN VASO
Yogurt Gloria Battimix Vainilla 146g,,146.0,g,2.99,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,146.0,g,2.99,YOGUR MIXTO EN VASO
Yogurt Gloria Battimix Vainilla 146g,,146.0,g,2.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,146.0,g,2.99,YOGUR MIXTO EN VASO
Yogurt Battimix Gloria Vainilla C/Hojuelas Azucaradas Vaso 125 g,,1.0,g,2.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.0,g,2.99,YOGUR MIXTO EN VASO
Yogurt Batido Sabor Fresa con Bolitas de Chocolate Gloria Batti Mix 146g,,146.0,g,2.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,146.0,g,2.99,YOGUR MIXTO EN VASO
Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,,146.0,g,3.1,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,146.0,g,3.1,YOGUR MIXTO EN VASO
Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,,146.0,g,3.1,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,146.0,g,3.1,YOGUR MIXTO EN VASO
Yogurt con Chocobolitas Cuisine & Co 125g,,125.0,g,3.2,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,125.0,g,3.2,YOGUR MIXTO EN VASO
Yogurt con Grageas Cuisine & Co 125g,,125.0,g,3.2,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,125.0,g,3.2,YOGUR MIXTO EN VASO
Yogurt GLORIA Battimix Vainilla con Arroz Crujiente Bañado en Chocolate Vaso 146g,GLORIA,146.0,g,3.6,vivanda,2024-12-07 14:13:33.804837,YOGUR MIXTO EN VASO,146.0,g,3.6,YOGUR MIXTO EN VASO
Yogurt Frutado DANLAC Fresa Frasco 160g,,160.0,g,4.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,160.0,g,4.2,YOGUR MIXTO EN VASO
Yogurt Griego Vakimu Mango Pasión 160g,,160.0,g,4.4,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.4,YOGUR MIXTO EN VASO
Yogurt Vakimu +Pro Fresa 160g,,160.0,g,4.79,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.79,YOGUR MIXTO EN VASO
Yogurt Vakimu +Pro Arándano 160g,,160.0,g,4.88,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.88,YOGUR MIXTO EN VASO
Yogurt Frutado Danlac Maracumango 160g,,160.0,g,4.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Frutos del Bosque Danlac 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Frutos del Bosque Danlac 160g,,160.0,g,4.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Fresa Danlac 160g,,160.0,g,4.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Fresa Danlac 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Griego Danlac Sabor Natural Frasco 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado Danlac Maracumango 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Premium Tigo Light Fresa Vaso 160 g,,160.0,g,5.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,5.2,YOGUR MIXTO EN VASO
Yogurt Premium Tigo Light Natural Vaso 160 g,,160.0,g,5.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,5.2,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Fresa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sin Lactosa Fresa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sin Lactosa Sabor Vainilla Francesa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Botella 1kg,,1.0,kg,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.0,kg,5.9,YOGUR MIXTO EN VASO
