description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Café Instantáneo Altomayo Gourmet 170g,S/ 28.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,170.0,g,Café Instantáneo Altomayo Gourmet,28.9
Café Instantáneo Altomayo Gourmet 150g,S/ 27.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,150.0,g,Café Instantáneo Altomayo Gourmet,27.5
Café Instantáneo Nescafé Fina Selección 200g,S/ 30.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,200.0,g,Café Instantáneo Nescafé Fina Selección,30.5
Café Instantáneo Kirma Clásico 190g,S/ 22.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,190.0,g,Café Instantáneo Kirma Clásico,22.9
Café Instantáneo Liofilizado Cafetal 180g,S/ 30.60,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,180.0,g,Café Instantáneo Liofilizado Cafetal,30.6
Café Instantáneo Nescafé Gold 200g,S/ 43.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,200.0,g,Café Instantáneo Nescafé Gold,43.9
Café Instantáneo Nescafé Tradición 250g,S/ 34.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,250.0,g,Café Instantáneo Nescafé Tradición,34.9
Café Instantáneo Nescafé Tradición 170g,S/ 23.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,170.0,g,Café Instantáneo Nescafé Tradición,23.9
Café Instantáneo Nescafé Descafeinado 170g,S/ 41.10,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,170.0,g,Café Instantáneo Nescafé Descafeinado,41.1
Café Instantáneo Kirma Clásico 250g,S/ 27.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,250.0,g,Café Instantáneo Kirma Clásico,27.9
Café Instantáneo Kirma Clásico 150g,S/ 22.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,150.0,g,Café Instantáneo Kirma Clásico,22.9
Café Instantáneo Nescafé Gold 100g,S/ 38.10,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,100.0,g,Café Instantáneo Nescafé Gold,38.1
Café Instantáneo Altomayo Clásico 150g,S/ 18.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,150.0,g,Café Instantáneo Altomayo Clásico,18.9
Café Instantáneo Altomayo Clásico 170g,S/ 22.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,170.0,g,Café Instantáneo Altomayo Clásico,22.9
Café Instantáneo Altomayo Gourmet 45g,S/ 11.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,45.0,g,Café Instantáneo Altomayo Gourmet,11.5
Café Instantáneo Altomayo Clásico 45g,S/ 6.20,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,45.0,g,Café Instantáneo Altomayo Clásico,6.2
Café Instantáneo Nescafé Descafeinado 40g,S/ 16.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,40.0,g,Café Instantáneo Nescafé Descafeinado,16.9
Café Instantáneo Nescafé Tradición 150g,S/ 26.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,150.0,g,Café Instantáneo Nescafé Tradición,26.5
Café Instantáneo Nescafé Gold 50g,S/ 22.10,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,50.0,g,Café Instantáneo Nescafé Gold,22.1
Café Instantáneo Cafetal 150g,S/ 26.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,150.0,g,Café Instantáneo Cafetal,26.5
Café Instantáneo Cafetal Clásico 150g,S/ 15.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,150.0,g,Café Instantáneo Cafetal Clásico,15.9
Café Instantáneo Kirma Clásico 45g,S/ 8.30,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,45.0,g,Café Instantáneo Kirma Clásico,8.3
Café Instantáneo Altomayo Gourmet 90g,S/ 20.60,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,90.0,g,Café Instantáneo Altomayo Gourmet,20.6
Café Instantáneo Descafeinado Altomayo 170g,S/ 36.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,170.0,g,Café Instantáneo Descafeinado Altomayo,36.9
Café Instantáneo Nescafé Descafeinado 100g,S/ 29.30,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,100.0,g,Café Instantáneo Nescafé Descafeinado,29.3
Café Instantáneo Kirma Clásico 190g + Mezcla Láctea Ideal Amanecer Lata 390g,S/ 23.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,190.0,g,Café Instantáneo Kirma Clásico  + Mezcla Láctea Ideal Amanecer Lata,23.5
Café Instantáneo Cafetal Clásico 180g,S/ 23.50,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,180.0,g,Café Instantáneo Cafetal Clásico,23.5
Café Instantáneo Descafeinado Altomayo 45g,S/ 13.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,45.0,g,Café Instantáneo Descafeinado Altomayo,13.9
Café Instantáneo Altomayo Clásico 45g,S/ 8.10,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,45.0,g,Café Instantáneo Altomayo Clásico,8.1
Café Instantáneo Altomayo Gourmet 450g,S/ 78.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,450.0,g,Café Instantáneo Altomayo Gourmet,78.9
Café Instantáneo Granulado Descafeinado Cuisine & Co 180g,S/ 27.90,metro,CAFÉ INSTANTÁNEO,2024-12-04 22:21:49.309491,180.0,g,Café Instantáneo Granulado Descafeinado Cuisine & Co,27.9
