description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pasas Morenas Cuisine&Co 150g,S/ 4.50,metro,PASAS,2024-12-04 21:38:28.064613,150.0,g,Pasas Morenas Cuisine&Co,4.5
Pasas Morenas x kg,S/ 27.00 x kg,metro,PASAS,2024-12-04 21:38:28.064613,1.0,kg,Pasas Morenas,27.0
Pasas Morenas Vallealto 150g,S/ 5.10,metro,PASAS,2024-12-04 21:38:28.064613,150.0,g,Pasas Morenas Vallealto,5.1
Pasas Morenas Cuisine&Co Pote 250 g,S/ 7.90,metro,PASAS,2024-12-04 21:38:28.064613,250.0,g,Pasas Morenas Cuisine&Co Pote,7.9
Pasas Morenas Vallealto 250g,S/ 8.20,metro,PASAS,2024-12-04 21:38:28.064613,250.0,g,Pasas Morenas Vallealto,8.2
Pasas Morenas Villa Natura 200g,S/ 7.70,metro,PASAS,2024-12-04 21:38:28.064613,200.0,g,Pasas Morenas Villa Natura,7.7
Pasas Borrachas con Chocolate 2 Cerritos Bolsa 125g,S/ 9.90,metro,PASAS,2024-12-04 21:38:28.064613,125.0,g,Pasas Borrachas con Chocolate 2 Cerritos Bolsa,9.9
Pasas Rubias x kg,S/ 49.50 x kg,metro,PASAS,2024-12-04 21:38:28.064613,1.0,kg,Pasas Rubias,49.5
Pasas Rubias Cuisine & Co 150g,S/ 10.90,metro,PASAS,2024-12-04 21:38:28.064613,150.0,g,Pasas Rubias Cuisine & Co,10.9
Pasas Bañadas con Chocolate Fochis 70g,S/ 5.50,metro,PASAS,2024-12-04 21:38:28.064613,70.0,g,Pasas Bañadas con Chocolate Fochis,5.5
Pasas con Cobertura de Chocolate Choko Pasas Bolsa 100 g,S/ 5.90,metro,PASAS,2024-12-04 21:38:28.064613,100.0,g,Pasas con Cobertura de Chocolate Choko Pasas Bolsa,5.9
Pasas Rubias Vallealto 150g,S/ 11.60,metro,PASAS,2024-12-04 21:38:28.064613,150.0,g,Pasas Rubias Vallealto,11.6
Pasas con Chocolate 2 Cerritos Bolsa 125 gr,S/ 9.90,metro,PASAS,2024-12-04 21:38:28.064613,125.0,g,Pasas con Chocolate 2 Cerritos Bolsa r,9.9
Pasas Rubias Villa Natura 200g,S/ 11.90,metro,PASAS,2024-12-04 21:38:28.064613,200.0,g,Pasas Rubias Villa Natura,11.9
Pasas Morenas Villa Natura 500g,S/ 15.60,metro,PASAS,2024-12-04 21:38:28.064613,500.0,g,Pasas Morenas Villa Natura,15.6
Granola con Pasas y Almendras Unión Doypack 400 g,S/ 16.90,metro,PASAS,2024-12-04 21:38:28.064613,400.0,g,Granola con Pasas y Almendras Unión Doypack,16.9
