description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Papaya Metro x kg,S/ 3.29 x kg,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,Papaya Metro,3.29
Papaya en Trozos Congelada El Frutero 1kg,S/ 15.99,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,Papaya en Trozos Congelada El Frutero,15.99
Papaya Sur Metro x kg,S/ 3.99 x kg,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,Papaya Sur Metro,3.99
Papaya en Trozos Congelada Fest 500g,S/ 7.99,metro,PAPAYA,2024-12-05 15:58:20.233840,500.0,g,Papaya en Trozos Congelada Fest,7.99
Papaya en Trozos Natifrut 280g,S/ 8.49,metro,PAPAYA,2024-12-05 15:58:20.233840,280.0,g,Papaya en Trozos Natifrut,8.49
Papaya en Trozos Congelados Natifrut 1kg,S/ 16.14,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,Papaya en Trozos Congelados Natifrut,16.14
Mix de Frutas El Frutero 1kg: Fresa + Papaya + Piña,S/ 15.49,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,Mix de Frutas El Frutero : Fresa + Papaya + Piña,15.49
"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja 500ml",S/ 2.10,metro,PAPAYA,2024-12-05 15:58:20.233840,500.0,ml,"Bebida de Piña, Papaya, Naranja y Plátano Gloria Caja",2.1
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut",15.72
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,metro,PAPAYA,2024-12-05 15:58:20.233840,1.0,kg,"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut",15.72
Origens Comida para Gatos Filete de Atún con Papaya Lata 85 g,S/ 7.80,metro,PAPAYA,2024-12-05 15:58:20.233840,85.0,g,Origens Comida para Gatos Filete de Atún con Papaya Lata,7.8
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,metro,PAPAYA,2024-12-05 15:58:20.233840,340.0,g,"Ensalada de Frutas Piña, Sandía y Papaya Natifrut",9.49
Loción de Manos y Cuerpo Creightons Mango & Papaya 400ml,S/ 29.90,metro,PAPAYA,2024-12-05 15:58:20.233840,400.0,ml,Loción de Manos y Cuerpo Creightons Mango & Papaya,29.9
