description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Hamburguesa San Fernando La Super Rica 14un,S/ 10.80,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesa San Fernando La Super Rica,10.8
La Súper San Fernando 14un,S/ 14.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,La Súper San Fernando,14.9
Hamburguesas de Pollo Redondos 14un,S/ 13.00,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesas de Pollo Redondos,13.0
Hamburguesa de Res Otto Kunz 8un,S/ 28.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,8.0,un,Hamburguesa de Res Otto Kunz,28.9
El Churrasquito de Carne Schilcayo 14un,S/ 16.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,El Churrasquito de Carne Schilcayo,16.9
Hamburguesas de Res Oregon Foods 8un,S/ 28.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,8.0,un,Hamburguesas de Res Oregon Foods,28.5
Hamburguesa De la Casa Metro x kg,S/ 29.90 x kg,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,1.0,kg,Hamburguesa De la Casa Metro,29.9
La Casera San Fernando 14un,S/ 16.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,La Casera San Fernando,16.5
Hamburguesas Premium Artesanales Clásicas Los Hierros Bolsa 4 Unid / 340 g,S/ 14.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesas Premium Artesanales Clásicas Los Hierros Bolsa  /,14.9
Hamburguesa de Res Otto Kunz Bolsa 4 unid,S/ 15.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa de Res Otto Kunz Bolsa,15.9
Hamburguesa San Fernando La Casera 14un,S/ 14.10,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesa San Fernando La Casera,14.1
Hamburguesas de Pollo Redondos 6un,S/ 6.80,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,6.0,un,Hamburguesas de Pollo Redondos,6.8
La Sanguchera de Carne Schilcayo 16un,S/ 14.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,16.0,un,La Sanguchera de Carne Schilcayo,14.9
Hamburguesa de Perico Umi Foods Caja 500 g,S/ 21.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,500.0,g,Hamburguesa de Perico Umi Foods Caja,21.5
Hamburguesas Parrilleras Oregon Foods 4un,S/ 33.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesas Parrilleras Oregon Foods,33.9
Hamburguesa de Res Metro Bolsa 12un,S/ 28.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,12.0,un,Hamburguesa de Res Metro Bolsa,28.9
Hamburguesa de Pollo Schilcayo El Churrasquito 14 un.,S/ 15.80,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesa de Pollo Schilcayo El Churrasquito .,15.8
Hamburguesa de Carne de Res La Magnífica 14un.,S/ 12.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,14.0,un,Hamburguesa de Carne de Res La Magnífica .,12.9
El Churrasquito de Carne Schilcayo 6un,S/ 8.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,6.0,un,El Churrasquito de Carne Schilcayo,8.9
Hamburguesas de Pavita San Fernando 6un,S/ 21.40,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,6.0,un,Hamburguesas de Pavita San Fernando,21.4
Hamburguesas Premium de Pollo Los Hierros Bolsa 8 Unid /504 g,S/ 13.25,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,8.0,un,Hamburguesas Premium de Pollo Los Hierros Bolsa  /,13.25
Hamburguesa Parrillera de Res Otto Kunz 4un,S/ 28.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa Parrillera de Res Otto Kunz,28.9
Nuggets de Tilapia Marina Santa Priscila 142g,S/ 6.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,142.0,g,Nuggets de Tilapia Marina Santa Priscila,6.9
Choriburger San Fernando 12un,S/ 21.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,12.0,un,Choriburger San Fernando,21.9
Hamburguesas de Pollo x kg,S/ 17.75 x kg,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,1.0,kg,Hamburguesas de Pollo,17.75
Mini Burgers de Res Oregon Foods 12un,S/ 27.50,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,12.0,un,Mini Burgers de Res Oregon Foods,27.5
Hamburguesa Parrillera de Pollo Finas Hierba Redondos 4un,S/ 19.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa Parrillera de Pollo Finas Hierba Redondos,19.9
Deli Bistec San Fernando 4un.,S/ 9.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Deli Bistec San Fernando .,9.9
Hamburguesa de Pollo Avinka 4un,S/ 16.47,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa de Pollo Avinka,16.47
Hamburguesa de Carne Artesanales Los Hierros 4un,S/ 24.90,metro,HAMBURGUESA,2024-12-06 18:05:51.589298,4.0,un,Hamburguesa de Carne Artesanales Los Hierros,24.9
