description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Jamonada Especial Suiza Paquete 200 g,S/ 5.90,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Jamonada Especial Suiza Paquete,5.9
Jamonada de Pavita San Fernando Paquete 85 g,S/ 1.84,metro,JAMONADA,2024-12-06 18:04:40.256854,85.0,g,Jamonada de Pavita San Fernando Paquete,1.84
Jamonada Polaca Otto Kunz 180g,S/ 7.22,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Jamonada Polaca Otto Kunz,7.22
Jamonada Especial Braedt 480g,S/ 10.90,metro,JAMONADA,2024-12-06 18:04:40.256854,480.0,g,Jamonada Especial Braedt,10.9
Jamonada Polaca Casa Europa Paquete 200 g,S/ 9.90,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Jamonada Polaca Casa Europa Paquete,9.9
Jamonada con Pollo Suiza Paquete 200 g,S/ 5.50,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Jamonada con Pollo Suiza Paquete,5.5
Jamonada Especial Suiza 100g,S/ 3.70,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Jamonada Especial Suiza,3.7
Jamonada de Pollo La Segoviana 500g,S/ 9.90,metro,JAMONADA,2024-12-06 18:04:40.256854,500.0,g,Jamonada de Pollo La Segoviana,9.9
Jamonada Especial Otto Kunz 180g,S/ 7.70,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Jamonada Especial Otto Kunz,7.7
Jamonada Polaca Salchichería Alemana 200g,S/ 7.90,metro,JAMONADA,2024-12-06 18:04:40.256854,200.0,g,Jamonada Polaca Salchichería Alemana,7.9
Jamonada Bologna Otto Kunz 180g,S/ 6.60,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Jamonada Bologna Otto Kunz,6.6
Jamonada de Pollo Otto Kunz Paquete 100 g,S/ 4.50,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Jamonada de Pollo Otto Kunz Paquete,4.5
Jamonada Especial Braedt 180g,S/ 5.20,metro,JAMONADA,2024-12-06 18:04:40.256854,180.0,g,Jamonada Especial Braedt,5.2
Jamonada con Pollo Suiza 100g,S/ 3.90,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Jamonada con Pollo Suiza,3.9
Jamonada Especial Otto Kunz Paquete 100 g,S/ 5.60,metro,JAMONADA,2024-12-06 18:04:40.256854,100.0,g,Jamonada Especial Otto Kunz Paquete,5.6
