description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Papa Amarilla Tumbay Especial Metro x kg,S/ 5.99 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Tumbay Especial Metro,5.99
Papa Amarilla Tumbay Procesada x kg,S/ 8.09 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Tumbay Procesada,8.09
Papa Amarilla Peruanita Procesada Metro x kg,S/ 8.49 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Peruanita Procesada Metro,8.49
Papa Amarilla Huamantanga Metro x kg,S/ 6.99 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Huamantanga Metro,6.99
Papa Amarilla Peruanita Cocktail x kg,S/ 5.89 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Peruanita Cocktail,5.89
Papa Amarilla Tumbay x kg,S/ 8.49 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Tumbay,8.49
Papa Amarilla Tumbay Extra Metro x kg,S/ 7.64 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Tumbay Extra Metro,7.64
Papa Amarilla Tumbay Procesada x kg,S/ 8.09 x kg,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Tumbay Procesada,8.09
Papa Amarilla Tumbay Agro Selecto 1Kg,S/ 8.50,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Tumbay Agro Selecto,8.5
Papa Amarilla Cocktail Comcen 1kg,S/ 5.30,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,1.0,kg,Papa Amarilla Cocktail Comcen,5.3
Papa Amarilla Peruanita Agro Selecto 2kg,S/ 17.00,metro,PAPA AMARILLA,2024-12-06 18:59:27.495055,2.0,kg,Papa Amarilla Peruanita Agro Selecto,17.0
