description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Sancochado Punta de Pecho Nacional x kg,S/ 21.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado Punta de Pecho Nacional,21.9
Sancochado de Osobuco Nacional Porcionado x kg,S/ 25.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado de Osobuco Nacional Porcionado,25.9
Sancochado de Pescuezo Nacional x kg,S/ 22.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado de Pescuezo Nacional,22.9
Sancochado de Osobuco Nacional x kg,S/ 25.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado de Osobuco Nacional,25.9
Sancochado Punta de Pecho x kg,S/ 24.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado Punta de Pecho,24.9
Sancochado de Pescuezo x kg,S/ 25.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado de Pescuezo,25.9
Sancochado Punta de Pecho Don Goyo x kg,S/ 24.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Sancochado Punta de Pecho Don Goyo,24.9
Costillar Nacional x kg,S/ 18.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Costillar Nacional,18.9
Entrecostilla de Res Metro x kg,S/ 39.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Entrecostilla de Res Metro,39.9
Costillar Nacional x kg,S/ 18.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Costillar Nacional,18.9
Costillar Don Goyo x kg,S/ 21.90 x kg,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Costillar Don Goyo,21.9
Verduras Picadas para Ensalada Sancochado Cuisine & Co 800g,S/ 15.50,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,800.0,g,Verduras Picadas para Ensalada Sancochado Cuisine & Co,15.5
Barritas de Ganado Vacuno Pet's Fun 1kg,S/ 39.90,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.0,kg,Barritas de Ganado Vacuno Pet's Fun,39.9
Barritas de Ganado Vacuno Pet's Fun 500g,S/ 22.50,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,500.0,g,Barritas de Ganado Vacuno Pet's Fun,22.5
Hojuelas de Ganado Vacuno Deshidratado Pet's Fun 750g,S/ 30.00,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,750.0,g,Hojuelas de Ganado Vacuno Deshidratado Pet's Fun,30.0
Barritas de ganado Vacuno Pet's Fun 250g,S/ 13.20,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,250.0,g,Barritas de ganado Vacuno Pet's Fun,13.2
Huesitos de Ganado Vacuno Deshidratado Pet's Fun 162g,S/ 16.40,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,162.0,g,Huesitos de Ganado Vacuno Deshidratado Pet's Fun,16.4
Premios de Vacuno Ahumados Pet's Fun 80g,S/ 9.00,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,80.0,g,Premios de Vacuno Ahumados Pet's Fun,9.0
Hueso de Ganado Vacuno Deshidratado Pet's Fun 100g,S/ 14.59,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,100.0,g,Hueso de Ganado Vacuno Deshidratado Pet's Fun,14.59
Hueso de Ganado Vacuno Deshidratado Pet's Fun 130g,S/ 18.00,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,130.0,g,Hueso de Ganado Vacuno Deshidratado Pet's Fun,18.0
Huesos de ganado Vacuno Deshidratado Pet's Fun 75g,S/ 9.80,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,75.0,g,Huesos de ganado Vacuno Deshidratado Pet's Fun,9.8
Snack Dentitoy Pescado Vacuno 6un,S/ 6.70,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,6.0,un,Snack Dentitoy Pescado Vacuno,6.7
Delicias Pechuga de Pato y Vacuno Dentitoy 4un,S/ 8.60,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,4.0,un,Delicias Pechuga de Pato y Vacuno Dentitoy,8.6
Hojuelas de ganado Vacuno deshidrat Pet's Fun 60g,S/ 6.50,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,60.0,g,Hojuelas de ganado Vacuno deshidrat Pet's Fun,6.5
Huesitos de Ganado Vacuno Deshidratado Pet's Fun 30g,S/ 5.20,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,30.0,g,Huesitos de Ganado Vacuno Deshidratado Pet's Fun,5.2
Hojuelas de Ganado Vacuno Deshidratado Pet's Fun 250g,S/ 12.90,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,250.0,g,Hojuelas de Ganado Vacuno Deshidratado Pet's Fun,12.9
Huesos de ganado Vacuno deshidratad Pet's Fun 250g,S/ 14.50,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,250.0,g,Huesos de ganado Vacuno deshidratad Pet's Fun,14.5
Delicias Pechuga de Pavo y Vacuno Dentitoy 4un,S/ 8.60,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,4.0,un,Delicias Pechuga de Pavo y Vacuno Dentitoy,8.6
Hojuelas de ganado Vacuno deshidrat Pet's Fun 100g,S/ 9.10,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,100.0,g,Hojuelas de ganado Vacuno deshidrat Pet's Fun,9.1
Premios de Vacuno Ahumados Pet's Fun 250g,S/ 14.20,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,250.0,g,Premios de Vacuno Ahumados Pet's Fun,14.2
Hermético Percutti Vacuum 1.500ml,S/ 26.40,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,1.5,ml,Hermético Percutti Vacuum,26.4
Hermético Percutti Vacuum 2.000ml,S/ 26.40,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,2.0,ml,Hermético Percutti Vacuum,26.4
Hermético Percutti Vacuum 600ml,S/ 14.80,metro,SANCOCHADO DE VACUNO,2024-12-06 17:54:12.710102,600.0,ml,Hermético Percutti Vacuum,14.8
