description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Filete de Atún en Aceite Campomar 150g,S/ 6.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,150.0,g,Filete de Atún en Aceite Campomar,6.2
Filete de Atún en Aceite Florida 140g,S/ 5.90,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Aceite Florida,5.9
Filete de Atún Primor 140g,S/ 6.10,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún Primor,6.1
Filete de Atún en Agua Florida 140g,S/ 5.90,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Agua Florida,5.9
Filete de Atún en Agua y Sal Cuisine & Co 140g,S/ 4.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Agua y Sal Cuisine & Co,4.2
Filete de Atún en Agua Campomar 150g,S/ 6.00,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,150.0,g,Filete de Atún en Agua Campomar,6.0
Filete de Atún en Aceite Vegetal Metro 140g,S/ 4.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Aceite Vegetal Metro,4.2
Filete de Atún en Agua y Sal Metro 140g,S/ 4.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Agua y Sal Metro,4.2
Filete de Atún en Aceite Girasol y Sal Florida 140g,S/ 5.90,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Aceite Girasol y Sal Florida,5.9
Filete de Atún en Agua Primor 140g,S/ 6.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Agua Primor,6.2
Filete de Atún en Aceite Vegetal Cuisine & Co 140g,S/ 4.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún en Aceite Vegetal Cuisine & Co,4.2
Filete de Atún Campomar Gourmet Artesanal en Aceite Vegetal Frasco 160 gr,S/ 6.40,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,160.0,g,Filete de Atún Campomar Gourmet Artesanal en Aceite Vegetal Frasco r,6.4
Filete de Atún Claro Campomar en Aceite Lata 170 gr,S/ 6.99,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,170.0,g,Filete de Atún Claro Campomar en Aceite Lata r,6.99
Filete de Atún Real en Agua 140g,S/ 6.60,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Atún Real en Agua,6.6
Filete de Caballa Marinero 140g,S/ 5.20,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,140.0,g,Filete de Caballa Marinero,5.2
Filete de Bonito en Aceite Campomar 150g,S/ 4.90,metro,FILETE DE PESCADO EN CONSERVA,2024-12-07 20:04:01.471284,150.0,g,Filete de Bonito en Aceite Campomar,4.9
