description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Fórmula de Crecimiento Similac 3 1.4kg,S/ 135.00,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.4,kg,Fórmula de Crecimiento Similac 3,135.0
Fórmula de Continuación NAN 2 Bebés 390g,S/ 6.40,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,390.0,g,Fórmula de Continuación NAN 2 Bebés,6.4
Fórmula en Polvo NAN Optipro 2 Lata 900g,S/ 157.00,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,2.0,l,Fórmula en Polvo NAN Optipro ata,157.0
Fórmula Infantil Enfamil Promental Confort 1.1kg,S/ 196.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.1,kg,Fórmula Infantil Enfamil Promental Confort,196.9
Fórmula de Seguimiento Similac 2 1.8kg,S/ 291.80,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.8,kg,Fórmula de Seguimiento Similac 2,291.8
Fórmula de Crecimiento Similac 3 Kid 2.1kg,S/ 194.30,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,2.1,kg,Fórmula de Crecimiento Similac 3 Kid,194.3
Fórmula de Continuación NAN 3 Bebés 390g,S/ 6.40,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,390.0,g,Fórmula de Continuación NAN 3 Bebés,6.4
Fórmula Infantil Enfamil Promental Confort Etapa 1 800g,S/ 165.10,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,800.0,g,Fórmula Infantil Enfamil Promental Confort Etapa 1,165.1
Fórmula en Polvo Enfagrow Premium Pro Mental Vainilla 1.35kg,S/ 135.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.35,kg,Fórmula en Polvo Enfagrow Premium Pro Mental Vainilla,135.9
Fórmula en Polvo de Inicio NAN Optipro 1 Lata 900g,S/ 172.00,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.0,l,Fórmula en Polvo de Inicio NAN Optipro ata,172.0
Fórmula de Crecimiento Similac 3 800g,S/ 83.70,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,800.0,g,Fórmula de Crecimiento Similac 3,83.7
Fórmula Infantil Enfamil Promental Etapa 1 1.65kg,S/ 300.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.65,kg,Fórmula Infantil Enfamil Promental Etapa 1,300.9
Fórmula Infantil Enfamil Promental Etapa 2 1.65kg,S/ 283.80,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.65,kg,Fórmula Infantil Enfamil Promental Etapa 2,283.8
Fórmula de Continuación Enfamil Premium 2 Lata 850 g,S/ 170.30,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,2.0,l,Fórmula de Continuación Enfamil Premium ata,170.3
Fórmula de Inicio Similac 1 800g,S/ 165.50,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,800.0,g,Fórmula de Inicio Similac 1,165.5
Fórmula Infantil Enfamil Promental Etapa 1 850g,S/ 181.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,850.0,g,Fórmula Infantil Enfamil Promental Etapa 1,181.9
Fórmula de Seguimiento Similac 2 800g,S/ 158.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,800.0,g,Fórmula de Seguimiento Similac 2,158.9
Fórmula de Inicio Similac 1 1.8kg,S/ 306.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.8,kg,Fórmula de Inicio Similac 1,306.9
Fórmula de Crecimiento Similac Total Comfort Kid 1.4kg,S/ 275.50,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,1.4,kg,Fórmula de Crecimiento Similac Total Comfort Kid,275.5
Pack x8 Fórmula de Continuación NAN 3 Bebés 390g,S/ 40.40,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,390.0,g,Pack x8 Fórmula de Continuación NAN 3 Bebés,40.4
Pack x8 Fórmula de Continuación NAN 2 Bebés 390g,S/ 47.20,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,390.0,g,Pack x8 Fórmula de Continuación NAN 2 Bebés,47.2
Pack x3 Jabón Johnson's Fórmula Original 110g,S/ 11.80,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,110.0,g,Pack x3 Jabón Johnson's Fórmula Original,11.8
Sixpack Fórmula de Continuación NAN 3 Bebés 390g,S/ 34.40,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,390.0,g,Sixpack Fórmula de Continuación NAN 3 Bebés,34.4
Insecticida en Aerosol Raid Mata Hormigas y Arañas Fórmula Especializada 400ml,S/ 16.70,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,400.0,ml,Insecticida en Aerosol Raid Mata Hormigas y Arañas Fórmula Especializada,16.7
Desodorante en Crema Etiquet Fórmula Hombre 75 g,S/ 17.40,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,75.0,g,Desodorante en Crema Etiquet Fórmula Hombre,17.4
Insecticida en Aerosol Raid Mata Pulgas y Garraptas Fórmula Especializada 400 ml,S/ 15.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,400.0,ml,Insecticida en Aerosol Raid Mata Pulgas y Garraptas Fórmula Especializada,15.9
Sixpack Fórmula de Continuación NAN 2 Bebés 390g,S/ 37.10,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,390.0,g,Sixpack Fórmula de Continuación NAN 2 Bebés,37.1
Lustramuebles Premio Fórmula Original 280ml,S/ 15.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,280.0,ml,Lustramuebles Premio Fórmula Original,15.9
Galletas de la Fortuna Leonor 8un,S/ 10.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,8.0,un,Galletas de la Fortuna Leonor,10.9
Limpiador de Muebles de Fórmica y Melamina Binner 350ml,S/ 24.90,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,350.0,ml,Limpiador de Muebles de Fórmica y Melamina Binner,24.9
Chupete en Forma de Anillo 14g Surtido,S/ 2.50,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,14.0,g,Chupete en Forma de Anillo  Surtido,2.5
Stick'n Notas Adhesivas Die-Cut Formas Pack 250 unid Surtido,S/ 12.10,metro,FÓRMULA PARA LACTANTES,2024-12-07 20:06:45.625483,250.0,un,Stick'n Notas Adhesivas Die-Cut Formas Pack  Surtido,12.1
