description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pallar Cuisine & Co Bolsa 500 gr,S/ 6.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Pallar Cuisine & Co Bolsa r,6.9
Pallar Maxima Bolsa 500 g,S/ 5.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Pallar Maxima Bolsa,5.9
Pallar Costeño 500g,S/ 7.00,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Pallar Costeño,7.0
Pallar Tesoro Del Campo Bolsa 500 g,S/ 7.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Pallar Tesoro Del Campo Bolsa,7.9
Pallares en Salmuera Cuisine & Co 425g,S/ 8.70,metro,PALLAR,2024-12-07 20:42:08.250186,425.0,g,Pallares en Salmuera Cuisine & Co,8.7
Pallares con Tocino Olivos del Sur 425g,S/ 13.40,metro,PALLAR,2024-12-07 20:42:08.250186,425.0,g,Pallares con Tocino Olivos del Sur,13.4
Pallares Picados Cuisine & Co 200g,S/ 9.90,metro,PALLAR,2024-12-07 20:42:08.250186,200.0,g,Pallares Picados Cuisine & Co,9.9
Lenteja Bebé Tesoro Del Campo Bolsa 500 g,S/ 5.50,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Bebé Tesoro Del Campo Bolsa,5.5
Lenteja Bebé Cuisine & Co 500g,S/ 4.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Bebé Cuisine & Co,4.9
Lenteja Costeño 500g,S/ 5.40,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Costeño,5.4
Quinua Máxima 500g,S/ 7.00,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Quinua Máxima,7.0
Quinua Cuisine & Co 500g,S/ 9.30,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Quinua Cuisine & Co,9.3
Lenteja Máxima 500g,S/ 4.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Máxima,4.9
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/ 3.70,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Trigo Mote Tesoro Del Campo Bolsa,3.7
Garbanzos Cuisine & Co 500g,S/ 5.40,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Garbanzos Cuisine & Co,5.4
Quinua Costeño 500g,S/ 9.80,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Quinua Costeño,9.8
Garbanzo Maixma Bolsa 500 g,S/ 4.99,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Garbanzo Maixma Bolsa,4.99
Lenteja Cuisine & Co 500g,S/ 4.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Cuisine & Co,4.9
Trigo Mote Tesoro del Campo 350g,S/ 2.90,metro,PALLAR,2024-12-07 20:42:08.250186,350.0,g,Trigo Mote Tesoro del Campo,2.9
Trigo Mote Costeño 500g,S/ 4.40,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Trigo Mote Costeño,4.4
Quinua Tesoro Del Campo Bolsa 500 g,S/ 9.85,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Quinua Tesoro Del Campo Bolsa,9.85
Lentejas Bebé Bolsa 500 g,S/ 6.20,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lentejas Bebé Bolsa,6.2
Garbanzo Costeño 500g,S/ 6.60,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Garbanzo Costeño,6.6
Trigo Mote Maxima Bolsa 500 g,S/ 3.70,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Trigo Mote Maxima Bolsa,3.7
Quinua Perlada Superior Incasur Bolsa 250 gr,S/ 9.10,metro,PALLAR,2024-12-07 20:42:08.250186,250.0,g,Quinua Perlada Superior Incasur Bolsa r,9.1
Lentejón Máxima 500g,S/ 4.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lentejón Máxima,4.9
Morón Costeño 500g,S/ 4.80,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Morón Costeño,4.8
Trigo Mote Cuisine & Co 500g,S/ 3.50,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Trigo Mote Cuisine & Co,3.5
Lentejón Cuisine & Co 500g,S/ 4.90,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lentejón Cuisine & Co,4.9
Quinua Perlada Selecta Incasur Bolsa 250 gr,S/ 10.40,metro,PALLAR,2024-12-07 20:42:08.250186,250.0,g,Quinua Perlada Selecta Incasur Bolsa r,10.4
Quinua Perlada Nativa Incasur Bolsa 250 gr,S/ 11.20,metro,PALLAR,2024-12-07 20:42:08.250186,250.0,g,Quinua Perlada Nativa Incasur Bolsa r,11.2
Garbanzos Tesoro Del Campo Bolsa 500 g,S/ 7.00,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Garbanzos Tesoro Del Campo Bolsa,7.0
Garbanzos Bolsa 500 g,S/ 7.70,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Garbanzos Bolsa,7.7
Lenteja Tesoro Del Campo Bolsa 500 g,S/ 5.85,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Tesoro Del Campo Bolsa,5.85
Lenteja Bolsa 350 g,S/ 5.00,metro,PALLAR,2024-12-07 20:42:08.250186,350.0,g,Lenteja Bolsa,5.0
Lentejón Bolsa 350 g,S/ 4.75,metro,PALLAR,2024-12-07 20:42:08.250186,350.0,g,Lentejón Bolsa,4.75
Quinua tricolor Vida & Quinua Bolsa 454 g,S/ 15.30,metro,PALLAR,2024-12-07 20:42:08.250186,454.0,g,Quinua tricolor Vida & Quinua Bolsa,15.3
Lentejón Costeño 500g,S/ 6.80,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lentejón Costeño,6.8
Lenteja Baby Paisana Bolsa 500 g,S/ 6.70,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Baby Paisana Bolsa,6.7
Quinua Blanca Orgánica Vidandina Doypack 454 g,S/ 18.90,metro,PALLAR,2024-12-07 20:42:08.250186,454.0,g,Quinua Blanca Orgánica Vidandina Doypack,18.9
Maíz Chulpi Desgranado Kuski Bolsa 425 g,S/ 14.90,metro,PALLAR,2024-12-07 20:42:08.250186,425.0,g,Maíz Chulpi Desgranado Kuski Bolsa,14.9
Quinua Tricolor Orgánica Vidaandina Bolsa 454 g,S/ 17.90,metro,PALLAR,2024-12-07 20:42:08.250186,454.0,g,Quinua Tricolor Orgánica Vidaandina Bolsa,17.9
Lenteja Valle Norte Bolsa 500 g,S/ 6.20,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lenteja Valle Norte Bolsa,6.2
Lentejón Tesoro Del Campo Bolsa 500 g,S/ 6.10,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lentejón Tesoro Del Campo Bolsa,6.1
Quinua Roja Vidandina Doypack 454 g,S/ 12.50,metro,PALLAR,2024-12-07 20:42:08.250186,454.0,g,Quinua Roja Vidandina Doypack,12.5
Lentejas Paisana Bolsa 500 g,S/ 6.50,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Lentejas Paisana Bolsa,6.5
Quinua Blanca Vidandina Doypack 454 g,S/ 14.90,metro,PALLAR,2024-12-07 20:42:08.250186,454.0,g,Quinua Blanca Vidandina Doypack,14.9
Quinua Negra Vidandina Doypack 454 g,S/ 13.50,metro,PALLAR,2024-12-07 20:42:08.250186,454.0,g,Quinua Negra Vidandina Doypack,13.5
Quinua Granos Del Sur 500g,S/ 9.50,metro,PALLAR,2024-12-07 20:42:08.250186,500.0,g,Quinua Granos Del Sur,9.5
