description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pierna de Cerdo con Piel y con Hueso x kg,S/ 16.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Pierna de Cerdo con Piel y con Hueso,16.9
Chuleta de Pierna de Cerdo con Piel Porcionada x kg,S/ 21.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Pierna de Cerdo con Piel Porcionada,21.9
Chuleta de Brazuelo de Cerdo Con Piel Metro x kg,S/ 18.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Brazuelo de Cerdo Con Piel Metro,18.9
Pulpa de Pierna de Cerdo San Fernando x kg,S/ 38.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Pulpa de Pierna de Cerdo San Fernando,38.9
Chuleta de Pierna con Piel de Cerdo x kg,S/ 18.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Pierna con Piel de Cerdo,18.9
Chuleta de Brazuelo con Piel de Cerdo x kg,S/ 21.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Brazuelo con Piel de Cerdo,21.9
Chuletón de Pierna Duroc Redondos x kg,S/ 28.80 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuletón de Pierna Duroc Redondos,28.8
Enrollado de Pierna de Cerdo San Fernando x kg,S/ 34.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Enrollado de Pierna de Cerdo San Fernando,34.9
Pulpa de Brazuelo de Cerdo San Fernando x kg,S/ 31.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Pulpa de Brazuelo de Cerdo San Fernando,31.9
Asado de Cerdo x kg,S/ 28.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Asado de Cerdo,28.9
Chuleta de Hombro de Cerdo Duroc Redondos x kg,S/ 29.70 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Hombro de Cerdo Duroc Redondos,29.7
Brazuelo de Cerdo Entero San Fernando x kg,S/ 28.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Brazuelo de Cerdo Entero San Fernando,28.9
Enrollado de Brazuelo de Cerdo San Fernando x kg,S/ 31.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Enrollado de Brazuelo de Cerdo San Fernando,31.9
Picanha de Cerdo x kg,S/ 36.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Picanha de Cerdo,36.9
Chuleta de Brazuelo de Cerdo con Piel Nacional del Sur Metro x kg,S/ 25.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Brazuelo de Cerdo con Piel Nacional del Sur Metro,25.9
Chuleta de Pierna de Cerdo con Piel Nacional del Sur Metro x kg,S/ 27.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Chuleta de Pierna de Cerdo con Piel Nacional del Sur Metro,27.9
Picaña de Cerdo Duroc Redondos x kg,S/ 34.20 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Picaña de Cerdo Duroc Redondos,34.2
Enrollado de Cerdo con Jamón y Piña Alamesa x kg,S/ 38.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Enrollado de Cerdo con Jamón y Piña Alamesa,38.9
Costillas St Louis Finas Hierbas San Fernando x kg,S/ 44.90 x kg,metro,PIERNA (CARNE DE CERDO),2024-12-07 19:48:25.388443,1.0,kg,Costillas St Louis Finas Hierbas San Fernando,44.9
