unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pack 2un,Pack Aceite Vegetal PRIMOR Premium 900ml Botel...,S/ 18.50 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,2.0,un,Pack Aceite Vegetal PRIMOR Premium  Botel,18.5
Botella 900ml,Aceite Vegetal BELL'S Botella 900ml,S/ 5.80 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,900.0,ml,Aceite Vegetal BELL'S Botella,5.8
Botella 900ml,Aceite Vegetal PRIMOR Premium Botella 900ml,S/ 9.50 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,900.0,ml,Aceite Vegetal PRIMOR Premium Botella,9.5
Botella 900ml,Aceite de Soya SAO Botella 900ml,S/ 6.50 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,900.0,ml,Aceite de Soya SAO Botella,6.5
Lata 140g,Trozos de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.50 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,140.0,g,Trozos de Atún PRIMOR en Aceite Vegetal Lata 1,5.5
Pack 2un,Pack Aceite Vegetal PRIMOR Clásico Botella 900...,S/ 17 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,2.0,un,Pack Aceite Vegetal PRIMOR Clásico Botella 900,17.0
Lata 140g,Filete de Atún en Aceite Vegetal FLORIDA Lata ...,S/ 5.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,140.0,g,Filete de Atún en Aceite Vegetal FLORIDA Lata,5.9
Botella 1.8L,Aceite Vegetal PRIMOR Clásico Botella 1.8L,S/ 16.30 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,1.8,l,Aceite Vegetal PRIMOR Clásico Botella,16.3
Botella 900ml,Aceite Vegetal PRIMOR Clásico Botella 900ml,S/ 8.50 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,900.0,ml,Aceite Vegetal PRIMOR Clásico Botella,8.5
Lata 140g,Filete de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,140.0,g,Filete de Atún PRIMOR en Aceite Vegetal Lata 1,5.9
Lata 150g,Filete de Atún CAMPOMAR en Aceite Vegetal Lata...,S/ 5.60 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,150.0,g,Filete de Atún CAMPOMAR en Aceite Vegetal Lata,5.6
Botella 200ml,Aceite de Oliva EL OLIVAR Extra Virgen Botella...,S/ 16.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,200.0,ml,Aceite de Oliva EL OLIVAR Extra Virgen Botella,16.9
Botella 900ml,Aceite Vegetal DELEITE Premium Botella 900ml,S/ 6.20 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,900.0,ml,Aceite Vegetal DELEITE Premium Botella,6.2
Botella 900ml,Aceite de Soya BELL'S Botella 900ml,S/ 5.90 un,plaza_vea,ACEITE VEGETAL ENVASADO,2024-12-04 13:44:18.696239,900.0,ml,Aceite de Soya BELL'S Botella,5.9
