unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bidón 7L,Agua Mineral SAN MATEO Sin Gas Bidón 7L,S/ 8.50 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,7.0,l,Agua Mineral SAN MATEO Sin Gas Bidón,8.5
Botella 2.5L,Agua Mineral SAN MATEO sin Gas Botella 2.5L,S/ 3 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,2.5,l,Agua Mineral SAN MATEO sin Gas Botella,3.0
Paquete 6un,Agua Mineral SAN MATEO Con Gas Botella 600ml P...,S/ 8.89 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,6.0,un,Agua Mineral SAN MATEO Con Gas Botella  P,8.89
Paquete 6un,Agua Mineral SAN MATEO sin Gas Botella 600ml P...,S/ 8.89 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,6.0,un,Agua Mineral SAN MATEO sin Gas Botella  P,8.89
Botella 1.5L,Agua Mineral SAN MATEO Con Gas Botella 1.5L,S/ 2.20 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,1.5,l,Agua Mineral SAN MATEO Con Gas Botella,2.2
Paquete 6un,Agua Mineral SAN LUIS Con Gas Botella 625ml Pa...,S/ 8.20 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,6.0,un,Agua Mineral SAN LUIS Con Gas Botella  Pa,8.2
Paquete 6un,Agua Mineral SAN LUIS sin Gas Botella 2.5L Paq...,S/ 14.90 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,6.0,un,Agua Mineral SAN LUIS sin Gas Botella  Paq,14.9
Botella 2.5L,Agua Mineral SAN LUIS Con Gas Botella 2.5L,S/ 3 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,2.5,l,Agua Mineral SAN LUIS Con Gas Botella,3.0
Botella 600ml,Agua Mineral SAN MATEO Con Gas Botella 600ml,S/ 1.80 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,600.0,ml,Agua Mineral SAN MATEO Con Gas Botella,1.8
Paquete 6un,Agua Mineral con Gas SOCOSANI Botella 500ml Pa...,S/ 10.90 un,plaza_vea,AGUA MINERAL SIN GAS,2024-12-04 14:42:17.725213,6.0,un,Agua Mineral con Gas SOCOSANI Botella  Pa,10.9
