unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 900g,Avena QUAKER Tradicional Bolsa 900g,S/ 14.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,900.0,g,Avena QUAKER Tradicional Bolsa,14.5
Pack 660g,Jabón en Barra Antibacterial PROTEX Avena 6x11...,S/ 19.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,660.0,g,Jabón en Barra Antibacterial PROTEX Avena 6x11,19.9
Bolsa 540g,Pan de Molde UNIÓN Multisemillas y Avena Bolsa...,S/ 10.89 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,540.0,g,Pan de Molde UNIÓN Multisemillas y Avena Bolsa,10.89
Bolsa 900g,Avena Clásica 3 OSITOS Premium Bolsa 900g,S/ 10.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,900.0,g,Avena Clásica 3 OSITOS Premium Bolsa,10.9
Bolsa 10Kg,Arena para Gatos KLINKAT 100% Natural Bolsa 10...,S/ 24.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,10.0,kg,Arena para Gatos KLINKAT 100% Natural Bolsa 10,24.9
Paquete 360g,Jabón en Barra PALMOLIVE Avena y Azucar 3x120g,S/ 9.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,360.0,g,Jabón en Barra PALMOLIVE Avena y Azucar 3x,9.9
Bolsa 900g,Avena Natural SANTA CATALINA Bolsa 900g,S/ 9.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,900.0,g,Avena Natural SANTA CATALINA Bolsa,9.5
Doypack 750ml,Jabón Líquido BALLERINA Avena Doypack 750ml,S/ 10.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,750.0,ml,Jabón Líquido BALLERINA Avena Doypack,10.9
110g,Jabón en Barra PROTEX Avena 3x110g,S/ 10.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,110.0,g,Jabón en Barra PROTEX Avena 3x,10.9
Bolsa 1kg,Avena Precocida BELL'S Bolsa 1Kg,S/ 9.20 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,1.0,kg,Avena Precocida BELL'S Bolsa,9.2
Bolsa 900g,Quinua Avena 3 OSITOS Bolsa 900g,S/ 11.90 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,900.0,g,Quinua Avena 3 OSITOS Bolsa,11.9
Pack 500g,Ensalada Jardinera BELL'S Bolsa 500g,S/ 5.50 un,plaza_vea,AVENA ENVASADA,2024-12-04 12:57:59.634534,500.0,g,Ensalada Jardinera BELL'S Bolsa,5.5
