unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Presentación 0.6 kg aprox.,Carne Molida de Res Empacada al vacío EL BUEN ...,S/ 19.80 x kg,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,0.6,kg,Carne Molida de Res Empacada al vacío EL BUEN,19.8
Presentación 0.6 kg aprox.,Carne Molida Light de Res Empacada al vacío EL...,S/ 34.80 x kg,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,0.6,kg,Carne Molida Light de Res Empacada al vacío EL,34.8
Paquete 500g,Carne Molida de Pavita x500g,S/ 12.90 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,500.0,g,Carne Molida de Pavita x,12.9
Caja 42g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo...,S/ 2.20 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,42.0,g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo,2.2
Bolsa 850g,Hamburguesa de Carne La Super SAN FERNANDO Bol...,S/ 12.70 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,850.0,g,Hamburguesa de Carne La Super SAN FERNANDO Bol,12.7
Bolsa 910g,Hamburguesa de Carne La Casera SAN FERNANDO Bo...,S/ 12.60 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,910.0,g,Hamburguesa de Carne La Casera SAN FERNANDO Bo,12.6
Paquete 500g,Carne Molida Congelada LOS HIERROS 500g,S/ 10.90 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,500.0,g,Carne Molida Congelada LOS HIERROS,10.9
Bolsa 80g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa ...,S/ 1.60 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,80.0,g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa,1.6
Bolsa 15Kg,Comida para Perros MIMASKOT Adultos Raza Media...,S/ 94.90 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,15.0,kg,Comida para Perros MIMASKOT Adultos Raza Media,94.9
Bolsa 9Kg,Comida para Gatos RICOCAT Gatitos Carne Pescad...,S/ 85.90 un,plaza_vea,CARNE DE CARNERO,2024-12-05 14:39:58.966031,9.0,kg,Comida para Gatos RICOCAT Gatitos Carne Pescad,85.9
