unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 750g,Pan de Molde Blanco BIMBO Extra Grande Bolsa 7...,S/ 12.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,750.0,g,Pan de Molde Blanco BIMBO Extra Grande Bolsa 7,12.5
Bandeja 200g,Champiñon Picado BELL'S Bandeja 200g,S/ 5.19 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,200.0,g,Champiñon Picado BELL'S Bandeja,5.19
Bandeja 200g,Aguaymanto Pelado BELL'S Bandeja 200g,S/ 4.29 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,200.0,g,Aguaymanto Pelado BELL'S Bandeja,4.29
Bolsa 15Kg,Comida para Perros RICOCAN Adultos Razas Media...,S/ 105.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,15.0,kg,Comida para Perros RICOCAN Adultos Razas Media,105.9
Bolsa 1Kg,Filete de Basa BELL'S Bolsa 1Kg,S/ 15.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,1.0,kg,Filete de Basa BELL'S Bolsa,15.9
Bandeja 250g,Ajos Pelados EL SABOR Arequipeños Bandeja 250g,S/ 9.99 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,250.0,g,Ajos Pelados EL SABOR Arequipeños Bandeja,9.99
Bolsa 225g,Fideos DON VITTORIO Corbata Grande Bolsa 225g,S/ 2 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,225.0,g,Fideos DON VITTORIO Corbata Grande Bolsa,2.0
Bolsa 8Kg,Comida para Gatos CAT CHOW Adulto Esterilizado...,S/ 104.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,8.0,kg,Comida para Gatos CAT CHOW Adulto Esterilizado,104.9
Bolsa 15Kg,Alimento para Perro DOG CHOW Adulto Mediano y ...,S/ 157.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,15.0,kg,Alimento para Perro DOG CHOW Adulto Mediano y,157.9
Bolsa 15Kg,Comida para Perros MIMASKOT Adultos Raza Media...,S/ 94.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,15.0,kg,Comida para Perros MIMASKOT Adultos Raza Media,94.9
Lata 822g,Conserva de Durazno en Mitades ACONCAGUA en Al...,S/ 10.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,822.0,g,Conserva de Durazno en Mitades ACONCAGUA en Al,10.9
Bolsa 9Kg,Comida para Gatos RICOCAT Gatitos Carne Pescad...,S/ 85.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,9.0,kg,Comida para Gatos RICOCAT Gatitos Carne Pescad,85.9
Bolsa 15Kg,Comida para Perros RICOCAN Cachorros Razas Med...,S/ 105.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,15.0,kg,Comida para Perros RICOCAN Cachorros Razas Med,105.9
Presentación 1 kg aprox.,Pescado Bonito Entero PESCANOVA PV,S/ 7.50 x kg,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,1.0,kg,Pescado Bonito Entero PESCANOVA PV,7.5
Lata 156g,Alimento Húmedo para Gatos FELIX Paté Atún y P...,S/ 6.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,156.0,g,Alimento Húmedo para Gatos FELIX Paté Atún y P,6.5
Paquete 192g,Galletas COSTA Gretel Sabor a Chocolate Paquet...,S/ 4.20 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,192.0,g,Galletas COSTA Gretel Sabor a Chocolate Paquet,4.2
Frasco 430g,Conserva BELL'S Palmitos Enteros en Salmuera F...,S/ 13.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,430.0,g,Conserva BELL'S Palmitos Enteros en Salmuera F,13.9
Presentación 3 kg aprox.,Pescado Bonito Entero Fresco,S/ 7.50 x kg,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,3.0,kg,Pescado Bonito Entero Fresco,7.5
Bandeja 250g,Ajo Entero BELL'S Pelado Bandeja 250g,S/ 14.99 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,250.0,g,Ajo Entero BELL'S Pelado Bandeja,14.99
Bolsa 250g,Aceitunas en Conserva BELL'S Botija deshuesada...,S/ 9.40 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,250.0,g,Aceitunas en Conserva BELL'S Botija deshuesada,9.4
Bolsa 15Kg,Comida para Perros MIMASKOT Adultos Raza Media...,S/ 94.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,15.0,kg,Comida para Perros MIMASKOT Adultos Raza Media,94.9
Vaso 125g,Yogurt de Vainilla BELL'S con Grageas Vaso 125...,S/ 2.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,125.0,g,Yogurt de Vainilla BELL'S con Grageas Vaso 125,2.5
Lata 432g,Conserva VALLE FERTIL Choclo dulce desgranado ...,S/ 9.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,432.0,g,Conserva VALLE FERTIL Choclo dulce desgranado,9.9
Bandeja 400g,Olluco Picado BELL'S Bandeja 400g,S/ 9.59 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,400.0,g,Olluco Picado BELL'S Bandeja,9.59
Lata 248g,Conserva VALLE FERTIL Choclo dulce desgranado ...,S/ 7.60 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,248.0,g,Conserva VALLE FERTIL Choclo dulce desgranado,7.6
Caja 600g,Milanesa de Pescado SEAFROST Caja 600g,S/ 17.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,600.0,g,Milanesa de Pescado SEAFROST Caja,17.9
Presentación 0.2 kg aprox.,Filete de Basa,S/ 15.90 x kg,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,0.2,kg,Filete de Basa,15.9
Bandeja 200g,Ajos Picados BELL'S Bandeja 200g,S/ 15.99 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,200.0,g,Ajos Picados BELL'S Bandeja,15.99
Paquete 192g,Galletas COSTA Gretel Sabor a Manjar Paquete 1...,S/ 4.20 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,192.0,g,Galletas COSTA Gretel Sabor a Manjar Paquete 1,4.2
Bandeja 1un,Torta Selva Negra Grande LA FLORENCIA 1un,S/ 70.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,1.0,un,Torta Selva Negra Grande LA FLORENCIA,70.9
Bolsa 1Kg,Comida para gatos RICOCAT Gatitos carne pescad...,S/ 14.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,1.0,kg,Comida para gatos RICOCAT Gatitos carne pescad,14.5
Bolsa 250g,Aceitunas en Conserva BELL'S Botija entera Bol...,S/ 6.10 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,250.0,g,Aceitunas en Conserva BELL'S Botija entera Bol,6.1
Bolsa 240g,Mini Grageas de Chocolate LENTEJAS Fiesta Bols...,S/ 14.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,240.0,g,Mini Grageas de Chocolate LENTEJAS Fiesta Bols,14.9
Lata 85g,Alimento Húmedo para Gatos FANCY FEAST Paté Sa...,S/ 6.10 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,85.0,g,Alimento Húmedo para Gatos FANCY FEAST Paté Sa,6.1
Doypack 180g,Aceitunas Enteras en Conserva OLIVALLE Botija ...,S/ 4 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,180.0,g,Aceitunas Enteras en Conserva OLIVALLE Botija,4.0
Bolsa 454g,Langostinos Pelado y Desvenado Grandes SANTA P...,S/ 29.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,454.0,g,Langostinos Pelado y Desvenado Grandes SANTA P,29.9
Doypack 85g,Alimento Húmedo para Gatos CAT CHOW Adultos Pe...,S/ 4.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,85.0,g,Alimento Húmedo para Gatos CAT CHOW Adultos Pe,4.5
Bolsa 3Kg,"Comida para Gatos RICOCAT Gatito Carne, Pescad...",S/ 37.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,3.0,kg,"Comida para Gatos RICOCAT Gatito Carne, Pescad",37.5
Bandeja 200g,Champiñones picados PACCU Bandeja 200g,S/ 6.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,200.0,g,Champiñones picados PACCU Bandeja,6.5
Bolsa 8Kg,Comida para Perros DOG CHOW Adultos todos los ...,S/ 89.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,8.0,kg,Comida para Perros DOG CHOW Adultos todos los,89.9
Paquete 26un,Toallas Higiénicas ALWAYS Noches Tranquilas Su...,S/ 15.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,26.0,un,Toallas Higiénicas ALWAYS Noches Tranquilas Su,15.9
Lata 156g,Alimento Húmedo para Gatos FELIX Paté Atún y P...,S/ 6.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,156.0,g,Alimento Húmedo para Gatos FELIX Paté Atún y P,6.5
Lata 290g,Comida para Perros RICOCAN Estofado Sabor a Ca...,S/ 6 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,290.0,g,Comida para Perros RICOCAN Estofado Sabor a Ca,6.0
Frasco 225g,Rodajas de Jalapeños en Conserva VALLE FERTIL ...,S/ 8.80 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,225.0,g,Rodajas de Jalapeños en Conserva VALLE FERTIL,8.8
Bolsa 250g,Aceitunas en Conserva BELL'S Botija en Tiras B...,S/ 6.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,250.0,g,Aceitunas en Conserva BELL'S Botija en Tiras B,6.5
Doypack 160g,Aceitunas Verdes Deshuesadas OLIVALLE en Conse...,S/ 4.20 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,160.0,g,Aceitunas Verdes Deshuesadas OLIVALLE en Conse,4.2
Doypack 500g,Aceitunas en Conserva OLIVOS DEL SUR De aceitu...,S/ 19.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,500.0,g,Aceitunas en Conserva OLIVOS DEL SUR De aceitu,19.5
Botella 700ml,Ready To Drink (RTD) PISCANO Sour Maracuyá Bot...,S/ 17.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,700.0,ml,Ready To Drink (RTD) PISCANO Sour Maracuyá Bot,17.9
Frasco 210g,Conserva VALLE FERTIL Espárragos blancos Frasc...,S/ 10.20 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,210.0,g,Conserva VALLE FERTIL Espárragos blancos Frasc,10.2
Bolsa 3Kg,Comida para Perros RICOCAN Adultos Razas Media...,S/ 33.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,3.0,kg,Comida para Perros RICOCAN Adultos Razas Media,33.5
Botella 750ml,Espumante DESEADO Dulce Botella 750ml,S/ 29.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,750.0,ml,Espumante DESEADO Dulce Botella,29.9
