unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 1Kg,"Mix Fresa, Piña y Mango Congelado EL FRUTERO B...",S/ 16.99 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,1.0,kg,"Mix Fresa, Piña y Mango Congelado EL FRUTERO B",16.99
Frasco 210g,Mermelada CASA VERDE Arándano y Mango Frasco 2...,S/ 9 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,210.0,g,Mermelada CASA VERDE Arándano y Mango Frasco 2,9.0
Paquete 500g,Mango en Trozos Congelado FEST Paquete 500g,S/ 8.70 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,500.0,g,Mango en Trozos Congelado FEST Paquete,8.7
Botella 1L,Jugo de Naranja Mango Maracuya ECOFRESH Botell...,S/ 13.90 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,1.0,l,Jugo de Naranja Mango Maracuya ECOFRESH Botell,13.9
Bolsa 500g,Pulpa de Mango Congelado EL FRUTERO Bolsa 500g,S/ 9.80 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,500.0,g,Pulpa de Mango Congelado EL FRUTERO Bolsa,9.8
Bolsa 420g,Caramelos AMBROSOLI Trifruna Chicha Mango Piña...,S/ 9.90 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,420.0,g,Caramelos AMBROSOLI Trifruna Chicha Mango Piña,9.9
Caja 300g,Mango en Trozos SOLEI Caja 300g,S/ 9.90 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,300.0,g,Mango en Trozos SOLEI Caja,9.9
Lata 355ml,Ready To Drink (RTD) PORTON Chilcano de Mango ...,S/ 8 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,355.0,ml,Ready To Drink (RTD) PORTON Chilcano de Mango,8.0
Caja 10un,"Infusión de Naranja, Mango y Canela TWININGS C...",S/ 19.20 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,10.0,un,"Infusión de Naranja, Mango y Canela TWININGS C",19.2
Bandeja 300g,"Ensalada de Melón, Mango y Uva SOLEI Bandeja 3...",S/ 8.79 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,300.0,g,"Ensalada de Melón, Mango y Uva SOLEI Bandeja 3",8.79
Botella 475ml,Jugo de Naranja Mango Maracuya ECOFRESH Botell...,S/ 7.80 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,475.0,ml,Jugo de Naranja Mango Maracuya ECOFRESH Botell,7.8
Botella 700ml,Ready To Drink (RTD) PISCANO Sour Mango Botell...,S/ 17.90 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,700.0,ml,Ready To Drink (RTD) PISCANO Sour Mango Botell,17.9
Frasco 120g,Compota Mango con Quinua CASA VERDE Frasco 120...,S/ 4.99 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,120.0,g,Compota Mango con Quinua CASA VERDE Frasco 120,4.99
Caja 125g,Mix Para Hacer Pisco Sour WASSKA Mango y Camu ...,S/ 8.90 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,125.0,g,Mix Para Hacer Pisco Sour WASSKA Mango y Camu,8.9
Caja 400un,Avena Mix Mango y Chocolate +NUTRI Co Caja 400...,S/ 29.90 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,400.0,un,Avena Mix Mango y Chocolate +NUTRI Co Caja 400,29.9
Caja 1un,Brocha Gruesa con Mango Extra Corto KISS Caja ...,S/ 33.50 un,plaza_vea,MANGO,2024-12-05 15:21:23.510158,1.0,un,Brocha Gruesa con Mango Extra Corto KISS Caja,33.5
Presentación 0.6 kg aprox.,Mango Edward,S/ 2.90 x kg,plaza_vea,MANGO,2024-12-05 15:21:23.510158,0.6,kg,Mango Edward,2.9
Presentación 0.4 kg aprox.,Mango Haden,S/ 2.80 x kg,plaza_vea,MANGO,2024-12-05 15:21:23.510158,0.4,kg,Mango Haden,2.8
Presentación 0.6 kg aprox.,Mango Kent x kg,S/ 2.40 x kg,plaza_vea,MANGO,2024-12-05 15:21:23.510158,0.6,kg,Mango Kent,2.4
Presentación 0.3 kg aprox.,Melocotón Premium x Kg,S/ 10.90 x kg,plaza_vea,MANGO,2024-12-05 15:21:23.510158,0.3,kg,Melocotón Premium,10.9
Presentación 0.75 kg aprox.,Melocotón para Dulce,S/ 6.90 x kg,plaza_vea,MANGO,2024-12-05 15:21:23.510158,0.75,kg,Melocotón para Dulce,6.9
