unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Presentación 2.2 kg aprox.,Pollo Entero Fresco con Menudencia,S/ 9.40 x kg,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,2.2,kg,Pollo Entero Fresco con Menudencia,9.4
Paquete 6un,Leche Reconstituida Entera GLORIA Lata 390g Pa...,S/ 22.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche Reconstituida Entera GLORIA Lata  Pa,22.9
Paquete 6un,Leche GLORIA Zero Lacto Lata 390g Paquete 6un,S/ 23.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche GLORIA Zero Lacto Lata  Paquete,23.5
Caja 1L,Leche UHT sin Lactosa GLORIA Zero Caja 1L Paqu...,S/ 15.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,1.0,l,Leche UHT sin Lactosa GLORIA Zero Caja  Paqu,15.9
Paquete 6un,Leche Light GLORIA Lata 390g Paquete 6un,S/ 23.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche Light GLORIA Lata  Paquete,23.5
Paquete 3un,Leche UHT GLORIA Entera Pack 3un x 1L,S/ 15.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,3.0,un,Leche UHT GLORIA Entera Pack  x,15.9
Galonera 1.7Kg,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 8.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,1.7,kg,Yogurt Parcialmente Descremado GLORIA Sabor a,8.9
Paquete 1un,Lechuga Crespa BELL'S,S/ 2.19 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,1.0,un,Lechuga Crespa BELL'S,2.19
Paquete 3un,Leche UHT GLORIA Light Pack 3un x 1L,S/ 16.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,3.0,un,Leche UHT GLORIA Light Pack  x,16.5
Bandeja 500g,Blueberries BELL'S FRESCOS Bandeja 500g,S/ 14.40 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,500.0,g,Blueberries BELL'S FRESCOS Bandeja,14.4
Paquete 6un,Leche sin Lactosa LAIVE Botella 390g Paquete 6...,S/ 23.20 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche sin Lactosa LAIVE Botella  Paquete 6,23.2
Doypack 2.3L,Suavizante SUAVITEL Fresca Primavera 2.3L,S/ 19.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,2.3,l,Suavizante SUAVITEL Fresca Primavera,19.9
Frasco 170g,Café Instantáneo ALTOMAYO Gourmet Frasco 170g,S/ 28.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,170.0,g,Café Instantáneo ALTOMAYO Gourmet Frasco,28.5
Bandeja 500g,Fresa Premium BELL'S Bandeja 500g,S/ 10.59 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,500.0,g,Fresa Premium BELL'S Bandeja,10.59
Paquete 4un,Leche sin Lactosa LAIVE UHT Caja 946ml Paquete...,S/ 24.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,4.0,un,Leche sin Lactosa LAIVE UHT Caja  Paquete,24.5
Paquete 6un,Leche GLORIA Niños Lata 390g Paquete 6un,S/ 24.80 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche GLORIA Niños Lata  Paquete,24.8
Presentación 0.3 kg aprox.,Queso Fresco SBELT,S/ 10.77,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,0.3,kg,Queso Fresco SBELT,10.77
Presentación 0.3 kg aprox.,Queso Fresco sin Lactosa LAIVE,S/ 10.77,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,0.3,kg,Queso Fresco sin Lactosa LAIVE,10.77
Paquete 6un,Leche sin Lactosa LAIVE Light Botella 390g Paq...,S/ 23.20 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche sin Lactosa LAIVE Light Botella  Paq,23.2
Presentación 0.4 kg aprox.,Queso Fresco BONLÉ,S/ 14.36,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,0.4,kg,Queso Fresco BONLÉ,14.36
Paquete 12un,Leche Reconstituida Entera GLORIA Lata 390g Pa...,S/ 49.20 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,12.0,un,Leche Reconstituida Entera GLORIA Lata  Pa,49.2
Paquete 3un,Leche GLORIA UHT Entera Bolsa 900ml Paquete 3u...,S/ 13.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,3.0,un,Leche GLORIA UHT Entera Bolsa  Paquete 3u,13.5
Paquete 3un,Leche Descremada GLORIA Slim UHT Triple Zero C...,S/ 16.50 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,3.0,un,Leche Descremada GLORIA Slim UHT Triple Zero C,16.5
Lata 393g,Leche Condensada NESTLÉ Lata 393g,S/ 6 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,393.0,g,Leche Condensada NESTLÉ Lata,6.0
Presentación 0.3 kg aprox.,Queso Fresco GLORIA Paquete 250g,S/ 11.49,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,0.3,kg,Queso Fresco GLORIA Paquete,11.49
Bolsa 200g,Lechuga Seda Hidropónica BELL'S Bolsa 200g,S/ 3.39 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,200.0,g,Lechuga Seda Hidropónica BELL'S Bolsa,3.39
Bandeja 1un,Blueberries BELL'S FRESCOS Bandeja 300g,S/ 8.99 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,1.0,un,Blueberries BELL'S FRESCOS Bandeja,8.99
Paquete 6un,Leche Evaporada Entera GLORIA Lata 390g Paquet...,S/ 22.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,6.0,un,Leche Evaporada Entera GLORIA Lata  Paquet,22.9
Paquete 1un,Espárragos Verdes BELL'S FRESCOS Paquete 300g,S/ 8 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,1.0,un,Espárragos Verdes BELL'S FRESCOS Paquete,8.0
Bandeja 100g,Blueberries BELL'S FRESCOS Bandeja 100g,S/ 3.29 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,100.0,g,Blueberries BELL'S FRESCOS Bandeja,3.29
Presentación 2.3 kg aprox.,Pollo Fresco con Menudencia Trozado en 8 Pieza...,S/ 10.90 x kg,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,2.3,kg,Pollo Fresco con Menudencia Trozado en 8 Pieza,10.9
Botella 900ml,Leche Fresca DANLAC Botella 900ml,S/ 7.60 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,900.0,ml,Leche Fresca DANLAC Botella,7.6
Frasco 2.8L,Suavizante BOLIVAR Floral Frasco 2.8L,S/ 23.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,2.8,l,Suavizante BOLIVAR Floral Frasco,23.9
Bolsa 130g,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.99 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,130.0,g,Gelatina UNIVERSAL Sabor a Fresa Bolsa,3.99
Frasco 200g,Café Instantáneo NESCAFÉ Fina Selección Frasco...,S/ 29.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,200.0,g,Café Instantáneo NESCAFÉ Fina Selección Frasco,29.9
Paquete 270g,Jabón de Tocador DOVE Leche de Coco Barra 90g ...,S/ 11.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,270.0,g,Jabón de Tocador DOVE Leche de Coco Barra,11.9
Frasco 100ml,Esencia de Vainilla UNIVERSAL Frasco 100ml,S/ 2.30 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,100.0,ml,Esencia de Vainilla UNIVERSAL Frasco,2.3
Bolsa 900ml,Leche UHT LAIVE Entera Bolsa 900ml,S/ 3.90 un,plaza_vea,LECHE FRESCA PASTEURIZADA,2024-12-06 13:43:29.895770,900.0,ml,Leche UHT LAIVE Entera Bolsa,3.9
