unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Táper 220g,Aceituna Botija sin Pepa HUERTO MEJÍA Paquete ...,S/ 12.50 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,220.0,g,Aceituna Botija sin Pepa HUERTO MEJÍA Paquete,12.5
Bolsa 250g,Aceitunas en Conserva BELL'S Botija deshuesada...,S/ 9.40 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,250.0,g,Aceitunas en Conserva BELL'S Botija deshuesada,9.4
Bolsa 250g,Aceitunas en Conserva BELL'S Botija entera Bol...,S/ 6.10 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,250.0,g,Aceitunas en Conserva BELL'S Botija entera Bol,6.1
Doypack 180g,Aceitunas Enteras en Conserva OLIVALLE Botija ...,S/ 4 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,180.0,g,Aceitunas Enteras en Conserva OLIVALLE Botija,4.0
Doypack 500g,Aceitunas en Conserva OLIVOS DEL SUR De aceitu...,S/ 19.50 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,500.0,g,Aceitunas en Conserva OLIVOS DEL SUR De aceitu,19.5
Bolsa 250g,Aceitunas en Conserva BELL'S Botija en Tiras B...,S/ 6.50 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,250.0,g,Aceitunas en Conserva BELL'S Botija en Tiras B,6.5
Táper 220g,Aceituna Botija en Rodajas HUERTO MEJÍA Paquet...,S/ 13.50 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,220.0,g,Aceituna Botija en Rodajas HUERTO MEJÍA Paquet,13.5
Bolsa 6un,Pan Artesanal Congelado PANCITOS DEL SUR Relle...,S/ 24.20 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,6.0,un,Pan Artesanal Congelado PANCITOS DEL SUR Relle,24.2
Doypack 500g,Aceitunas en Conserva OLIVOS DEL SUR De botija...,S/ 27.50 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,500.0,g,Aceitunas en Conserva OLIVOS DEL SUR De botija,27.5
Bolsa 250g,Aceitunas en Conserva BELL'S Botija en rodajas...,S/ 12 un,plaza_vea,ACEITUNA DE BOTIJA,2024-12-07 14:12:53.096726,250.0,g,Aceitunas en Conserva BELL'S Botija en rodajas,12.0
