unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Presentación 0.3 kg aprox.,Pimiento Morrón,S/ 6.29 x kg,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,0.3,kg,Pimiento Morrón,6.29
Presentación 0.25 kg aprox.,Ajo Entero,S/ 14.99 x kg,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,0.25,kg,Ajo Entero,14.99
Presentación 0.25 kg aprox.,Ají Amarillo x kg,S/ 5.49 x kg,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,0.25,kg,Ají Amarillo,5.49
Botella 500ml,Sillao AJI-NO-SILLAO Botella 500ml,S/ 4.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,500.0,ml,Sillao AJI-NO-SILLAO Botella,4.7
Doypack 250g,Ají Panca Molido SIBARITA Panquita Doypack 250...,S/ 8.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Panca Molido SIBARITA Panquita Doypack 250,8.4
Sobre 18g,Pimienta BELL'S Negra molida Sobre 18Gr,S/ 2.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,18.0,g,Pimienta BELL'S Negra molida Sobre r,2.5
Envase 250g,Ají de la Casa FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají de la Casa FERYMAR Envase,8.7
Doypack 400g,Crema ALACENA Tarí Base de Ají Doypack 400g,S/ 13.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,400.0,g,Crema ALACENA Tarí Base de Ají Doypack,13.5
Bandeja 250g,Ajos Pelados EL SABOR Arequipeños Bandeja 250g,S/ 9.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ajos Pelados EL SABOR Arequipeños Bandeja,9.99
Bolsa 6un,Pimienta Molida SIBARITA Sobre 21.6g Bolsa 6un,S/ 4.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,6.0,un,Pimienta Molida SIBARITA Sobre  Bolsa,4.1
Caja 100un,Anís MC COLIN'S Caja 100un,S/ 12.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,un,Anís MC COLIN'S Caja,12.4
Bolsa 250g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio...,S/ 6.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio,6.1
Envase 250g,Crema de Ajo FERYMAR Envase 250g,S/ 12.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Crema de Ajo FERYMAR Envase,12.9
Presentación 0.3 kg aprox.,Pimiento Verde,S/ 7.99 x kg,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,0.3,kg,Pimiento Verde,7.99
Caja 20un,Infusión Anís BELL'S Caja 20un,S/ 3.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,20.0,un,Infusión Anís BELL'S Caja,3.2
Bolsa 100g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio...,S/ 2.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio,2.9
Doypack 550g,Ají Amarillo Molido SIBARITA Amarillin Doypack...,S/ 18.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,550.0,g,Ají Amarillo Molido SIBARITA Amarillin Doypack,18.1
Doypack 120g,Ajo Molido PIKI Doypack 120g,S/ 2.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,120.0,g,Ajo Molido PIKI Doypack,2.9
Caja 25un,Anís MC COLIN'S Caja 25un,S/ 4.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,25.0,un,Anís MC COLIN'S Caja,4.2
Frasco 56.7g,Pimienta BADIA Negra molida Frasco 56.7Gr,S/ 9.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,56.7,g,Pimienta BADIA Negra molida Frasco r,9.9
Frasco 40g,Pimienta KARIÑO Negra molida Frasco 40Gr,S/ 6.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,40.0,g,Pimienta KARIÑO Negra molida Frasco r,6.99
Doypack 350g,Ajo Molido PIKI Doypack 350g,S/ 12.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,350.0,g,Ajo Molido PIKI Doypack,12.1
Caja 100un,Anís BELL'S Caja 100un,S/ 11.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,un,Anís BELL'S Caja,11.5
Frasco 85g,Ajo BADIA en Polvo Frasco 85g,S/ 12.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,85.0,g,Ajo BADIA en Polvo Frasco,12.9
Bolsa 500g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio...,S/ 11.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,500.0,g,Sazonador AJI-NO-MOTO Umami Glutamato de Sodio,11.1
Caja 25un,Anís HORNIMANS Caja 25un,S/ 3.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,25.0,un,Anís HORNIMANS Caja,3.9
Sobre 15g,Pimienta BELL'S Negra entera Sobre 15Gr,S/ 2.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,15.0,g,Pimienta BELL'S Negra entera Sobre r,2.5
Paquete 3un,Condimento SIBARITA Ají especial Paquete 3Un S...,S/ 3.60 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,3.0,un,Condimento SIBARITA Ají especial Paquete  S,3.6
Paquete 100g,Salsa de Ají SIBARITA Amarillin Paquete 100g,S/ 3.60 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Salsa de Ají SIBARITA Amarillin Paquete,3.6
Bolsa 96g,Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96...,S/ 3 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,96.0,g,Mezcla para apanar AJI-NO-MIX Apanado Bolsa 96,3.0
Frasco 250g,Aderezo BELL'S Con ají panca molido y especias...,S/ 5.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Aderezo BELL'S Con ají panca molido y especias,5.9
Frasco 280ml,Salsa de Soya AJI-NO-SILLAO Frasco 280ml,S/ 3.60 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,280.0,ml,Salsa de Soya AJI-NO-SILLAO Frasco,3.6
Frasco 250g,Ají Amarillo en Pasta TRESA Frasco 205g,S/ 5.49 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Amarillo en Pasta TRESA Frasco,5.49
Doypack 1kg,Ajo Molido PIKI Doypack 1Kg,S/ 25.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,1.0,kg,Ajo Molido PIKI Doypack,25.2
Doypack 350g,Salsa PIKI Ají amarillo molido Doypack 350g,S/ 8.69 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,350.0,g,Salsa PIKI Ají amarillo molido Doypack,8.69
Bandeja 250g,Ajo Entero BELL'S Pelado Bandeja 250g,S/ 14.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ajo Entero BELL'S Pelado Bandeja,14.99
Sobre 18g,Pimentón Molido TOÑA Paprika Sobre 18g,S/ 3.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,18.0,g,Pimentón Molido TOÑA Paprika Sobre,3.2
Bolsa 100g,Ají especial SIBARITA Sin picante Bolsa 100Gr,S/ 2.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Ají especial SIBARITA Sin picante Bolsa r,2.4
Doypack 120g,Ají amarillo PIKI Molido Doypack 120g,S/ 2.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,120.0,g,Ají amarillo PIKI Molido Doypack,2.9
Doypack 120g,Ají panca PIKI Molido Doypack 120Gr,S/ 2.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,120.0,g,Ají panca PIKI Molido Doypack r,2.9
Frasco 40g,Ajo KARIÑO Molido Frasco 40Gr,S/ 8.30 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,40.0,g,Ajo KARIÑO Molido Frasco r,8.3
Envase 250g,Ají Panca FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Panca FERYMAR Envase,8.7
Doypack 100g,Ají Amarillo Molido RICASA Doypack 100g,S/ 2.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,100.0,g,Ají Amarillo Molido RICASA Doypack,2.2
Doypack 250g,Ají SIBARITA Salsa de ají sin picante Doypack ...,S/ 11.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají SIBARITA Salsa de ají sin picante Doypack,11.4
Doypack 300g,Aceituna Verde con Pimiento BELL'S Doypack 300...,S/ 6.79 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,300.0,g,Aceituna Verde con Pimiento BELL'S Doypack 300,6.79
Frasco 35g,Pimentón KARIÑO Paprika Frasco 35Gr,S/ 7.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,35.0,g,Pimentón KARIÑO Paprika Frasco r,7.7
Sobre 10g,Pimienta SIBARITA Sobre 10g,S/ 1.39 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,10.0,g,Pimienta SIBARITA Sobre,1.39
Bolsa 50g,Hojuelas al Ajo EL CEDRO con Pan Árabe Bolsa 5...,S/ 3.60 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,50.0,g,Hojuelas al Ajo EL CEDRO con Pan Árabe Bolsa 5,3.6
Botella 150ml,Sillao AJI-NO-SILLAO Botella 150ml,S/ 2.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,150.0,ml,Sillao AJI-NO-SILLAO Botella,2.4
Doypack 350g,Salsa PIKI Ají panca molido Doypack 350g,S/ 8.69 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,350.0,g,Salsa PIKI Ají panca molido Doypack,8.69
Paquete 1un,Anís Atado,S/ 1.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,1.0,un,Anís Atado,1.99
Bolsa 65g,"Palitos de Ajonjolí UNIÓN Chia, Kión y Ajo Bol...",S/ 3.69 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,65.0,g,"Palitos de Ajonjolí UNIÓN Chia, Kión y Ajo Bol",3.69
Paquete 1un,Ají de Pollo,S/ 9.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,1.0,un,Ají de Pollo,9.9
Bandeja 200g,Ajos Picados BELL'S Bandeja 200g,S/ 15.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,200.0,g,Ajos Picados BELL'S Bandeja,15.99
Sobre 3un,Salsa SIBARITA Salsa de ají Paquete 3Un sobre ...,S/ 5.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,3.0,un,Salsa SIBARITA Salsa de ají Paquete  sobre,5.5
Envase 250g,Ají Parrillero FERYMAR Envase 250g,S/ 8.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,250.0,g,Ají Parrillero FERYMAR Envase,8.7
Doypack 550g,Ajo Molido SIBARITA Ajo Siba Doypack 550g,S/ 31.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,550.0,g,Ajo Molido SIBARITA Ajo Siba Doypack,31.9
Sobre 18g,Pimienta TOÑA Negra molida Sobre 18Gr,S/ 3.70 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,18.0,g,Pimienta TOÑA Negra molida Sobre r,3.7
