unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 500g,Lenteja Bebé BELL'S Bolsa 500g,S/ 5.20 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja Bebé BELL'S Bolsa,5.2
Bolsa 500g,Lentejas BELL'S Bolsa 500g,S/ 4.90 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lentejas BELL'S Bolsa,4.9
Bolsa 500g,Lenteja Bebé TESORO DEL CAMPO Bolsa 500g,S/ 5.50 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja Bebé TESORO DEL CAMPO Bolsa,5.5
Bolsa 500g,Lenteja COSTEÑO Bolsa 500g,S/ 6.60 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja COSTEÑO Bolsa,6.6
Bolsa 500g,Lenteja Bebé VALLENORTE Bolsa 500g,S/ 6.50 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja Bebé VALLENORTE Bolsa,6.5
Bolsa 500g,Lenteja TESORO DEL CAMPO Bolsa 500g,S/ 5.90 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja TESORO DEL CAMPO Bolsa,5.9
Bolsa 500g,Lenteja VALLENORTE Bolsa 500g,S/ 6.30 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja VALLENORTE Bolsa,6.3
Bolsa 240g,Mini Grageas de Chocolate LENTEJAS Fiesta Bols...,S/ 14.90 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,240.0,g,Mini Grageas de Chocolate LENTEJAS Fiesta Bols,14.9
Bolsa 46.2g,Lentejas con Mantequilla de Maní M&M Bolsa 46....,S/ 4.60 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,46.2,g,Lentejas con Mantequilla de Maní M&M Bolsa 46,4.6
Doypack 360g,Lenteja CASA VERDE Listas para Comer Doypack 3...,S/ 7.50 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,360.0,g,Lenteja CASA VERDE Listas para Comer Doypack 3,7.5
Caja 400g,Hamburguesa de Lentejas DELLANATURA Caja 400g,S/ 20.90 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,400.0,g,Hamburguesa de Lentejas DELLANATURA Caja,20.9
Doypack 425g,Lentejas Listas para Servir LORENZO Doypack 42...,S/ 7.50 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,425.0,g,Lentejas Listas para Servir LORENZO Doypack 42,7.5
Bolsa 750g,Chocolate LENTEJAS Mini Grageas Bolsa 750g,S/ 22.50 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,750.0,g,Chocolate LENTEJAS Mini Grageas Bolsa,22.5
Bolsa 500g,Lenteja Bebé INCATRAIL Bolsa 500g,S/ 6.19 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja Bebé INCATRAIL Bolsa,6.19
Caja 5un,Hamburguesa de Lentejas y Champiñones SANÚA Ca...,S/ 21.19 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,5.0,un,Hamburguesa de Lentejas y Champiñones SANÚA Ca,21.19
Bolsa 250g,Fideo Codito EL DORADO Lentejas Rojas sin Glut...,S/ 27.50 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,250.0,g,Fideo Codito EL DORADO Lentejas Rojas sin Glut,27.5
Caja 30g,Grajeas de Chocolate LENTEJAS Caja 30g,S/ 30 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,30.0,g,Grajeas de Chocolate LENTEJAS Caja,30.0
Bolsa 500g,Lenteja INCATRAIL Bolsa 500g,S/ 5.80 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,500.0,g,Lenteja INCATRAIL Bolsa,5.8
Bandeja 100g,Germinados de Lenteja AGE Bandeja 100g,S/ 15.49 un,plaza_vea,LENTEJA,2024-12-07 14:12:26.568534,100.0,g,Germinados de Lenteja AGE Bandeja,15.49
