unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Presentación 0.6 kg aprox.,Carne Molida de Res Empacada al vacío EL BUEN ...,S/ 24.99 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,0.6,kg,Carne Molida de Res Empacada al vacío EL BUEN,24.99
Presentación 0.6 kg aprox.,Carne Molida Light de Res Empacada al vacío EL...,S/ 34.80 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,0.6,kg,Carne Molida Light de Res Empacada al vacío EL,34.8
Presentación 0.8 kg aprox.,Guiso Tierno de Res EL BUEN CORTE,S/ 32.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,0.8,kg,Guiso Tierno de Res EL BUEN CORTE,32.9
Paquete 500g,Carne Molida de Pavita x500g,S/ 12.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,500.0,g,Carne Molida de Pavita x,12.9
Presentación 1.3 kg aprox.,Pierna de Pollo Congelado SAN FERNANDO x kg,S/ 13.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.3,kg,Pierna de Pollo Congelado SAN FERNANDO,13.9
Presentación 1.3 kg aprox.,Pierna con Encuentro de Pollo Empacada al vací...,S/ 13.50 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.3,kg,Pierna con Encuentro de Pollo Empacada al vací,13.5
Bolsa 280g,Tortillas BIMBO Cero Cero Bolsa 280g,S/ 6.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,280.0,g,Tortillas BIMBO Cero Cero Bolsa,6.9
Presentación 1.5 kg aprox.,Rodaja de Pierna de Pavita SAN FERNANDO Congel...,S/ 16.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.5,kg,Rodaja de Pierna de Pavita SAN FERNANDO Congel,16.9
Presentación 1.35 kg aprox.,Panceta de Cerdo con Hueso y Piel EL BUEN CORT...,S/ 24.89 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.35,kg,Panceta de Cerdo con Hueso y Piel EL BUEN CORT,24.89
Paquete 10un,Pan Árabe Integral EL CEDRO con Salvado de Tri...,S/ 7.20 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,10.0,un,Pan Árabe Integral EL CEDRO con Salvado de Tri,7.2
Caja 42g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo...,S/ 2.20 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,42.0,g,Caldo de Carne DOÑA GUSTA Concentrado en Polvo,2.2
Bolsa 240g,Pan Pita BIMBO Cero Cero Bolsa 240g,S/ 6.80 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,240.0,g,Pan Pita BIMBO Cero Cero Bolsa,6.8
Bolsa 850g,Hamburguesa de Carne La Super SAN FERNANDO Bol...,S/ 12.70 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,850.0,g,Hamburguesa de Carne La Super SAN FERNANDO Bol,12.7
Paquete 500g,Carne Molida Congelada LOS HIERROS 500g,S/ 10.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,500.0,g,Carne Molida Congelada LOS HIERROS,10.9
Paquete 1un,Hierba Buena x unidad,S/ 1.39 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.0,un,Hierba Buena ad,1.39
Bolsa 910g,Hamburguesa de Carne La Casera SAN FERNANDO Bo...,S/ 12.60 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,910.0,g,Hamburguesa de Carne La Casera SAN FERNANDO Bo,12.6
Presentación 1.2 kg aprox.,Pierna de Pollo Empacada al vacío SAN FERNANDO,S/ 15.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.2,kg,Pierna de Pollo Empacada al vacío SAN FERNANDO,15.9
Bolsa 190g,Jabón BOLIVAR Floral Glicerina y Perlas de Bla...,S/ 3.20 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,190.0,g,Jabón BOLIVAR Floral Glicerina y Perlas de Bla,3.2
Bolsa 80g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa ...,S/ 1.60 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,80.0,g,Sopa Instántanea AJINOMEN Sabor a Carne Bolsa,1.6
Presentación 1.4 kg aprox.,Guiso de Cerdo Nacional Fresco x kg,S/ 19.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.4,kg,Guiso de Cerdo Nacional Fresco,19.9
Presentación 1.04 kg aprox.,Chuleta de Lomo de Cerdo,S/ 18.89 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.04,kg,Chuleta de Lomo de Cerdo,18.89
Paquete 1un,Hierba Luisa x unidad,S/ 1.29 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.0,un,Hierba Luisa ad,1.29
10L Rollo 20un,Bolsas de Basura ETERNA Aromas 10L Rollo 20un,S/ 7.30 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,10.0,l,Bolsas de Basura ETERNA Aromas  Rollo,7.3
Presentación 1.2 kg aprox.,Bife de Lomo de Cerdo EL BUEN CORTE,S/ 28.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.2,kg,Bife de Lomo de Cerdo EL BUEN CORTE,28.9
Presentación 2.6 kg aprox.,Panceta de Cerdo con Piel Congelada x Kg,S/ 24.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,2.6,kg,Panceta de Cerdo con Piel Congelada,24.9
Presentación 1.2 kg aprox.,Filete Pierna Pollo con Piel Empacada al vacío...,S/ 20.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.2,kg,Filete Pierna Pollo con Piel Empacada al vacío,20.9
Presentación 1.2 kg aprox.,Filete Pierna Pollo Sin Piel Empacada al vacío...,S/ 22.90 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.2,kg,Filete Pierna Pollo Sin Piel Empacada al vacío,22.9
Bolsa 15Kg,Comida para Perros MIMASKOT Adultos Raza Media...,S/ 94.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,15.0,kg,Comida para Perros MIMASKOT Adultos Raza Media,94.9
Frasco 6g,Protector Solar Facial NEUTROGENA Sun Fresh De...,S/ 52.70 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,6.0,g,Protector Solar Facial NEUTROGENA Sun Fresh De,52.7
Bolsa 9Kg,Comida para Gatos RICOCAT Gatitos Carne Pescad...,S/ 85.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,9.0,kg,Comida para Gatos RICOCAT Gatitos Carne Pescad,85.9
Bolsa 4Kg,Detergente en Polvo ARIEL Perlas Limpiadoras B...,S/ 54.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,4.0,kg,Detergente en Polvo ARIEL Perlas Limpiadoras B,54.9
Caja 75.2g,Caldo en Cubitos MAGGI sabor Carne Caja 75.2g,S/ 4.50 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,75.2,g,Caldo en Cubitos MAGGI sabor Carne Caja,4.5
20L Rollo 40un,Bolsas de Basura ETERNA Aromas 20L Rollo 40un,S/ 11.50 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,20.0,l,Bolsas de Basura ETERNA Aromas  Rollo,11.5
Presentación 1.04 kg aprox.,Chuleta de Pierna de Cerdo con Piel,S/ 18.89 x kg,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,1.04,kg,Chuleta de Pierna de Cerdo con Piel,18.89
Paquete 10un,Pan Árabe Blanco EL CEDRO Bolsa 10un,S/ 7.30 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,10.0,un,Pan Árabe Blanco EL CEDRO Bolsa,7.3
Bolsa 560g,Pan Integral BIMBO Cero Cero Bolsa 560g,S/ 10.80 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,560.0,g,Pan Integral BIMBO Cero Cero Bolsa,10.8
Bolsa 8Kg,Alimento para Gatos CAT CHOW Adulto Sabor Salm...,S/ 104.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,8.0,kg,Alimento para Gatos CAT CHOW Adulto Sabor Salm,104.9
Paquete 150g,Jamón de Pierna Ahumado SALCHICHERÍA ALEMANA P...,S/ 12.80 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,150.0,g,Jamón de Pierna Ahumado SALCHICHERÍA ALEMANA P,12.8
Bolsa 22Kg,"Comida para Perros MIMASKOT Carne, Cereal y Ve...",S/ 133.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,22.0,kg,"Comida para Perros MIMASKOT Carne, Cereal y Ve",133.9
Caja 25un,Infusión de Hierba Luisa HORNIMANS Caja 25un,S/ 3.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,25.0,un,Infusión de Hierba Luisa HORNIMANS Caja,3.9
Paquete 25un,Caldo MAGGI Cubito Sabor Carne 100g Paquete 25...,S/ 5.50 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,25.0,un,Caldo MAGGI Cubito Sabor Carne  Paquete 25,5.5
Bolsa 140g,Tostadas Integrales BIMBO Cero Cero Bolsa 140g,S/ 5.80 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,140.0,g,Tostadas Integrales BIMBO Cero Cero Bolsa,5.8
Bolsa 530g,Pan Blanco BIMBO Cero Cero Bolsa 530g,S/ 10.50 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,530.0,g,Pan Blanco BIMBO Cero Cero Bolsa,10.5
Bolsa 12un,Tortilla Artesanal Clásica EL CEDRO Bolsa 12un,S/ 8.50 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,12.0,un,Tortilla Artesanal Clásica EL CEDRO Bolsa,8.5
Caja 100un,Hierba Luisa BELL'S Caja 100un,S/ 11.50 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,100.0,un,Hierba Luisa BELL'S Caja,11.5
Bolsa 15Kg,Comida para Perros RICOCAN Cachorros Razas Med...,S/ 105.90 un,plaza_vea,PIERNA (CARNE DE CERDO),2024-12-07 13:17:09.814424,15.0,kg,Comida para Perros RICOCAN Cachorros Razas Med,105.9
