unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Paquete 1un,Poro Entero un,S/ 1.29 un,plaza_vea,PORO,2024-12-07 14:09:21.101654,1.0,un,Poro Entero un,1.29
Caja 1un,Quiche de Poro y Queso HOME CHEF Caja 1un,S/ 27.90 un,plaza_vea,PORO,2024-12-07 14:09:21.101654,1.0,un,Quiche de Poro y Queso HOME CHEF Caja,27.9
Presentación 0.5 kg aprox.,Cebolla Roja P x kg,S/ 2.09 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,0.5,kg,Cebolla Roja P,2.09
Presentación 0.5 kg aprox.,Tomate Italiano,S/ 5.60 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,0.5,kg,Tomate Italiano,5.6
Presentación 0.5 kg aprox.,Limón Ácido,S/ 3.69 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,0.5,kg,Limón Ácido,3.69
Presentación 0.5 kg aprox.,Zanahoria,S/ 1.68 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,0.5,kg,Zanahoria,1.68
Presentación 1 kg aprox.,Papa Blanca Yungay,S/ 3.19 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,1.0,kg,Papa Blanca Yungay,3.19
Presentación 0.5 kg aprox.,Papa Blanca,S/ 2.99 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,0.5,kg,Papa Blanca,2.99
Presentación 1.5 kg aprox.,Zapallo Macre,S/ 1.99 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,1.5,kg,Zapallo Macre,1.99
Presentación 1 kg aprox.,Camote Amarillo Procesado,S/ 2.79 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,1.0,kg,Camote Amarillo Procesado,2.79
Presentación 0.6 kg aprox.,Brócoli,S/ 4.90 x kg,plaza_vea,PORO,2024-12-07 14:09:21.101654,0.6,kg,Brócoli,4.9
