unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Lata 140g,Trozos de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.50 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,140.0,g,Trozos de Atún PRIMOR en Aceite Vegetal Lata 1,5.5
Pack 2un,Duo Pack Trozos de Atún CAMPOMAR Lata 150g x 2...,S/ 10.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,2.0,un,Duo Pack Trozos de Atún CAMPOMAR Lata  x 2,10.9
Bandeja 200g,Champiñon Picado BELL'S Bandeja 200g,S/ 5.19 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,200.0,g,Champiñon Picado BELL'S Bandeja,5.19
Bandeja 200g,Aguaymanto Pelado BELL'S Bandeja 200g,S/ 4.29 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,200.0,g,Aguaymanto Pelado BELL'S Bandeja,4.29
Presentación 1.5 kg aprox.,Pechuga de Pavita en Trozos SAN FERNANDO Conge...,S/ 17.90 x kg,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,1.5,kg,Pechuga de Pavita en Trozos SAN FERNANDO Conge,17.9
Bolsa 1Kg,Filete de Basa BELL'S Bolsa 1Kg,S/ 16.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,1.0,kg,Filete de Basa BELL'S Bolsa,16.9
Bandeja 250g,Ajos Pelados EL SABOR Arequipeños Bandeja 250g,S/ 9.99 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,250.0,g,Ajos Pelados EL SABOR Arequipeños Bandeja,9.99
Bolsa 8Kg,Comida para Gatos CAT CHOW Adulto Esterilizado...,S/ 104.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,8.0,kg,Comida para Gatos CAT CHOW Adulto Esterilizado,104.9
Lata 150g,Trozos de Atún en Aceite Vegetal CAMPOMAR Lata...,S/ 5.40 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,150.0,g,Trozos de Atún en Aceite Vegetal CAMPOMAR Lata,5.4
Lata 822g,Conserva de Durazno en Mitades ACONCAGUA en Al...,S/ 10.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,822.0,g,Conserva de Durazno en Mitades ACONCAGUA en Al,10.9
Bolsa 500g,Trozos De Salmón AQUA Bolsa 500g,S/ 42.10 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,500.0,g,Trozos De Salmón AQUA Bolsa,42.1
Bolsa 1Kg,Trozos de Piña Golden Congelada EL FRUTERO Bol...,S/ 16.99 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,1.0,kg,Trozos de Piña Golden Congelada EL FRUTERO Bol,16.99
Lata 140g,Trozos de Atún FLORIDA en Aceite Vegetal Lata ...,S/ 5.80 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,140.0,g,Trozos de Atún FLORIDA en Aceite Vegetal Lata,5.8
Bolsa 9Kg,Comida para Gatos RICOCAT Gatitos Carne Pescad...,S/ 85.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,9.0,kg,Comida para Gatos RICOCAT Gatitos Carne Pescad,85.9
Lata 140g,Trozos de Atún en Aceite Vegetal GLORIA Lata 1...,S/ 5.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,140.0,g,Trozos de Atún en Aceite Vegetal GLORIA Lata 1,5.9
Presentación 1 kg aprox.,Pescado Bonito Entero PESCANOVA PV,S/ 7.50 x kg,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,1.0,kg,Pescado Bonito Entero PESCANOVA PV,7.5
Lata 156g,Alimento Húmedo para Gatos FELIX Paté Atún y P...,S/ 6.50 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,156.0,g,Alimento Húmedo para Gatos FELIX Paté Atún y P,6.5
Bolsa 1Kg,Piña en Trozos Congelada BELL'S Bolsa 1kg,S/ 13.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,1.0,kg,Piña en Trozos Congelada BELL'S Bolsa,13.9
Bolsa 1Kg,Trozos de Papaya Congelada EL FRUTERO Bolsa 1K...,S/ 15.69 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,1.0,kg,Trozos de Papaya Congelada EL FRUTERO Bolsa 1K,15.69
Frasco 430g,Conserva BELL'S Palmitos Enteros en Salmuera F...,S/ 13.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,430.0,g,Conserva BELL'S Palmitos Enteros en Salmuera F,13.9
Bandeja 200g,Champiñón Crimini Picado PACCU Bandeja 200g,S/ 6.99 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,200.0,g,Champiñón Crimini Picado PACCU Bandeja,6.99
Bandeja 250g,Ajo Entero BELL'S Pelado Bandeja 250g,S/ 14.99 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,250.0,g,Ajo Entero BELL'S Pelado Bandeja,14.99
Vaso 120g,Yogurt Griego LAIVE con Trozos de Blueberry Va...,S/ 2.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,120.0,g,Yogurt Griego LAIVE con Trozos de Blueberry Va,2.2
Presentación 3 kg aprox.,Pescado Bonito Entero Fresco,S/ 7.90 x kg,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,3.0,kg,Pescado Bonito Entero Fresco,7.9
Bolsa 250g,Aceitunas en Conserva BELL'S Botija deshuesada...,S/ 9.40 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,250.0,g,Aceitunas en Conserva BELL'S Botija deshuesada,9.4
Bandeja 500g,Piña en Trozos BELL'S Bandeja 500g,S/ 9.89 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,500.0,g,Piña en Trozos BELL'S Bandeja,9.89
Bandeja 300g,Piña en Trozos BELL'S Bandeja 300g,S/ 6.50 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,300.0,g,Piña en Trozos BELL'S Bandeja,6.5
Vaso 120g,Yogurt Griego LAIVE con Trozos de Fresa Vaso 1...,S/ 2.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,120.0,g,Yogurt Griego LAIVE con Trozos de Fresa Vaso 1,2.2
Vaso 120g,Yogurt Griego LAIVE con Trozos de Durazno Vaso...,S/ 2.20 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,120.0,g,Yogurt Griego LAIVE con Trozos de Durazno Vaso,2.2
Bolsa 900g,Panetón con Trozos de Chocolate POESSIA Bolsa ...,S/ 25.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,900.0,g,Panetón con Trozos de Chocolate POESSIA Bolsa,25.9
Bandeja 700g,Piña en Trozos BELL'S Bandeja 700g,S/ 13.49 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,700.0,g,Piña en Trozos BELL'S Bandeja,13.49
Bandeja 400g,Olluco Picado BELL'S Bandeja 400g,S/ 9.59 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,400.0,g,Olluco Picado BELL'S Bandeja,9.59
Pote 900ml,Helado D'ONOFRIO con Trozos de Maní SUBLIME Po...,S/ 18.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,900.0,ml,Helado D'ONOFRIO con Trozos de Maní SUBLIME Po,18.9
Lata 432g,Conserva VALLE FERTIL Choclo dulce desgranado ...,S/ 9.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,432.0,g,Conserva VALLE FERTIL Choclo dulce desgranado,9.9
Lata 567g,Piña en Trozos BELL'S en Almíbar Lata 567g,S/ 6.40 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,567.0,g,Piña en Trozos BELL'S en Almíbar Lata,6.4
Lata 248g,Conserva VALLE FERTIL Choclo dulce desgranado ...,S/ 7.60 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,248.0,g,Conserva VALLE FERTIL Choclo dulce desgranado,7.6
Caja 600g,Milanesa de Pescado SEAFROST Caja 600g,S/ 17.90 un,plaza_vea,TROZO DE PESCADO EN CONSERVA,2024-12-07 13:34:25.521814,600.0,g,Milanesa de Pescado SEAFROST Caja,17.9
