unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Galonera 1.7Kg,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Parcialmente Descremado GLORIA Sabor a,8.9
Galonera 1.7Kg,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Parcialmente Descremado GLORIA Sabor a,8.9
Bolsa 800g,Yogurt Batido GLORIA Griego Sabor Frutos Rojos...,S/ 7 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,800.0,g,Yogurt Batido GLORIA Griego Sabor Frutos Rojos,7.0
Pack 300g,Pack Mixto Queso Edam + Jamón Americano LAIVE ...,S/ 11.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,300.0,g,Pack Mixto Queso Edam + Jamón Americano LAIVE,11.9
Balde 1Kg,Yogurt Griego VAKIMU Original Balde 1Kg,S/ 15.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.0,kg,Yogurt Griego VAKIMU Original Balde,15.9
Vaso 146g,Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,S/ 3.10 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,146.0,g,Yogurt GLORIA Battimix Vainilla con Arroz Cruj,3.1
Galonera 1.7Kg,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Parcialmente Descremado GLORIA Sabor a,8.9
Botella 900g,Yogurt DANLAC Maracumango Botella 900g,S/ 9.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,900.0,g,Yogurt DANLAC Maracumango Botella,9.9
Galonera 1.7Kg,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Parcialmente Descremado GLORIA Sabor a,8.9
Galonera 1.7Kg,Yogurt Bebible LAIVE Bio Sabor a Fresa Galoner...,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Bebible LAIVE Bio Sabor a Fresa Galoner,11.5
Bolsa 800g,Yogurt Batido GLORIA Griego Sabor Natural Bols...,S/ 7 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,800.0,g,Yogurt Batido GLORIA Griego Sabor Natural Bols,7.0
Pote 900g,Yogurt Griego Descremado DANLAC Natural Pote 9...,S/ 17.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,900.0,g,Yogurt Griego Descremado DANLAC Natural Pote 9,17.5
Botella 900g,Yogurt DANLAC Frutado de Fresa Botella 900g,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,900.0,g,Yogurt DANLAC Frutado de Fresa Botella,11.5
Pote 500g,Yogurt Skyr PLUSA Pote 500g,S/ 17.70 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,500.0,g,Yogurt Skyr PLUSA Pote,17.7
Balde 1Kg,Yogurt Griego VAKIMU Frutos del Bosque Balde 1...,S/ 15.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.0,kg,Yogurt Griego VAKIMU Frutos del Bosque Balde 1,15.9
Galonera 1.7Kg,Yogurt LAIVE Sbelt Sabor a Fresa Galonera 1.7K...,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt LAIVE Sbelt Sabor a Fresa Galonera 1.7K,11.5
Galonera 1.7Kg,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Parcialmente Descremado GLORIA Sabor a,8.9
Galonera 1.7Kg,Yogurt Slim GLORIA Sabor a Vainilla Galonera 1...,S/ 10.30 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Slim GLORIA Sabor a Vainilla Galonera 1,10.3
Paquete 6un,Yogurt Parcialmente Descremado GLORIA Sabor a ...,S/ 10 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,6.0,un,Yogurt Parcialmente Descremado GLORIA Sabor a,10.0
Botella 900g,Yogurt Natural DANLAC Botella 900g,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,900.0,g,Yogurt Natural DANLAC Botella,11.5
Galonera 1.7Kg,Yogurt Bebible LAIVE Bio Sabor a Vainilla Galo...,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Bebible LAIVE Bio Sabor a Vainilla Galo,11.5
Paquete 340g,Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ ...,S/ 14.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,340.0,g,Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ,14.5
Galonera 1.7Kg,Yogurt LAIVE Sbelt Sabor a Vainilla Galonera 1...,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt LAIVE Sbelt Sabor a Vainilla Galonera 1,11.5
Botella 1Kg,Yogurt Bebible GLORIA Sabor a Fresa Botella 1K...,S/ 6.20 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.0,kg,Yogurt Bebible GLORIA Sabor a Fresa Botella 1K,6.2
Vaso 120g,Yogurt Batido GLORIA Griego Sabor Frutos Rojos...,S/ 2.20 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,120.0,g,Yogurt Batido GLORIA Griego Sabor Frutos Rojos,2.2
Galonera 1.7Kg,Yogurt Sabor a Fresa sin Lactosa LAIVE Galoner...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Sabor a Fresa sin Lactosa LAIVE Galoner,8.9
Botella 1.7Kg,Yogurt GLORIA Parcialmente Descremado Sabor a ...,S/ 8.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt GLORIA Parcialmente Descremado Sabor a,8.9
Botella 900g,Yogurt DANLAC Frutado Frutos del Bosque Botell...,S/ 11.50 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,900.0,g,Yogurt DANLAC Frutado Frutos del Bosque Botell,11.5
Botella 1.7Kg,Yogurt GLORIA Slim Triple Zero Sabor a Frutos ...,S/ 10.30 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt GLORIA Slim Triple Zero Sabor a Frutos,10.3
Botella 800g,Yogurt Griego LAIVE Frutos Rojos Botella 800g,S/ 9.90 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,800.0,g,Yogurt Griego LAIVE Frutos Rojos Botella,9.9
Bolsa 800g,Yogurt Batido GLORIA Griego Sabor Mango Bolsa ...,S/ 7 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,800.0,g,Yogurt Batido GLORIA Griego Sabor Mango Bolsa,7.0
Vaso 120g,Yogurt GLORIA Batti Shake Fresa Vaso 120g,S/ 1.60 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,120.0,g,Yogurt GLORIA Batti Shake Fresa Vaso,1.6
Vaso 120g,Yogurt GLORIA Batti Shake Vainilla Vaso 120g,S/ 1.60 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,120.0,g,Yogurt GLORIA Batti Shake Vainilla Vaso,1.6
Bolsa 800g,Yogurt Batido GLORIA Griego con Miel Bolsa 800...,S/ 7 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,800.0,g,Yogurt Batido GLORIA Griego con Miel Bolsa 800,7.0
Galonera 1.7Kg,Yogurt Slim GLORIA Sabor a Fresa Galonera 1.7K...,S/ 10.30 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,1.7,kg,Yogurt Slim GLORIA Sabor a Fresa Galonera 1.7K,10.3
Frasco 420g,Yogurt Griego DANLAC Cultivos Probióticos Fras...,S/ 10.99 un,plaza_vea,YOGUR MIXTO EN VASO,2024-12-07 13:40:36.616560,420.0,g,Yogurt Griego DANLAC Cultivos Probióticos Fras,10.99
