brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
AJINOMOTO,Sazonador Bolsa 500 g,S/ 11.10,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,500.0,g,Sazonador Bolsa,11.1
AJINOMIX,Sazonador de arroz Deliarroz 6 unidades,S/ 1.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,6.0,un,Sazonador de arroz Deliarroz ades,1.9
AJINOMOTO,Sazonador Bolsa 250 g,S/ 6.10,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,250.0,g,Sazonador Bolsa,6.1
ARIEL,Detergente Liqquido Concentrado Doble Poder 3.7 L,S/ 64.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,3.7,l,Detergente Liqquido Concentrado Doble Poder,64.9
SIBARITA,Sazonador 6 unidades,S/ 2.60,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,6.0,un,Sazonador ades,2.6
SIBARITA,Sazonador Panquita Pack 3 Unidades,S/ 3.60,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,3.0,un,Sazonador Panquita Pack ades,3.6
COSTENO,Sazonador Pops Costeño de Mantequilla de 81 g,S/ 10.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,81.0,g,Sazonador Pops Costeño de Mantequilla de,10.9
AJINOMOTO,Sazonador Bolsa 100 g,S/ 2.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,100.0,g,Sazonador Bolsa,2.9
DOÑA GUSTA,Sazonador de Tocino - 6 unidades,S/ 2.20,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,6.0,un,Sazonador de Tocino - ades,2.2
AJINOMIX,Sazonador Chifa 4 Unidades,S/ 2.20,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,4.0,un,Sazonador Chifa ades,2.2
AJINOMOTO,Sazonador Frasco 100 g,S/ 8.30,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,100.0,g,Sazonador Frasco,8.3
MOLITALIA,Puré de Tomate Pomarola Concentrado 110 g,S/ 1.80,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,110.0,g,Puré de Tomate Pomarola Concentrado,1.8
SIBARITA,Sazonador Amarillín Pack 3 Unidades,S/ 4.70,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,3.0,un,Sazonador Amarillín Pack ades,4.7
SONAX,CHAMPU BRILLO CONCENTRADO 1000ML,S/ 25.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,1000.0,ml,CHAMPU BRILLO CONCENTRADO,25.9
MUTTI,Concentrado De Tomate 210 g,S/ 13.50,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,210.0,g,Concentrado De Tomate,13.5
NATURAL HOME,Sazonador Mollejas De Pollo x 60 g,S/ 13.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,60.0,g,Sazonador Mollejas De Pollo x,13.9
NATURAL HOME,Sazonador Hígado De Res x 80 g,S/ 13.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,80.0,g,Sazonador Hígado De Res x,13.9
POMAROLA,Concentrado De Tomate x 1 Kg,S/ 13.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,1.0,kg,Concentrado De Tomate x,13.9
NATURAL HOME,Sazonador Bofe Y Bazo De Res x 70 g,S/ 13.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,70.0,g,Sazonador Bofe Y Bazo De Res x,13.9
DOWNY,Suavizante Concentrado Líquido Amanecer 4.8L,S/ 39.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,4.8,l,Suavizante Concentrado Líquido Amanecer,39.9
DOWNY,Suavizante Concentrado Líquido Amanecer 2.8L,S/ 25.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,2.8,l,Suavizante Concentrado Líquido Amanecer,25.9
DOWNY,Suavizante Concentrado Líquido Amanecer 1.4L,S/ 14.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,1.4,l,Suavizante Concentrado Líquido Amanecer,14.9
DOWNY,Suavizante Concentrado Líquido Amanecer 700 ml,S/ 9.90,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,700.0,ml,Suavizante Concentrado Líquido Amanecer,9.9
KATIVA,KIT TOTAL PLEX CONCENTRADO X70ML+SELLANTE,S/ 39.92,tottus,SAZONADORES CONCENTRADOS,2024-12-04 13:53:10.665510,70.0,ml,KIT TOTAL PLEX CONCENTRADO X+SELLANTE,39.92
