brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
VILLA NATURA,Chifle Salado 150 g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,150.0,g,Chifle Salado,6.9
CRICKET'S,Chifle Crickets Leche De Tigre 250 g,S/ 8.48,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,250.0,g,Chifle Crickets Leche De Tigre,8.48
KARINTO,Chifles 150g,S/ 9,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,150.0,g,Chifles,9.0
TOTTUS,Chifle Salado 150 g,S/ 5.50,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,150.0,g,Chifle Salado,5.5
VILLA NATURA,CHIFLE SALADO BL 500 GR,S/ 18.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,500.0,g,CHIFLE SALADO BL R,18.9
TOTTUS,Chifle Norteño Con Canchita Milys 500 g,S/ 16.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,500.0,g,Chifle Norteño Con Canchita Milys,16.9
GELCE,Chifles salados de 125 g,S/ 5.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,125.0,g,Chifles salados de,5.9
VILLA NATURA,Chifle Dulce150g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,150.0,g,Chifle Dulce,6.9
TOTTUS,Chifles Salados 100 g,S/ 3.79,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,100.0,g,Chifles Salados,3.79
GELCE,Chifles Sabor Norteño 160 g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,160.0,g,Chifles Sabor Norteño,6.9
BUCKY,Chifle Salado Snack de 180 g,S/ 6.38,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,180.0,g,Chifle Salado Snack de,6.38
CRICKET'S,Chifle Crickets Leche De Tigre 150 g,S/ 5.93,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,150.0,g,Chifle Crickets Leche De Tigre,5.93
ARTICHAY,CHIFLES SALADOS CANCHA CARNE RES 250G,S/ 16.50,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,250.0,g,CHIFLES SALADOS CANCHA CARNE RES,16.5
ARTICHAY,CHIFLES SALADOS CANCHA CARNE RES 500G,S/ 30.50,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,500.0,g,CHIFLES SALADOS CANCHA CARNE RES,30.5
GENERICO,CHIFLE LECHE DE TIGRE CRICKETS X 500 G,S/ 16.43,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,500.0,g,CHIFLE LECHE DE TIGRE CRICKETS X,16.43
FIBERLIGHT,Bocaditos Salvado con Orégano Fibralight 200 g,S/ 9.80,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,200.0,g,Bocaditos Salvado con Orégano Fibralight,9.8
