brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
TOTTUS,Tableta Para Taza Sabor Chocolate x 90 g,S/ 2,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,90.0,g,Tableta Para Taza Sabor Chocolate x,2.0
GENERICO,Tableta Para Taza Sabor Chocolate Clavo Y Canela x 60 g,S/ 1.80,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,60.0,g,Tableta Para Taza Sabor Chocolate Clavo Y Canela x,1.8
COSTA,Tableta de Chocolate Vizzio Crunch con Leche 24g,S/ 1.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,24.0,g,Tableta de Chocolate Vizzio Crunch con Leche,1.5
COSTA,Tableta de Chocolate Vizzio Maní con Leche 26g,S/ 1.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,26.0,g,Tableta de Chocolate Vizzio Maní con Leche,1.5
ORQUIDEA,Tableta Para Taza Chocolate 100% Cacao Organico x 100 g,S/ 16,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,100.0,g,Tableta Para Taza Chocolate 100% Cacao Organico x,16.0
COSTA,Tableta de Chocolate Vizzio Crunch 24g 10 Unidades,S/ 13.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,24.0,g,Tableta de Chocolate Vizzio Crunch  ades,13.5
COSTA,Tableta de Chocolate Vizzio Maní con Leche 26g 10 Unidades,S/ 13.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,26.0,g,Tableta de Chocolate Vizzio Maní con Leche  ades,13.5
,Tableta De Chocolate Con Leche Crunchy HH 60 g,S/ 8.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,60.0,g,Tableta De Chocolate Con Leche Crunchy HH,8.5
,Tableta De Chocolate Con Leche HH 60 g,S/ 8.50,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,60.0,g,Tableta De Chocolate Con Leche HH,8.5
HERSHEYS,Hershey Tableta Con Leche 82 g,S/ 9.90,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,82.0,g,Hershey Tableta Con Leche,9.9
HERSHEYS,Hershey Tableta 40% Cristal 77 g,S/ 9.90,tottus,CHOCOLATE EN TABLETA,2024-12-05 12:29:13.724944,77.0,g,Hershey Tableta 40% Cristal,9.9
