brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
TOTTUS,Hamburguesa Parrillera De Res Caja x 4 Unidades,S/ 21.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,4.0,un,Hamburguesa Parrillera De Res Caja x ades,21.9
OTTO KUNZ,HAMB. RES PREMIUM X 8 UNIDADES,S/ 24.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,8.0,un,HAMB. RES PREMIUM X ADES,24.9
SAN FERNANDO,Nuggets Pechuga Pollo (24 unidades),S/ 14.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,24.0,un,Nuggets Pechuga Pollo (ades),14.5
TOTTUS,ENROLLADO DE POLLO CON JAMON QUESO X1KG,S/ 26.18,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.0,kg,ENROLLADO DE POLLO CON JAMON QUESO X,26.18
TOTTUS,ENROLLADO DE CERDO CON JAMON Y QUESO X1KG,S/ 27.68,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.0,kg,ENROLLADO DE CERDO CON JAMON Y QUESO X,27.68
REDONDOS,HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,6.0,un,HAMB. LA REDONDITA X ADES,5.9
REDONDOS,HAMB. LA REDONDITA X 14 UND.,S/ 11.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,14.0,un,HAMB. LA REDONDITA X D.,11.5
PRINGLES,CHURRASCO 109G,S/ 9.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,109.0,g,CHURRASCO,9.9
DOGUITOS,Snack para perro sabor Churrasco de 65 gr,S/ 8.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,65.0,g,Snack para perro sabor Churrasco de r,8.5
REDONDOS,Enrollado de Pollo Cordon Bleu 1.3 kg,S/ 35.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.3,kg,Enrollado de Pollo Cordon Bleu,35.9
REDONDOS,TIRAS DE PECHUGA DE POLLO X 300GR,S/ 14.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,300.0,g,TIRAS DE PECHUGA DE POLLO X R,14.5
SAN FERNANDO,La Casera 910 g 14 Un,S/ 13.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,910.0,g,La Casera,13.5
TOTTUS,HAMBURGUESA CASERA DE CARNE X 14 UNID,S/ 13.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,14.0,un,HAMBURGUESA CASERA DE CARNE X,13.5
SAN FERNANDO,La Super 850 g 14 Un,S/ 14.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,850.0,g,La Super,14.9
TOTTUS,ENROLLADO DE CERDO CON TOCINO Y GUINDONES X1KG,S/ 27.68,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.0,kg,ENROLLADO DE CERDO CON TOCINO Y GUINDONES X,27.68
REDONDOS,Nuggets Pechuga 550 g,S/ 13.40,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,550.0,g,Nuggets Pechuga,13.4
,Enrollado Delizia de Pavo San Fernando 1 kg,S/ 49.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.0,kg,Enrollado Delizia de Pavo San Fernando,49.9
OTTO KUNZ,HAMB. RES PREMIUM X 4 UNIDADES,S/ 13.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,4.0,un,HAMB. RES PREMIUM X ADES,13.9
TOTTUS,Enrollado de Pollo con Frutas Secas 1 kg,S/ 26.18,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.0,kg,Enrollado de Pollo con Frutas Secas,26.18
LOS HIERROS,Hamburguesa Premium 800 g,S/ 25.73,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,800.0,g,Hamburguesa Premium,25.73
OTTO KUNZ,HAMBURGUESA PREMIUM PARRILLERA OK X 4UN,S/ 26.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,4.0,un,HAMBURGUESA PREMIUM PARRILLERA OK X,26.9
REDONDOS,Enrollado de Pollo con Fruta 1.3 kg,S/ 35.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.3,kg,Enrollado de Pollo con Fruta,35.9
SAN FERNANDO,Nuggets De Pollo (10 unidades),S/ 4.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,10.0,un,Nuggets De Pollo (ades),4.9
SANUA,Hamburguesas de Lentejas y Champiñones de 600 g,S/ 24.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,600.0,g,Hamburguesas de Lentejas y Champiñones de,24.9
LOS HIERROS,Hamburguesa Parrillera 680 g,S/ 21.38,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,680.0,g,Hamburguesa Parrillera,21.38
REDONDOS,NUGGETS PECHUGA X 350 GR,S/ 10.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,350.0,g,NUGGETS PECHUGA X R,10.9
,Enrollado Americano de Pavo San Fernando 1.3 kg,S/ 49.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.3,kg,Enrollado Americano de Pavo San Fernando,49.9
,Enrollado Delizia de Cerdo San Fernando 1.3 kg,S/ 49.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.3,kg,Enrollado Delizia de Cerdo San Fernando,49.9
TOTTUS,Hamburguesa Casera De Pollo x 14 Unidades,S/ 12.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,14.0,un,Hamburguesa Casera De Pollo x ades,12.5
REDONDOS,Enrollado de Cerdo con Frutas 1.3 kg,S/ 39.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,1.3,kg,Enrollado de Cerdo con Frutas,39.9
TOTTUS,Hamburguesa Parrillera De Pollo x 4 Unidades,S/ 16.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,4.0,un,Hamburguesa Parrillera De Pollo x ades,16.9
REDONDOS,NUGGETS PECHUGA X 180 GR,S/ 5.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,180.0,g,NUGGETS PECHUGA X R,5.5
SAN FERNANDO,La Casera Con Pollo 910 g 14Un,S/ 13.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,910.0,g,La Casera Con Pollo,13.9
REDONDOS,HAMBURGUESA DE FINAS HIERBAS X600 GR,S/ 17.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,600.0,g,HAMBURGUESA DE FINAS HIERBAS XR,17.9
TOTTUS,Nugget De Pollo Con Brocoli Y Queso 12 Un,S/ 12.50,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,12.0,un,Nugget De Pollo Con Brocoli Y Queso,12.5
REDONDOS,DEDITOS DE PECHUGA DE POLLO X 300GR,S/ 13.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,300.0,g,DEDITOS DE PECHUGA DE POLLO X R,13.9
TOTTUS,Nuggets De Pollo 24 Unidades,S/ 14.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,24.0,un,Nuggets De Pollo ades,14.9
SAN FERNANDO,Crispy Nuggets (10 unidades),S/ 4.95,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,10.0,un,Crispy Nuggets (ades),4.95
REDONDOS,CHIKI NUGGETS X 200 GR,S/ 4.90,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,200.0,g,CHIKI NUGGETS X R,4.9
REDONDOS,NUGGETS DE POLLO MULTIGRANOS X 270 GR,S/ 8.60,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,270.0,g,NUGGETS DE POLLO MULTIGRANOS X R,8.6
SAN FERNANDO,Nuggets Pavita Cereales Sin Freír 180 g,S/ 8,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,180.0,g,Nuggets Pavita Cereales Sin Freír,8.0
SAN FERNANDO,Dinonuggets 200 g (5 unidades),S/ 6.70,tottus,CHURRASCO DE VACUNO,2024-12-05 11:27:26.605468,200.0,g,Dinonuggets  (ades),6.7
