brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
GENERICO,Harina de Trigo Integral Precocida Orgánica Del Buncker 1KG,S/ 10.90,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,1.0,kg,Harina de Trigo Integral Precocida Orgánica Del Buncker,10.9
EXOTICA,Camu Camu polvo atomizado x 100 gr,S/ 25,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,100.0,g,Camu Camu polvo atomizado x r,25.0
GENERICO,Maca Mixta Orgánica en polvo 200gr,S/ 19.30,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,200.0,g,Maca Mixta Orgánica en polvo r,19.3
BRAVERY,Comida De Perro Adulto Raza Grande Salmón 4 Kg,S/ 133,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,4.0,kg,Comida De Perro Adulto Raza Grande Salmón,133.0
SOL DE JANEIRO,Crema Corporal 59 - 75 ml -,S/ 179,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,75.0,ml,Crema Corporal 59 -  -,179.0
KYLIE SKIN,Aceite Facial Clarificante 20ml -KYLIE SKIN,S/ 199,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,20.0,ml,Aceite Facial Clarificante  -KYLIE SKIN,199.0
CLARINS,Purifying Gentle Foaming Cleanser 125ml,S/ 169,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,125.0,ml,Purifying Gentle Foaming Cleanser,169.0
GENERICO,Jabón Limpiador Facial de Limón 240ml - Nevada,S/ 37,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,240.0,ml,Jabón Limpiador Facial de Limón  - Nevada,37.0
GENERICO,Jabón Limpiador Facial de Limón 240ml - Nevada,S/ 37,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,240.0,ml,Jabón Limpiador Facial de Limón  - Nevada,37.0
GENERICO,Jabón Limpiador Facial de Limón 240ml - Nevada,S/ 37,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,240.0,ml,Jabón Limpiador Facial de Limón  - Nevada,37.0
LBEL,Spécialiste Suero Facial Antioleosidad 28ml,S/ 98,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,28.0,ml,Spécialiste Suero Facial Antioleosidad,98.0
LANEIGE,Mini Crema Skin Toner & Moisturizer 50 ml -,S/ 149,tottus,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-06 12:48:44.825142,50.0,ml,Mini Crema Skin Toner & Moisturizer  -,149.0
