brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
TOTTUS,Trozos De Atún En Aceite Pack 12 x 140 g,S/ 49.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Trozos De Atún En Aceite Pack 12 x,49.9
TOTTUS,Trozos De Atún x 140 g,S/ 4.30,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Trozos De Atún x,4.3
PRIMOR,Trozo Atún Aceite Vegetal Lata x 140 g,S/ 6.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Trozo Atún Aceite Vegetal Lata x,6.5
CAMPOMAR,Filete De Atún En Aceite Vegetal Six Pack x 150g,S/ 35.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,150.0,g,Filete De Atún En Aceite Vegetal Six Pack x,35.9
TOTTUS,Filetes De Atún En Agua x 140 g,S/ 4.60,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filetes De Atún En Agua x,4.6
TOTTUS,Filete De Atún En Aceite x 140 g,S/ 4.60,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete De Atún En Aceite x,4.6
FLORIDA,Filete de Atún en Aceite de Girasol 140g,S/ 6.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete de Atún en Aceite de Girasol,6.5
FLORIDA,Trozos Atún en Aceite Vegetal y Sal 140g,S/ 5.80,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Trozos Atún en Aceite Vegetal y Sal,5.8
FLORIDA,Filete de atún en agua y sal de 140 g,S/ 6.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete de atún en agua y sal de,6.5
PRIMOR,Filete de Atún en Aceite Vegetal en Lata de 140 g,S/ 6.70,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete de Atún en Aceite Vegetal en Lata de,6.7
TOTTUS,Six Pack Trozos De Atún En Aceite x 140 g,S/ 24.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Six Pack Trozos De Atún En Aceite x,24.9
CAMPOMAR,Trozos de atún en aceite vegetal de 150 g,S/ 5.60,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,150.0,g,Trozos de atún en aceite vegetal de,5.6
CAMPOMAR,Filete De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,150.0,g,Filete De Atún En Aceite Vegetal x,5.8
REAL,Filete de atún en aceite de girasol de 80 g,S/ 9.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,80.0,g,Filete de atún en aceite de girasol de,9.9
FLORIDA,Graned de Atún en Aceite Vegetal 140g,S/ 4.60,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Graned de Atún en Aceite Vegetal,4.6
REAL,Lomo de Atún en Aceite de Oliva 80g,S/ 14.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,80.0,g,Lomo de Atún en Aceite de Oliva,14.9
,D Gussto Trozos Atún Aceite Vegetal 170 g,S/ 5.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,170.0,g,D Gussto Trozos Atún Aceite Vegetal,5.5
FRESCOMAR,Trozos De Caballa 170 g,S/ 4.80,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,170.0,g,Trozos De Caballa,4.8
FLORIDA,Filete Vegetal de 140 g,S/ 6.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete Vegetal de,6.5
CAMPOMAR,Lomo De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,150.0,g,Lomo De Atún En Aceite Vegetal x,5.8
PRIMOR,Filete Atún En Agua y Sal 140g,S/ 6.70,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete Atún En Agua y Sal,6.7
FRESCOMAR,Filete De Bonito Atún Aceite Vegetal 170Gr,S/ 4.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,170.0,g,Filete De Bonito Atún Aceite Vegetal r,4.9
REAL,Filete de atún en agua light de 80 g,S/ 9.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,80.0,g,Filete de atún en agua light de,9.9
SANTORINI,Anchoveta en Aceite de Oliva 125g,S/ 4.30,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,125.0,g,Anchoveta en Aceite de Oliva,4.3
CAMPOMAR,Sixpack Sólido Caballa x 150 g,S/ 29.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,150.0,g,Sixpack Sólido Caballa x,29.9
REAL,Filete de atún en aceite de girasol de 140 g,S/ 5.40,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete de atún en aceite de girasol de,5.4
COMPASS,Trozos De Atún Tripack Aceite Vegetal Lata x 140 g,S/ 14.80,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Trozos De Atún Tripack Aceite Vegetal Lata x,14.8
SANTORINI,Anchoveta En Aceite Vegetal x 125 g,S/ 3.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,125.0,g,Anchoveta En Aceite Vegetal x,3.5
REAL,Filete de atún en agua sin sal de 140 g,S/ 6.40,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete de atún en agua sin sal de,6.4
,Filete Atún D Gussto Aceite Girasol 170 g,S/ 5.90,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,170.0,g,Filete Atún D Gussto Aceite Girasol,5.9
FRESCOMAR,Trozos De Jurel 170 g,S/ 4.70,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,170.0,g,Trozos De Jurel,4.7
CAMPOMAR,Filete de atún artesanal de 100 g,S/ 7.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,100.0,g,Filete de atún artesanal de,7.5
CAMPOMAR,Lomo De Atún En Agua Y Sal x 150 g,S/ 6.30,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,150.0,g,Lomo De Atún En Agua Y Sal x,6.3
REAL,Trozos de atún en aceite de girasol de 140 g,S/ 6.20,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Trozos de atún en aceite de girasol de,6.2
COMPASS,Filete De Atún Aceite Vegetal x 140 g,S/ 5.50,tottus,GRATED DE PESCADO EN CONSERVA,2024-12-06 13:07:23.944434,140.0,g,Filete De Atún Aceite Vegetal x,5.5
