brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
PHILADELPHIA,Queso crema Brick 180 g,S/ 12.50,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,Queso crema Brick,12.5
PHILADELPHIA,QUESO CREMA ORIGINAL 150 GR,S/ 11.95,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,150.0,g,QUESO CREMA ORIGINAL R,11.95
DELICE,Queso De Pecanas 150 g,S/ 19.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,150.0,g,Queso De Pecanas,19.9
DELICE,Queso De Espinaca y Tocino 150g,S/ 21.50,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,150.0,g,Queso De Espinaca y Tocino,21.5
,Crema de queso Gouda Eru 100 g,S/ 12.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,100.0,g,Crema de queso Gouda Eru,12.9
,Crema de queso Maasdam Eru 100 g,S/ 12.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,100.0,g,Crema de queso Maasdam Eru,12.9
BRAEDT,QUESO EDAM X 440GR,S/ 24.50,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,440.0,g,QUESO EDAM X R,24.5
DUMAN,QUESO FRESCO VACA TAPER X KG,S/ 36.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,1.0,kg,QUESO FRESCO VACA TAPER,36.9
TOTTUS,QUESO EDAM LIGHT 180G,S/ 10.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,QUESO EDAM LIGHT,10.9
TOTTUS,QUESO EDAM 180G,S/ 10.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,QUESO EDAM,10.9
BRAEDT,QUESO GOUDA X 440G,S/ 22.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,440.0,g,QUESO GOUDA X,22.9
BONLE,Queso Fresco Bonlé Molde 400gr,S/ 35.20,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,400.0,g,Queso Fresco Bonlé Molde r,35.2
BRAEDT,Queso Edam 180 g,S/ 11.95,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,Queso Edam,11.95
TOTTUS,QUESO DANBO 180G,S/ 9.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,QUESO DANBO,9.9
LAIVE,Queso crema natural de 227 g,S/ 9.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,227.0,g,Queso crema natural de,9.9
TOTTUS,QUESO MOZZARELLA 180G,S/ 10.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,QUESO MOZZARELLA,10.9
TOTTUS,QUESO PARIA LAMINADO ORIGENES 150G,S/ 11.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,150.0,g,QUESO PARIA LAMINADO ORIGENES,11.9
BRAEDT,Queso Gouda 180 g,S/ 11.95,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,Queso Gouda,11.95
TOTTUS,QUESO GOUDA 180G,S/ 10.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,180.0,g,QUESO GOUDA,10.9
BRAEDT,QUESO GOUDA X 90 GR,S/ 5.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,90.0,g,QUESO GOUDA X R,5.9
KASEREI,QUESO CAMEMBERT 125G,S/ 22.90,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,125.0,g,QUESO CAMEMBERT,22.9
GLORIA,QUESO EDAM 250G TAJADA,S/ 15.50,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,250.0,g,QUESO EDAM  TAJADA,15.5
GLORIA,BONLE QUESO EDAM 250G TAJADA,S/ 14.70,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,250.0,g,BONLE QUESO EDAM  TAJADA,14.7
BONLE,Queso fundido Cheddar en tajada de 136 g,S/ 7.20,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,136.0,g,Queso fundido Cheddar en tajada de,7.2
DELICE,Queso Novoandino Sauco 150g,S/ 21.50,tottus,QUESO MANTECOSO,2024-12-06 13:14:27.265947,150.0,g,Queso Novoandino Sauco,21.5
