brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
TOTTUS,Ravioles Con Carne Y Verdura 500g,S/ 9.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,500.0,g,Ravioles Con Carne Y Verdura,9.9
TOTTUS,Hamburguesa Parrillera De Res Caja x 4 Unidades,S/ 21.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,4.0,un,Hamburguesa Parrillera De Res Caja x ades,21.9
PORTERHOUSE,Hamburguesa de Res 4 200g,S/ 15.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,200.0,g,Hamburguesa de Res 4,15.9
RICOCAN,Comida para perros cachorros sabor carne y leche de 15 kg,S/ 115.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros cachorros sabor carne y leche de,115.5
RICOCAN,Comida para perros cachorros pequeñas sabor carne y leche de 15 kg,S/ 109.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros cachorros pequeñas sabor carne y leche de,109.9
TOTTUS,Comida para perros adultos sabor carne y cereales de 15 kg,S/ 96.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros adultos sabor carne y cereales de,96.9
RICOCAT,Comida para gatos adultos sabor carne salmón y leche de 9 kg,S/ 89.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,9.0,kg,Comida para gatos adultos sabor carne salmón y leche de,89.9
MIMASKOT,Comida para perros adultos sabor estofado de carne de 15 kg,S/ 117.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros adultos sabor estofado de carne de,117.5
MIMASKOT,Comida para Perros Adultos Sabor Carne y Vegetales 15 kg,S/ 117.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para Perros Adultos Sabor Carne y Vegetales,117.5
RICOCAN,Comida para perros adultos todas las razas sabor carne de 15 kg,S/ 115.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros adultos todas las razas sabor carne de,115.5
THOR,Alimento para perro Adulto con carne hígado y cereales de 25 kg,S/ 132.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,25.0,kg,Alimento para perro Adulto con carne hígado y cereales de,132.5
TOTTUS,ENROLLADO DE POLLO CON JAMON QUESO X1KG,S/ 26.18,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,ENROLLADO DE POLLO CON JAMON QUESO X,26.18
MAGGI,Cubo de Sabor a Carne 8 unidades,S/ 4.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,8.0,un,Cubo de Sabor a Carne ades,4.5
SAN FERNANDO,Nuggets Pechuga Pollo (24 unidades),S/ 14.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,24.0,un,Nuggets Pechuga Pollo (ades),14.5
TOTTUS,ENROLLADO DE CERDO CON JAMON Y QUESO X1KG,S/ 27.68,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,ENROLLADO DE CERDO CON JAMON Y QUESO X,27.68
REDONDOS,HAMB. LA REDONDITA X 6 UNIDADES,S/ 5.55,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,6.0,un,HAMB. LA REDONDITA X ADES,5.55
NONGSHIM,Sopa Instantánea Sabor Carne Verduras Picante Nong Shim 120g,S/ 6.70,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,120.0,g,Sopa Instantánea Sabor Carne Verduras Picante Nong Shim,6.7
REDONDOS,Enrollado de Pollo Cordon Bleu 1.3 kg,S/ 26.93,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.3,kg,Enrollado de Pollo Cordon Bleu,26.93
REDONDOS,HAMB. LA REDONDITA X 14 UND.,S/ 10.43,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,14.0,un,HAMB. LA REDONDITA X D.,10.43
OTTO KUNZ,HAMB. RES PREMIUM X 8 UNIDADES,S/ 24.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,8.0,un,HAMB. RES PREMIUM X ADES,24.9
MOLITALIA,Salsa de Tomate Pomarola Bolognesa con Carne de 170 g,S/ 3.70,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,170.0,g,Salsa de Tomate Pomarola Bolognesa con Carne de,3.7
AJINOMOTO,Sopa Instantánea Ajinomen Sabor Carne 80 g,S/ 1.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,80.0,g,Sopa Instantánea Ajinomen Sabor Carne,1.9
AJINOMOTO,Caldo Sabor Carne Doña Gusta 6 Unidades,S/ 2.20,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,6.0,un,Caldo Sabor Carne Doña Gusta ades,2.2
MIMASKOT,ALIM GATO ADUL POLLO CARNE SLMON BOL9KG,S/ 85.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,9.0,kg,ALIM GATO ADUL POLLO CARNE SLMON BOL,85.5
TOTTUS,HAMBURGUESA CASERA DE CARNE X 14 UNID,S/ 13.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,14.0,un,HAMBURGUESA CASERA DE CARNE X,13.5
,MINI EMPANADA CARNE PASTIFICIOX320G,S/ 27.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,320.0,g,MINI EMPANADA CARNE PASTIFICIOX,27.9
NONGSHIM,Sopa Sabor Carne Picante Nong Shim 125 g,S/ 6.70,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,125.0,g,Sopa Sabor Carne Picante Nong Shim,6.7
PURINA,Alimento seco para gato GATI sabor carne y pollo de 15 kg,S/ 142.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Alimento seco para gato GATI sabor carne y pollo de,142.9
NISSIN,Pasta Precocida Ramen Sab Carne 85g,S/ 2.30,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,85.0,g,Pasta Precocida Ramen Sab Carne,2.3
,YAMIS ROLLITOS CARNE A LA PARRILLA 80GR,S/ 7.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,80.0,g,YAMIS ROLLITOS CARNE A LA PARRILLA R,7.9
