brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
,Vinagre de Manzana Pack 2 Unidades,S/ 24.10,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,2.0,un,Vinagre de Manzana Pack ades,24.1
FRUGOS DEL VALLE,Bebida Sabor Manzana 1.5 Lt Caja,S/ 5.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.5,l,Bebida Sabor Manzana t Caja,5.5
TOTTUS,Vinagre de Manzana 500 mL,S/ 8.30,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Vinagre de Manzana,8.3
GLADE,Ambientador Automático En Aerosol Aparato Manzana Y Canela 175 g,S/ 56.20,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,175.0,g,Ambientador Automático En Aerosol Aparato Manzana Y Canela,56.2
TOTTUS,Vinagre de Manzana 1 Lt,S/ 14.80,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.0,l,Vinagre de Manzana t,14.8
SAN LUIS,BEBIDA C GAS MANZANA 625MLX6UND,S/ 11,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,625.0,ml,BEBIDA C GAS MANZANA XD,11.0
SUPERCAT,Delicias Salsa Pescado Cachorro 190 gr,S/ 3.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,190.0,g,Delicias Salsa Pescado Cachorro r,3.9
GLADE,Ambientador Aerosol Manzana Canela 400 mL,S/ 10.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,400.0,ml,Ambientador Aerosol Manzana Canela,10.9
TOTTUS,Carnaza Natural Delicias para Perros Pet 2 Unidades,S/ 5.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,2.0,un,Carnaza Natural Delicias para Perros Pet ades,5.9
,Vinagre de Manzana 500 mL,S/ 11.10,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Vinagre de Manzana,11.1
DYFFERENT,Granola Manzana Canela 250 g,S/ 18.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,250.0,g,Granola Manzana Canela,18.9
SONAX,SILICONA BRILLANTE MANZANA 400ML,S/ 29.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,400.0,ml,SILICONA BRILLANTE MANZANA,29.9
RUSS KAYA,Vodka de Manzana Verde de 750 mL,S/ 21.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,750.0,ml,Vodka de Manzana Verde de,21.9
TOTTUS,Compota de Manzana frasco de 113 g,S/ 2.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,113.0,g,Compota de Manzana frasco de,2.5
KELLOGGS,Müsli Manzana 275 g,S/ 23.80,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,275.0,g,Müsli Manzana,23.8
TOTTUS,Colado Orgánico Manzana Bebé 90g,S/ 2.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,90.0,g,Colado Orgánico Manzana Bebé,2.9
TOTTUS,COMPOTA DE MANZANA X 90G,S/ 2.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,90.0,g,COMPOTA DE MANZANA X,2.5
SUEROX,Rehidratante Manzana 630 mL,S/ 6.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,630.0,ml,Rehidratante Manzana,6.5
NATURALE,Bebida Sabor Manzana 1 L,S/ 7.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.0,l,Bebida Sabor Manzana,7.9
GLADE,Ambientador Toque Manzana Canela 2 Repuestos 18 g,S/ 19.40,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,18.0,g,Ambientador Toque Manzana Canela 2 Repuestos,19.4
SAPOLIO,Lavavajilla Manzana en crema 1 und,S/ 5.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.0,un,Lavavajilla Manzana en crema d,5.5
SUAVITEL,Suavizante Frescura de Manzana 4.8L,S/ 45.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,4.8,l,Suavizante Frescura de Manzana,45.5
TOTTUS,Compota Pera Y Manzana - ENVASE 90 GR,S/ 2.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,90.0,g,Compota Pera Y Manzana - ENVASE R,2.5
COSTA,Cereal Bar Manzana Canela 12 Unidades 12g,S/ 6.60,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,12.0,un,Cereal Bar Manzana Canela ades,6.6
PALMOLIVE,Jabon Liquido Manzana 800 ml,S/ 14.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,800.0,ml,Jabon Liquido Manzana,14.9
SAPPE,Aloe Vera Manzana 1 Lt,S/ 16,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.0,l,Aloe Vera Manzana t,16.0
NATURALE,Bebida sabor manzana de 500 mL,S/ 4.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Bebida sabor manzana de,4.5
,Nopal Manzana Nuestra Salud 454 g,S/ 43.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,454.0,g,Nopal Manzana Nuestra Salud,43.5
SAPPE,Aloe Vera Manzana 300 mL,S/ 5.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,300.0,ml,Aloe Vera Manzana,5.9
SOUR APPLE,Licor de Manzana 750 mL,S/ 32.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,750.0,ml,Licor de Manzana,32.9
KEMAL KUKRER,Vinagre de Manzana 500 mL,S/ 16.80,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Vinagre de Manzana,16.8
GERBER,Compota de Manzana en Frasco de 113 g,S/ 4.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,113.0,g,Compota de Manzana en Frasco de,4.9
SAPOLIO,Lavavajilla Líquido Manzana 1250 ml,S/ 13.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1250.0,ml,Lavavajilla Líquido Manzana,13.9
FRUGOS DEL VALLE,BEBIDA MANZANA X 970ML,S/ 3.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,970.0,ml,BEBIDA MANZANA X,3.9
LONDA,JUGO DE MANZANA L ONDA X 1.89 L,S/ 13.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,1.89,l,JUGO DE MANZANA L ONDA X,13.9
TOTTUS,Mini Croissant Chips de Manzana y Canela 320 g,S/ 9.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,320.0,g,Mini Croissant Chips de Manzana y Canela,9.9
TOTTUS,COMPOTA DURAZNO Y MANZANA X 90G,S/ 2.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,90.0,g,COMPOTA DURAZNO Y MANZANA X,2.5
GLADE,Ambientador Aerosol Manzana Canela 275 mL,S/ 8.30,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,275.0,ml,Ambientador Aerosol Manzana Canela,8.3
NUTRI CO,Galletas con Quinua y Manzana +NUTRI Co Caja 6un,S/ 14.90,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,6.0,un,Galletas con Quinua y Manzana +NUTRI Co Caja,14.9
SOCOSANI,Agua Manzana con gas 500 mL,S/ 2,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,500.0,ml,Agua Manzana con gas,2.0
SAN LUIS,BEBIDA CON GAS MANZANA BOT X 625ML,S/ 2.20,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,625.0,ml,BEBIDA CON GAS MANZANA BOT X,2.2
HEAD AND SHOULDERS,Shampoo Head & Shoulders Manzana Fresh 375 ml,S/ 19.50,tottus,MANZANA DELICIA,2024-12-07 13:28:23.636031,375.0,ml,Shampoo Head & Shoulders Manzana Fresh,19.5
