brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
ACT II,Pop Corn con Mantequilla Act Li 80 g,S/ 5,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,80.0,g,Pop Corn con Mantequilla Act Li,5.0
COSTENO,Maíz Pop Corn Costeño 500 g,S/ 4.80,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,500.0,g,Maíz Pop Corn Costeño,4.8
TOTTUS,Maiz Pop Corn 500 g,S/ 4.64,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,500.0,g,Maiz Pop Corn,4.64
TOTTUS,Maíz Pop Corn de 1 kg,S/ 7.42,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,1.0,kg,Maíz Pop Corn de,7.42
ACT II,Pop Corn Salado Act Li 3 Unidades,S/ 14.90,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,3.0,un,Pop Corn Salado Act Li ades,14.9
TESORO DEL CAMPO,Maíz Pop Corn 500 g,S/ 5,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,500.0,g,Maíz Pop Corn,5.0
ACT II,Pop Corn Butter Lovers Act Li 3 Unidades,S/ 14.90,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,3.0,un,Pop Corn Butter Lovers Act Li ades,14.9
TESORO DEL CAMPO,Maíz Pop Corn x 350 g,S/ 3.65,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,350.0,g,Maíz Pop Corn x,3.65
TOTTUS,Chifle Norteño Con Canchita Milys 500 g,S/ 16.90,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,500.0,g,Chifle Norteño Con Canchita Milys,16.9
FIBERLIGHT,Bocaditos Salvado con Orégano Fibralight 200 g,S/ 9.80,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,200.0,g,Bocaditos Salvado con Orégano Fibralight,9.8
ACT II,Popcorn con mantequilla extra Act Li 80 g,S/ 5,tottus,POP CORN (BOCADITOS),2024-12-07 14:11:40.151661,80.0,g,Popcorn con mantequilla extra Act Li,5.0
