brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
AQUAFRESH,Pasta dental Big Teeth para niños desde 6 años en tubo de 75 mL,S/ 11.70,tottus,TUNA,2024-12-07 13:37:47.081308,75.0,ml,Pasta dental Big Teeth para niños desde 6 años en tubo de,11.7
AQUAFRESH,Pasta dental Little Teeth para niños de 2 a 5 años en tubo de 63 g,S/ 11.40,tottus,TUNA,2024-12-07 13:37:47.081308,63.0,g,Pasta dental Little Teeth para niños de 2 a 5 años en tubo de,11.4
BEPANTHEN,CREMA X 100GR TUBO,S/ 76.70,tottus,TUNA,2024-12-07 13:37:47.081308,100.0,g,CREMA X R TUBO,76.7
DENTITO,Gel Dental Chicle Globo Tubo 85g,S/ 4,tottus,TUNA,2024-12-07 13:37:47.081308,85.0,g,Gel Dental Chicle Globo Tubo,4.0
TIYAPUY,Papa Nativa Mixta Tubo 100 g,S/ 8.93,tottus,TUNA,2024-12-07 13:37:47.081308,100.0,g,Papa Nativa Mixta Tubo,8.93
FINI,Tubos Ácidos Regaliz Twister 80g,S/ 4.90,tottus,TUNA,2024-12-07 13:37:47.081308,80.0,g,Tubos Ácidos Regaliz Twister,4.9
DENTITO,Gel Dental Chicha Morada Tubo 85g,S/ 4,tottus,TUNA,2024-12-07 13:37:47.081308,85.0,g,Gel Dental Chicha Morada Tubo,4.0
AMARAS,Acondicionador Amarás Amor de Verano Butrich Tubo 260 mL,S/ 6,tottus,TUNA,2024-12-07 13:37:47.081308,260.0,ml,Acondicionador Amarás Amor de Verano Butrich Tubo,6.0
LADY SPEED STICK,Desodorante Mujer Hair Minimizer Tubo 60gr,S/ 10.70,tottus,TUNA,2024-12-07 13:37:47.081308,60.0,g,Desodorante Mujer Hair Minimizer Tubo r,10.7
JOHN FRIEDA,Crema para Peinar Frizz Ease Secret Weapon Tubo 113 g,S/ 38.90,tottus,TUNA,2024-12-07 13:37:47.081308,113.0,g,Crema para Peinar Frizz Ease Secret Weapon Tubo,38.9
