brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Piki,Ají Panca Molido PIKI Doypack 120gr,S/ 2.90,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,120.0,g,Ají Panca Molido PIKI Doypack r,2.9
Piki,Ají Panca Molido PIKI Doypack 350gr,S/ 9.00,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,350.0,g,Ají Panca Molido PIKI Doypack r,9.0
Piki,Ají Molido PIKI Doypack 120g,S/ 3.20,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,120.0,g,Ají Molido PIKI Doypack,3.2
Libbys,Ají Criollo LIBBY'S Doypack 85gr,S/ 3.50,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,85.0,g,Ají Criollo LIBBY'S Doypack r,3.5
Alacena,Salsa de Uchucuta ALACENA Doypack 400g,S/ 12.90 4%,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,400.0,g,Salsa de Uchucuta ALACENA Doypack,12.9
Tari,Crema de Ají TARI Doypack 400g,S/ 12.90,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,400.0,g,Crema de Ají TARI Doypack,12.9
Piki,Salsa PIKI Ají Amarillo Molido Doypack 350Gr,S/ 9.50,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,350.0,g,Salsa PIKI Ají Amarillo Molido Doypack r,9.5
Walibi,Salsa WALIBI Crema de Rocoto Doypack 200gr,S/ 7.00,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,200.0,g,Salsa WALIBI Crema de Rocoto Doypack r,7.0
Tari,Crema de Ají TARI Doypack 85g,S/ 4.90,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,85.0,g,Crema de Ají TARI Doypack,4.9
Walibi,Salsa WALIBI Ají Criollo Doypack 200gr,S/ 7.00,vega,AJÍ PIMIENTO,2024-12-04 14:08:09.874601,200.0,g,Salsa WALIBI Ají Criollo Doypack r,7.0
