brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Vega,Arveja VEGA Bolsa 400g,S/ 2.90,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,400.0,g,Arveja VEGA Bolsa,2.9
Costeño,Arveja COSTEÑO Bolsa 500g,S/ 3.50,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,500.0,g,Arveja COSTEÑO Bolsa,3.5
VALLENORTE,Arveja partida VALLENORTE Bolsa 500gr,S/ 3.90,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,500.0,g,Arveja partida VALLENORTE Bolsa r,3.9
Timonel,Arveja TIMONEL Bolsa 400gr,S/ 3.20,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,400.0,g,Arveja TIMONEL Bolsa r,3.2
Plenitud,Pañal PLENITUD Classic Verde Talla M Paquete 20un,S/ 34.90 31%,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,20.0,un,Pañal PLENITUD Classic Verde Talla M Paquete,34.9
Pilsen,Cerveza PILSEN Pack 6 Botella 305ml,S/ 21.50 20%,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,305.0,ml,Cerveza PILSEN Pack 6 Botella,21.5
Gran Chalan,Arroz Extra GRAN CHALAN Bolsa 5 kg,S/ 24.90 4%,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,5.0,kg,Arroz Extra GRAN CHALAN Bolsa,24.9
Faraon,Arroz Extra FARAON Bolsa 5Kg,S/ 26.20 4%,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,5.0,kg,Arroz Extra FARAON Bolsa,26.2
Costeño,Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,Arroz Extra COSTEÑO Bolsa,4.7
Faraon,Arroz Extra FARAON Bolsa 750g,S/ 5.00,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,Arroz Extra FARAON Bolsa,5.0
Costeño,Arroz Superior COSTEÑO Bolsa 750g,S/ 4.20,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,Arroz Superior COSTEÑO Bolsa,4.2
Vega,Arroz Superior VEGA Bolsa 750g,S/ 3.70,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,750.0,g,Arroz Superior VEGA Bolsa,3.7
Costeño,Arroz Superior COSTEÑO Bolsa 5Kg,S/ 24.50,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,5.0,kg,Arroz Superior COSTEÑO Bolsa,24.5
Veguita,Arroz Extra VEGA Pacasmayo Saco 10Kg,S/ 45.00,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,10.0,kg,Arroz Extra VEGA Pacasmayo Saco,45.0
Pilsen,Cerveza PILSEN Pack 6 Botella 305ml Pack 2,S/ 45.72,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,305.0,ml,Cerveza PILSEN Pack 6 Botella  Pack 2,45.72
Timonel,Arroz Superior TIMONEL Bolsa 1Kg,S/ 4.80,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,1.0,kg,Arroz Superior TIMONEL Bolsa,4.8
Vega,Arroz Economico VEGA Bolsa 5Kg,S/ 19.50,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,5.0,kg,Arroz Economico VEGA Bolsa,19.5
Vega,Arroz Superior VEGA Bolsa 5Kg,S/ 22.50,vega,ARVEJA VERDE,2024-12-04 14:11:31.193137,5.0,kg,Arroz Superior VEGA Bolsa,22.5
