brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Universal,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.50 8%,vega,FRESA,2024-12-04 13:59:55.891528,130.0,g,Gelatina UNIVERSAL Sabor a Fresa Bolsa,3.5
Universal,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,FRESA,2024-12-04 13:59:55.891528,130.0,g,Gelatina UNIVERSAL Sabor a Naranja Bolsa,3.5
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,FRESA,2024-12-04 13:59:55.891528,130.0,g,Gelatina UNIVERSAL Sabor a Piña Bolsa,3.5
Universal,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.50 8%,vega,FRESA,2024-12-04 13:59:55.891528,130.0,g,Gelatina UNIVERSAL Sabor a Cereza Bolsa,3.5
Universal,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.50 8%,vega,FRESA,2024-12-04 13:59:55.891528,130.0,g,Gelatina UNIVERSAL Sabor a Limón Bolsa,3.5
Timonel,Mermelada TIMONEL Fresa Frasco 1Kg,S/ 11.50 6%,vega,FRESA,2024-12-04 13:59:55.891528,1.0,kg,Mermelada TIMONEL Fresa Frasco,11.5
Timonel,Mermelada TIMONEL Fresa Pote 320g,S/ 5.50 5%,vega,FRESA,2024-12-04 13:59:55.891528,320.0,g,Mermelada TIMONEL Fresa Pote,5.5
Gloria,Mermelada GLORIA Fresa Barril 950g,S/ 13.50 5%,vega,FRESA,2024-12-04 13:59:55.891528,950.0,g,Mermelada GLORIA Fresa Barril,13.5
Timonel,Mermelada TIMONEL Fresa Vaso 320gr,S/ 5.20 4%,vega,FRESA,2024-12-04 13:59:55.891528,320.0,g,Mermelada TIMONEL Fresa Vaso r,5.2
Fanny,Mermelada FANNY Sabor a Fresa Vaso 290gr,S/ 6.20,vega,FRESA,2024-12-04 13:59:55.891528,290.0,g,Mermelada FANNY Sabor a Fresa Vaso r,6.2
Timonel,Mermelada TIMONEL Fresa Vaso 320gr Caja 12u,S/ 56.40,vega,FRESA,2024-12-04 13:59:55.891528,320.0,g,Mermelada TIMONEL Fresa Vaso r Caja 12u,56.4
Gloria,Mermelada GLORIA Fresa Pote 310g,S/ 6.80,vega,FRESA,2024-12-04 13:59:55.891528,310.0,g,Mermelada GLORIA Fresa Pote,6.8
UMSHA,Gelatina UMSHA Sabor a Fresa Bolsa 120g,S/ 3.20,vega,FRESA,2024-12-04 13:59:55.891528,120.0,g,Gelatina UMSHA Sabor a Fresa Bolsa,3.2
Gloria,Mermelada GLORIA Fresa Vaso 290g,S/ 6.50,vega,FRESA,2024-12-04 13:59:55.891528,290.0,g,Mermelada GLORIA Fresa Vaso,6.5
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,FRESA,2024-12-04 13:59:55.891528,70.0,un,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa,9.0
Costa,Wafer COSTA Sabor a Fresa Bolsa 105g,S/ 2.10,vega,FRESA,2024-12-04 13:59:55.891528,105.0,g,Wafer COSTA Sabor a Fresa Bolsa,2.1
Costa,Wafer COSTA Nik Fresa Paquete 6u 72g,S/ 9.00,vega,FRESA,2024-12-04 13:59:55.891528,72.0,g,Wafer COSTA Nik Fresa Paquete 6u,9.0
Timonel,Mermelada TIMONEL Fresa Pote 320g Pack 3u,S/ 15.00,vega,FRESA,2024-12-04 13:59:55.891528,320.0,g,Mermelada TIMONEL Fresa Pote  Pack 3u,15.0
