brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bahia,Piña Colada BAHIA Lata 355ml,S/ 6.90,vega,PIÑA,2024-12-04 14:03:27.022847,355.0,ml,Piña Colada BAHIA Lata,6.9
Cartavio,Piña Colada CARTAVIO HIT 355 ml,S/ 4.30,vega,PIÑA,2024-12-04 14:03:27.022847,355.0,ml,Piña Colada CARTAVIO HIT,4.3
Tabernero,Chilcano TABERNERO Bar Piña Menta Botella 275ml,S/ 5.90 16%,vega,PIÑA,2024-12-04 14:03:27.022847,275.0,ml,Chilcano TABERNERO Bar Piña Menta Botella,5.9
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,PIÑA,2024-12-04 14:03:27.022847,130.0,g,Gelatina UNIVERSAL Sabor a Piña Bolsa,3.5
UMSHA,Gelatina UMSHA Sabor Piña Bolsa 120g,S/ 3.20,vega,PIÑA,2024-12-04 14:03:27.022847,120.0,g,Gelatina UMSHA Sabor Piña Bolsa,3.2
Universal,Mazamorra UNIVERSAL Sabor a Piña Bolsa 150gr,S/ 2.50,vega,PIÑA,2024-12-04 14:03:27.022847,150.0,g,Mazamorra UNIVERSAL Sabor a Piña Bolsa r,2.5
Gloria,Bebida GLORIA Piña Caja 1L,S/ 4.00,vega,PIÑA,2024-12-04 14:03:27.022847,1.0,l,Bebida GLORIA Piña Caja,4.0
Zuko,Refresco instantáneo ZUKO de Piña Display 12u Sobre 15gr,S/ 14.40,vega,PIÑA,2024-12-04 14:03:27.022847,15.0,g,Refresco instantáneo ZUKO de Piña Display 12u Sobre r,14.4
UMSHA,Mazamorra de Piña UMSHA Bolsa 125g,S/ 3.70,vega,PIÑA,2024-12-04 14:03:27.022847,125.0,g,Mazamorra de Piña UMSHA Bolsa,3.7
Timonel,Gelatina TIMONEL Sabor a Piña Bolsa 150gr,S/ 3.50,vega,PIÑA,2024-12-04 14:03:27.022847,150.0,g,Gelatina TIMONEL Sabor a Piña Bolsa r,3.5
