brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
INKA CHIPS,Mix Tropical INKA CHIPS Camote Yuca Plátano Bolsa 125gr,S/ 7.80,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,125.0,g,Mix Tropical INKA CHIPS Camote Yuca Plátano Bolsa r,7.8
Vega,Cancha con Chifle VEGA Pote 150g,S/ 5.80,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,150.0,g,Cancha con Chifle VEGA Pote,5.8
Savital,Shampoo SAVITAL Anticaspa Té y Seda Frasco 510ml,S/ 11.90 20%,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,510.0,ml,Shampoo SAVITAL Anticaspa Té y Seda Frasco,11.9
Sedal,Shampoo SEDAL Duo 2 en 1 Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Duo 2 en 1 Frasco,13.5
Sedal,Shampoo SEDAL Células Madre Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Células Madre Frasco,13.5
Sedal,Shampoo SEDAL Ceramidas Sachet 40ml 6u,S/ 1.30,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,40.0,ml,Shampoo SEDAL Ceramidas Sachet  6u,1.3
Sedal,Shampoo SEDAL Células Madre Frasco 650ml,S/ 22.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,650.0,ml,Shampoo SEDAL Células Madre Frasco,22.5
Sedal,Shampoo SEDAL Zero Caspa 2 en 1 Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Zero Caspa 2 en 1 Frasco,13.5
Sedal,Shampoo SEDAL Ceramidas Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Ceramidas Frasco,13.5
Sedal,Acondicionador SEDAL Células Madre Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Acondicionador SEDAL Células Madre Frasco,13.5
Sedal,Acondicionador SEDAL Ceramidas Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Acondicionador SEDAL Ceramidas Frasco,13.5
Sedal,Crema para Peinar SEDAL Células Madre Frasco 300ml,S/ 13.20,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,300.0,ml,Crema para Peinar SEDAL Células Madre Frasco,13.2
Sedal,Shampoo SEDAL Colágeno y Vitamina C 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Colágeno y Vitamina C,13.5
Sedal,Acondicionador SEDAL Células Madre Frasco 340ml x 2u,S/ 27.00,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Acondicionador SEDAL Células Madre Frasco  x 2u,27.0
Sedal,Shampoo SEDAL Células Madre Frasco 340ml x 2u,S/ 27.00,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Células Madre Frasco  x 2u,27.0
Sedal,Shampoo SEDAL Duo 2 en 1 Sachet 40ml 6u,S/ 1.30,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,40.0,ml,Shampoo SEDAL Duo 2 en 1 Sachet  6u,1.3
Sedal,Acondicionador SEDAL Keratina con Antioxidantes Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Acondicionador SEDAL Keratina con Antioxidantes Frasco,13.5
Sedal,Shampoo SEDAL Keratina Frasco 340ml x 2u,S/ 27.00,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Keratina Frasco  x 2u,27.0
Sedal,Shampoo SEDAL Keratina con Antioxidante Frasco 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Shampoo SEDAL Keratina con Antioxidante Frasco,13.5
Sedal,Acondicionador SEDAL Colágeno y Vitamina C 340ml,S/ 13.50,vega,PLÁTANO DE SEDA,2024-12-05 12:37:12.334867,340.0,ml,Acondicionador SEDAL Colágeno y Vitamina C,13.5
