brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Vega,Tortillas de maiz VEGA Natural Bolsa 150g,S/ 3.90,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,150.0,g,Tortillas de maiz VEGA Natural Bolsa,3.9
Vega,Tortillas de maiz VEGA Picante Bolsa 150g,S/ 3.90,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,150.0,g,Tortillas de maiz VEGA Picante Bolsa,3.9
Alacena,Mostaza ALACENA Doypack 100g,S/ 3.60,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,100.0,g,Mostaza ALACENA Doypack,3.6
Libbys,Mostaza LIBBY'S Doypack 100gr,S/ 2.90,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,100.0,g,Mostaza LIBBY'S Doypack r,2.9
Cafetal,Café Tostado Y Molido CAFETAL Selecto Bolsa 454gr,S/ 19.50 17%,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,454.0,g,Café Tostado Y Molido CAFETAL Selecto Bolsa r,19.5
Cafetal,Café Tostado y Molido CAFETAL Selecto Bolsa 200gr,S/ 9.00 17%,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,200.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,9.0
Universal,Flan UNIVERSAL Sabor a Vainilla Bolsa 150gr,S/ 3.30,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,150.0,g,Flan UNIVERSAL Sabor a Vainilla Bolsa r,3.3
Universal,Pudin UNIVERSAL sabor a Chocolate Bolsa 100gr,S/ 2.50,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,100.0,g,Pudin UNIVERSAL sabor a Chocolate Bolsa r,2.5
Universal,Pudin UNIVERSAL sabor a Vainilla Bolsa 100gr,S/ 2.50,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,100.0,g,Pudin UNIVERSAL sabor a Vainilla Bolsa r,2.5
Nova,Servilletas NOVA Cortadas Paquete 200un,S/ 1.90,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,200.0,un,Servilletas NOVA Cortadas Paquete,1.9
Cafetal,Café Tostado y Molido CAFETAL Selecto Bolsa 80gr,S/ 4.00,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,80.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,4.0
Altomayo,Café Tostado Molido ALTOMAYO Gourmet Bolsa 450gr,S/ 29.90,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,450.0,g,Café Tostado Molido ALTOMAYO Gourmet Bolsa r,29.9
Cafetal,Café Tostado y Molido CAFETAL Selecto Bolsa 50gr,S/ 2.80,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,50.0,g,Café Tostado y Molido CAFETAL Selecto Bolsa r,2.8
Elite,Servilletas ELITE Cortadas Paquete 200un,S/ 2.20,vega,TOSTADAS (MOLDE),2024-12-05 11:47:41.408633,200.0,un,Servilletas ELITE Cortadas Paquete,2.2
