brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Timonel,Durazno en Mitades TIMONEL Lata 820g,S/ 8.30 2%,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,820.0,g,Durazno en Mitades TIMONEL Lata,8.3
Vega,Durazno en Mitades VEGA Lata 820g,S/ 7.20,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,820.0,g,Durazno en Mitades VEGA Lata,7.2
Aconcagua,Durazno en Mitades ACONCAGUA Lata 822g,S/ 12.30,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,822.0,g,Durazno en Mitades ACONCAGUA Lata,12.3
Pulp,Duraznos en Conserva PULP Lata 820gr,S/ 10.50,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,820.0,g,Duraznos en Conserva PULP Lata r,10.5
Timonel,Durazno en Mitades TIMONEL Lata 3Kg,S/ 30.10,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,3.0,kg,Durazno en Mitades TIMONEL Lata,30.1
Gloria,Bebida GLORIA Durazno Caja 1L,S/ 4.00,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,1.0,l,Bebida GLORIA Durazno Caja,4.0
Frugos,Nectar FRUGOS Durazno Caja 1.5L,S/ 5.80,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,1.5,l,Nectar FRUGOS Durazno Caja,5.8
Vega,Cocktail de Frutas VEGA Lata 820g,S/ 10.40,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,820.0,g,Cocktail de Frutas VEGA Lata,10.4
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,70.0,un,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa,9.0
Timonel,Cocktail de Frutas TIMONEL Lata 820g,S/ 10.80,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,820.0,g,Cocktail de Frutas TIMONEL Lata,10.8
Universal,Mazamorra UNIVERSAL Sabor a Durazno Bolsa 150gr,S/ 2.50,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,150.0,g,Mazamorra UNIVERSAL Sabor a Durazno Bolsa r,2.5
Gn,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,8.0,un,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete,5.0
Gloria,"Bebida GLORIA Durazno Caja 1,5L",S/ 5.00,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,5.0,l,"Bebida GLORIA Durazno Caja 1,",5.0
Gloria,Bebida GLORIA Sabor a Durazno Caja 1.5L x 3u,S/ 17.40,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,1.5,l,Bebida GLORIA Sabor a Durazno Caja  x 3u,17.4
Gloria,Bebida de Durazno GLORIA Caja 500ml,S/ 2.20,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,500.0,ml,Bebida de Durazno GLORIA Caja,2.2
UMSHA,Mazamorra de Durazno UMSHA Bolsa 125g,S/ 3.70,vega,DURAZNO HUAYCO,2024-12-06 11:50:25.428296,125.0,g,Mazamorra de Durazno UMSHA Bolsa,3.7
