brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Vega,Trigo mote VEGA Bolsa 400g,S/ 2.60,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,400.0,g,Trigo mote VEGA Bolsa,2.6
Timonel,Trigo mote TIMONEL Bolsa 400g,S/ 2.90,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,400.0,g,Trigo mote TIMONEL Bolsa,2.9
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 22.50 2%,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,310.0,ml,Cerveza CUSQUEÑA Trigo Pack 6 Botella,22.5
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Lata 355ml,S/ 22.90,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,6.0,l,Cerveza CUSQUEÑA Trigo Pack ata,22.9
Molitalia,Sémola de Trigo MOLITALIA Bolsa 200gr,S/ 1.70,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,200.0,g,Sémola de Trigo MOLITALIA Bolsa r,1.7
Costa,Galletas Integral COSTA con Salvado de Trigo Paquete 6u 37g,S/ 4.30,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,37.0,g,Galletas Integral COSTA con Salvado de Trigo Paquete 6u,4.3
Universal,Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,180.0,g,Chuño UNIVERSAL Bolsa r,3.3
Cusqueña,Pack 2 Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 47.80,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,310.0,ml,Pack 2 Cerveza CUSQUEÑA Trigo Pack 6 Botella,47.8
Victoria,Galleta INTEGRACKER con Salvado de Trigo Paquete 9un,S/ 6.80,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,9.0,un,Galleta INTEGRACKER con Salvado de Trigo Paquete,6.8
Tabernero,Chilcano TABERNERO BAR Maracuyá Botella 275 ml,S/ 5.90 16%,vega,TRIGO MORÓN,2024-12-06 11:01:15.605592,275.0,ml,Chilcano TABERNERO BAR Maracuyá Botella,5.9
